id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2803786599,1,34,16,0,0,80hgdmpkvdrhw1ge9nks2kxvy,1,0.0,0.0,2025-04-20T11:32:08.349Z,2025-04-20T15:58:40Z,,,,,5666627951,30,"451kwpccebq3457c7jw8toz4l, 1ncet6wg9tne9oif8vkgsc8kq, 766yz5r437tgwjkn0ey8j2wwk, 1gwemllvgcore4shqy79qu82y, 9l89pnte9uhyc8jnads2lintg, b0zkcgl6f68noauzpuhzjm4tl, 5mvddfxv6aqzohz87gopwl990, 1qeetk4waatuxev4mqvbxx87p, b02g29dknl89wywv3l61fgueh, ebkhyti8l579bl8amir9zgl5g, cd0g5e95qabgsw4gl3b8ijoid, 9fig1s65cvva53x8yqi30xwx5, 8he8k86ayqx3x5ee2a0jsfuy2, dq5uoeu7mw2a3uemr95w32k9g, hqe6ytrn865k82hbdfufxmac, q1o72uyrvclbkccpjvzugacq, 3bmh3ork0ei2hrqy1yq0lpwk4, 95t0lc2qqgzxp92n1pr62n816, fbk14d79iikagip25ncya0ut, 9nr6anmon9qq8vpk46m5r57v8",5666627963,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5666627959,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5666884655,197,526,5666627957,130,10,5666627961,194,1qeetk4waatuxev4mqvbxx87p,5666627955,59,"1, 2, 23, 4, 21, 5, 6, 11, 15, 10, 8, 27, 7, 9, 14, 17, 18, 20, 24, 30",5666627953,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803794163,1,34,16,0,0,uqspd1bx7f6mq8ohj50u1k1k,1,0.0,0.0,2025-04-20T11:40:20.703Z,2025-04-20T16:37:33Z,,,,,5666665453,130,7,5666665455,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5666665457,194,3sfh0fq729hxtea9rzfke9979,5666885441,197,22589,5666665447,30,"8u1ii0vmhpub1p2gbsk1w7yzt, 4zypjoj5r2y9fqpqxn8cd7o16, 6hzeyz7yomlqkb0aukl4ms6j8, 15823p8n34f7coivq6wq687is, 2vkztwfo5zi3rbsnlmwsgfjvu, 3sfh0fq729hxtea9rzfke9979, 8qmrc7p7k4bod8ojxl5ib6ot0, bqcjd0macjc7hmtz7zx34ym6t, 8jn4wq3d1ro8f89lttw4b9rzd, 94s19kazaywfzrg007vsha6wa, 7fsqcwqftmk6lms6f6u8lpdlg, 45d87fg5d9k6rvgkkoqcdr384, a7upy78sew3kqehgcfm9ho5ck, dn00381nbniepgi4qj7yjkv84, 33upoxyyqkh71m6d0b2nsn95g, dfinorpyitke7fsso0fkgz28k, evp0uxt65iugdfwf403qqub6c, 1epsroqvrfkhc7zhexcsl0vtg, dt6oacdhzssj4bu3a9rp8jdas",5666665451,59,"1, 22, 15, 20, 4, 5, 16, 10, 25, 8, 9, 12, 3, 6, 7, 18, 19, 31, 33",5666665449,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5666665459,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803839951,2,32,1,0,0,80hgdmpkvdrhw1ge9nks2kxvy,1,0.0,0.0,2025-04-20T12:31:42.281Z,2025-04-20T12:31:42Z,,,,,5666898679,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803839963,2,32,1,0,0,uqspd1bx7f6mq8ohj50u1k1k,1,0.0,0.0,2025-04-20T12:31:42.281Z,2025-04-20T12:31:45Z,,,,,5666898723,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803839975,3,1,1,0,0,80hgdmpkvdrhw1ge9nks2kxvy,1,49.9,49.9,2025-04-20T12:31:42.282Z,2025-04-20T12:31:44Z,b02g29dknl89wywv3l61fgueh,V. Erlien,,,5666898821,56,Back,5666898829,213,2.41,5666898833,278,,5666898823,140,44.6,5666898827,212,7.5,5666898825,141,57.2,5666898831,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803839987,4,1,1,0,1,80hgdmpkvdrhw1ge9nks2kxvy,1,44.6,57.2,2025-04-20T12:31:43.785Z,2025-04-20T12:31:46Z,1qeetk4waatuxev4mqvbxx87p,R. Jenssen,,,5666898903,213,0.98,5666898899,212,29.3,5666898887,56,Left,5666898895,141,93.0,5666898891,140,60.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803840031,5,1,1,0,3,80hgdmpkvdrhw1ge9nks2kxvy,1,55.4,93.2,2025-04-20T12:31:45.897Z,2025-04-20T12:31:50Z,766yz5r437tgwjkn0ey8j2wwk,R. Norheim,,,5666899205,213,3.37,5666899207,1,,5666899203,212,34.0,5666899197,56,Back,5666899201,141,81.8,5666899199,140,23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803840043,6,1,1,0,7,80hgdmpkvdrhw1ge9nks2kxvy,1,36.6,79.1,2025-04-20T12:31:49.961Z,2025-04-20T12:31:51Z,b0zkcgl6f68noauzpuhzjm4tl,A. Jenssen,,,5666899249,141,68.4,5666899251,212,20.1,5666899253,213,5.91,5666899247,140,54.4,5666899245,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803840059,7,1,1,0,8,80hgdmpkvdrhw1ge9nks2kxvy,1,54.4,68.4,2025-04-20T12:31:50.809Z,2025-04-20T12:31:53Z,1qeetk4waatuxev4mqvbxx87p,R. Jenssen,,,5666899349,141,79.1,5666899351,212,18.4,5666899353,213,2.74,5666899347,140,38.3,5666899345,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803840113,8,1,1,0,11,80hgdmpkvdrhw1ge9nks2kxvy,1,42.1,76.4,2025-04-20T12:31:53.321Z,2025-04-20T12:31:58Z,b0zkcgl6f68noauzpuhzjm4tl,A. Jenssen,,,5666899695,212,17.3,5666899697,213,6.11,5666899693,141,72.1,5666899689,56,Center,5666899691,140,58.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
