id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/9/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2823850675,1,34,16,0,0,btaf9fuj3xctycyjeqwereaow,1,0.0,0.0,2025-06-22T14:01:33.829Z,2025-06-22T17:41:46Z,,,,5777951499,197,2276,5777915441,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5777915435,59,"30, 4, 17, 18, 2, 47, 7, 8, 27, 6, 19, 1, 3, 5, 10, 11, 14, 22, 43",5777916219,194,6wygyy5z5i0okllr83e9ej8ph,5777915433,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5777915437,130,7,5777915439,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5777915431,30,"9l1jrghczcsus55hd9hx6gdzp, 1j7zubyq25gltkrmrqb8xiyy2, 92xhspr6bl1jyhqru3tsbjvqi, 6wygyy5z5i0okllr83e9ej8ph, 7zy4bzry9weswip0jogur6fbo, 865wj533fx1l6pf8jd40uya6s, 8g5ms6uacdkgfcbxt4crlr4ve, c57cmqsy5y46vndbsqq3pyu7e, v3hnsgptqqi0ystvybqtpyzu, 3e1tqerfmnsaqicofczjljo8a, cqbwi2vpug8530eao8ewo1tzo, bmaozrve14n5uj1a6q122dl3o, jfesb9jxg4g5yph0x6nabevo, be02ilslgkjzab6vsq70l53is, dxmgpouxmhnss0ggxm6yqgo9, csoy01ylfrp2o2jso18oohmvo, aj8viw93em18jk0liabakhp90, 7hevgs3yo3fnxvingc7zzgpw4, di12pteex60qy5bdmm4lxt8no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823850681,1,34,16,0,0,d8w1m5j3jbd1eva8524dv4a20,1,0.0,0.0,2025-06-22T14:01:36.797Z,2025-06-22T18:49:00Z,,,,5777951349,197,29046,5777915461,30,"3hb7wwsfbna4xsgibrfrxcep6, e20bu4y05cuuxz7zx3hl0erdg, cyndk88eyqa8w6nfdsne29zis, 446klv47srbtz97yk7vgakbft, 5ezedgrsrflkr1gi8o6eu7j3e, 14ypgy7ikxp4yubgkr3yhh90p, 4bhecy0vioxwdpmw64uyek3ro, 7wiychyw6gd8lw6zakd3swmlm, 6yj33ghw3e2x8lv9mtvqyg7x0, b402113ae9zjswote8zxlzmc5, 1s3v8iujq9j1qbhccuun62jft, dmzue0z7q5147nxeo24emskid, 62inw8zz8raw527zudb2n8jys, eguth2iido7y17nisod5l6e50, 8mkjfugmfdj5qb0on4u6kixhw, 9avxz26gl0igfm4ea5inps0es, clyv3e5zbj72u09ialts0ul1w, a6mt7f1hy6ieaowii8na2j7dg",5777915471,194,446klv47srbtz97yk7vgakbft,5777915469,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5777915467,130,2,5777915473,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5777915463,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",5777915465,59,"38, 55, 42, 16, 4, 3, 37, 6, 29, 8, 21, 1, 7, 10, 20, 25, 39, 66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857123,2,32,1,0,0,btaf9fuj3xctycyjeqwereaow,1,0.0,0.0,2025-06-22T15:01:07.774Z,2025-06-22T15:01:09Z,,,,5777951741,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857121,2,32,1,0,0,d8w1m5j3jbd1eva8524dv4a20,1,0.0,0.0,2025-06-22T15:01:07.774Z,2025-06-22T15:01:07Z,,,,5777951739,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857129,3,1,1,0,0,d8w1m5j3jbd1eva8524dv4a20,1,50.1,49.7,2025-06-22T15:01:07.775Z,2025-06-22T15:01:12Z,446klv47srbtz97yk7vgakbft,Bruno Leite,,5777951763,56,Back,5777951773,279,S,5777951767,141,47.5,5777951769,212,26.2,5777951771,213,3.20,5777951765,140,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857127,3,45,1,0,1,btaf9fuj3xctycyjeqwereaow,0,76.6,54.5,2025-06-22T15:01:09.521Z,2025-06-22T16:04:01Z,v3hnsgptqqi0ystvybqtpyzu,J. Dunsby,,5777951759,56,Center,5777951761,286,,5777951797,233,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857131,4,3,1,0,1,d8w1m5j3jbd1eva8524dv4a20,1,23.4,45.5,2025-06-22T15:01:09.521Z,2025-06-22T16:04:00Z,3hb7wwsfbna4xsgibrfrxcep6,J. Torkildsen,,5777951793,233,3,5777951779,285,,5777951777,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857135,5,1,1,0,5,d8w1m5j3jbd1eva8524dv4a20,0,29.9,54.3,2025-06-22T15:01:13.518Z,2025-06-22T15:01:15Z,3hb7wwsfbna4xsgibrfrxcep6,J. Torkildsen,,5777951805,140,72.6,5777951811,213,0.16,5777951807,141,64.8,5777951803,56,Center,5777951801,157,,5777951809,212,45.4,5777951813,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857139,4,1,1,0,8,btaf9fuj3xctycyjeqwereaow,0,27.9,49.4,2025-06-22T15:01:15.990Z,2025-06-22T15:02:53Z,865wj533fx1l6pf8jd40uya6s,S. Kristiansen,,5777951835,213,6.11,5777951829,140,57.7,5777951833,212,31.7,5777951831,141,41.5,5777953483,3,,5777951827,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823857149,6,1,1,0,12,d8w1m5j3jbd1eva8524dv4a20,1,36.1,51.8,2025-06-22T15:01:20.527Z,2025-06-22T15:01:22Z,5ezedgrsrflkr1gi8o6eu7j3e,M. Fischer,,5777951861,141,82.7,5777951855,3,,5777951863,212,23.2,5777951857,56,Back,5777951865,213,1.13,5777951859,140,45.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
