id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/8/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2813570763,1,34,16,0,0,eujf9nqky8c5jnahb2f76m86o,1,0.0,0.0,2025-05-11T14:12:47.649Z,2025-05-11T15:04:01Z,,,,,5720567853,30,"dk56pv43y8zo39ft9xtwyapnu, 7yjqvzpcyyil0g7jne4hv7svd, 172cxj9mocjk4cor42kjka3mx, 4z3w46k9n0yocg319dcewwz8q, 2gxvele61txnvuc7sxszfqaga, c2pyie18ewq33hdvoaljwkbca, egd6w206242dh7aowfzmwyane, auv81snxkpk2ybxzi8giy5azt, 6yyum3rgz21z8aln67irm508a, 7adevxj1o3gpqpmrv3f72v3oq, 39zbpdxha7mync2430sxuig9h, emce3apjphsh1r4jm5pjzyz11, 8fqnvz74z901a2h0kgk1zezje, 4z8yicyffnto09vgpxp2bt1pl, bwh09f38vm5unavkfqnccvx05, 1iyf1mk4eakjc13z8iwvts222, 3jgniouh70v4y74ly7u681o89, 95wuw8954h8drdxpx3f2wvuvo, 34lcrlx7ddks5ko8s8opi44k4, 342b6q9d0ghvvizc2s6801ses",5720567865,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5720567863,194,7yjqvzpcyyil0g7jne4hv7svd,5720567855,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5720567857,59,"12, 26, 14, 8, 5, 24, 11, 19, 9, 18, 15, 1, 2, 3, 4, 7, 16, 17, 22, 32",5720567861,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5720567859,130,2,5720588201,197,28385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813571553,1,34,16,0,0,45v50owpvshpijizwwlcw4lni,1,0.0,0.0,2025-05-11T14:13:55.417Z,2025-05-11T18:32:49Z,,,,,5720572279,30,"2y89r1uyyagwssn9m67ihdo7p, 864mk13xqt9p7s22wdsdhnpat, 6hfh81884cw22q8ekjmiezq39, cdqa1j5yeh8u9ll0ijx28oyj9, azgn1hgiep0jbrbdirnkut2zu, 9mt0cpw6rkuv6ndn4jbon6hg5, 97aigdp5c2m2sd1eoq143q8kp, cv38uxcibt3cwwj54m9ydg86i, 7m4f590x3kc3935gpg72xhg45, 2hwemaa18hwlq3c4i208lbbo5, 6mzoir7lrrfehbzgu7gmnwyl0, 2rfdbxta1ako8hu4pg7kv07h1, 2i92r2eksw9ty9kis974k3uqy, 3qe0mkctopr68r841nrp2740k, birdlua3bxdp0lln5sjbx13pw, 2abb7npbxo203f42h3q6mqal0, 1mzv5asyhii2emb6je663xy50, bn9pgf8kpdv5zdbaze1pwpdsk",5720572287,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5720572281,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5720572285,130,7,5720572283,59,"1, 21, 28, 17, 6, 19, 18, 16, 7, 20, 23, 34, 4, 26, 46, 53, 56, 35",5720572289,194,7m4f590x3kc3935gpg72xhg45,5720572291,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5720761463,197,29279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813608051,2,32,1,0,0,eujf9nqky8c5jnahb2f76m86o,1,0.0,0.0,2025-05-11T15:01:01.265Z,2025-05-11T15:01:01Z,,,,,5720771513,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813608059,2,32,1,0,0,45v50owpvshpijizwwlcw4lni,1,0.0,0.0,2025-05-11T15:01:01.265Z,2025-05-11T15:01:02Z,,,,,5720771571,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813608087,3,1,1,0,0,eujf9nqky8c5jnahb2f76m86o,1,50.2,50.1,2025-05-11T15:01:01.266Z,2025-05-11T15:01:04Z,6yyum3rgz21z8aln67irm508a,S. Bojadzic,,,5720771703,278,,5720771699,213,3.14,5720771701,279,S,5720771693,140,46.0,5720771695,141,50.1,5720771691,56,Back,5720771697,212,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813608119,4,1,1,0,2,eujf9nqky8c5jnahb2f76m86o,1,46.0,50.1,2025-05-11T15:01:04.155Z,2025-05-11T15:04:57Z,39zbpdxha7mync2430sxuig9h,J. Tveita,,,5720771913,212,25.8,5720771915,213,4.43,5720771911,141,13.7,5720771907,56,Back,5720771909,140,39.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813608131,5,1,1,0,5,eujf9nqky8c5jnahb2f76m86o,0,39.1,13.7,2025-05-11T15:01:07.099Z,2025-05-11T15:06:45Z,7yjqvzpcyyil0g7jne4hv7svd,A. Kryger,,,5720771951,141,22.8,5720771957,1,,5720771953,212,33.8,5720771955,213,0.18,5720771947,56,Center,5720771945,157,,5720771949,140,70.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813608153,3,1,1,0,8,45v50owpvshpijizwwlcw4lni,1,23.2,73.2,2025-05-11T15:01:09.604Z,2025-05-11T15:55:18Z,9mt0cpw6rkuv6ndn4jbon6hg5,E. Haugan,,,5720772063,213,5.87,5720772055,56,Back,5720772051,3,,5720772061,212,6.6,5720772057,140,29.0,5720772059,141,69.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813608167,4,1,1,0,9,45v50owpvshpijizwwlcw4lni,1,24.8,69.7,2025-05-11T15:01:10.451Z,2025-05-11T15:55:37Z,2hwemaa18hwlq3c4i208lbbo5,K. Eriksen,,,5720772131,213,4.50,5720772129,212,5.4,5720772125,140,23.7,5720772123,56,Back,5720772121,3,,5720772127,141,62.0,5721014059,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813608221,5,1,1,0,10,45v50owpvshpijizwwlcw4lni,0,23.7,62.0,2025-05-11T15:01:11.667Z,2025-05-11T15:01:17Z,azgn1hgiep0jbrbdirnkut2zu,I. Amundsen,,,5720772387,157,,5720772389,56,Back,5720772397,213,0.66,5720772391,140,35.7,5720772393,141,76.4,5720772395,212,16.0,5720772399,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
