id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId
2806974797,1,34,16,0,0,c7jgkxx1czv5etn7snf1r6p2m,1,0.0,0.0,2025-04-27T11:28:12.033Z,2025-04-27T12:28:52Z,,,,5684151803,130,4,5684151805,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5684151801,59,"1, 19, 23, 6, 38, 21, 8, 41, 39, 7, 35, 12, 2, 4, 5, 9, 10, 15, 18, 45",5684442747,197,21765,5684151809,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5684151797,30,"bwzftrovpa0418aapl98og7l6, 2u8ylwu9kogk0jorpe517812i, aulhjgm35swnx4k3rexbds8ut, 1jp22ouky3tqtk04bvbfao7l6, 7hs9c25dq0dbn8vrlgihjgay2, 929eyaq4a218jj3yahxtoeve2, qer4hblafo04av0aajfecclx, e58qeh3alborxqkuk5bz7nw9g, ec0e15kwv2vre5gnldajcwq8l, 8cjgce68a2vla1ebamgac4nx0, 4xnll2f9tb69wrezm04ayg76y, abaqhbxbckjup0ybs4o70vw89, 9hg60gdc7h6dwo1qi4c7pc9nt, a0dyuysg0p6ekvy4qkkfkwnvt, 5occq5bmrhcs8rtxwsdi18bf9, 5o5f3xj6e86sw0pupxxx2nomi, 544reefy86rc8827sl3xh3oph, eas91my7qw7etoha5plxfk9yi, bapdoe78rj82j550otb5zemwa, f1naa48i09ck4srkhzxmdugwk",5684151807,194,929eyaq4a218jj3yahxtoeve2,5684151799,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806976813,1,34,16,0,0,45v50owpvshpijizwwlcw4lni,1,0.0,0.0,2025-04-27T11:31:24.090Z,2025-04-27T15:23:52Z,,,,5684162641,194,864mk13xqt9p7s22wdsdhnpat,5684162643,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5684162639,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5684162633,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5684162635,59,"1, 21, 28, 16, 6, 19, 5, 20, 14, 17, 23, 34, 4, 7, 9, 10, 18, 26, 27, 46",5684162637,130,5,5684162631,30,"2y89r1uyyagwssn9m67ihdo7p, 864mk13xqt9p7s22wdsdhnpat, 6hfh81884cw22q8ekjmiezq39, cv38uxcibt3cwwj54m9ydg86i, azgn1hgiep0jbrbdirnkut2zu, 9mt0cpw6rkuv6ndn4jbon6hg5, 5p8387bgyjiuekkccl4j6kamt, 2hwemaa18hwlq3c4i208lbbo5, 617qfwb824ko8xrulrp6b86ad, cdqa1j5yeh8u9ll0ijx28oyj9, 6mzoir7lrrfehbzgu7gmnwyl0, 2rfdbxta1ako8hu4pg7kv07h1, 2i92r2eksw9ty9kis974k3uqy, 7m4f590x3kc3935gpg72xhg45, 5w0p51an11m21e5hnpjtukx04, 5al9uyujlrlb17o4r5sapkkk4, 97aigdp5c2m2sd1eoq143q8kp, 3qe0mkctopr68r841nrp2740k, 10jjf6ittt34mqsrihtotv1g4, birdlua3bxdp0lln5sjbx13pw",5684439863,197,511,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807031439,2,32,1,0,0,c7jgkxx1czv5etn7snf1r6p2m,1,0.0,0.0,2025-04-27T12:30:17.951Z,2025-04-27T12:30:20Z,,,,5684448295,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807031433,2,32,1,0,0,45v50owpvshpijizwwlcw4lni,1,0.0,0.0,2025-04-27T12:30:17.951Z,2025-04-27T12:30:18Z,,,,5684448265,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807031473,3,1,1,0,0,c7jgkxx1czv5etn7snf1r6p2m,1,50.2,49.6,2025-04-27T12:30:17.952Z,2025-04-27T15:32:22Z,ec0e15kwv2vre5gnldajcwq8l,D. Islamović,,5684448493,279,S,5684448489,213,3.09,5684448485,212,20.2,5684448481,140,31.0,5684448479,56,Back,5684448483,141,51.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807031481,4,1,1,0,2,c7jgkxx1czv5etn7snf1r6p2m,1,31.0,51.2,2025-04-27T12:30:20.845Z,2025-04-27T13:22:01Z,1jp22ouky3tqtk04bvbfao7l6,S. Väänänen,,5684448529,56,Back,5684448537,213,0.17,5684448533,141,55.1,5684448535,212,15.4,5684448531,140,45.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807031489,5,1,1,0,3,c7jgkxx1czv5etn7snf1r6p2m,0,45.4,55.1,2025-04-27T12:30:21.476Z,2025-04-27T13:22:00Z,8cjgce68a2vla1ebamgac4nx0,M. Broholm,,5684448609,213,2.31,5684448603,140,37.5,5684448607,212,12.3,5684448605,141,68.5,5684448601,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807031529,3,8,1,0,7,45v50owpvshpijizwwlcw4lni,1,53.1,39.7,2025-04-27T12:30:25.553Z,2025-04-27T12:30:25Z,617qfwb824ko8xrulrp6b86ad,V. Berisha,,5684448789,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807031563,5,1,1,0,8,45v50owpvshpijizwwlcw4lni,1,61.3,32.7,2025-04-27T12:30:26.929Z,2025-04-27T12:30:28Z,5p8387bgyjiuekkccl4j6kamt,E. Hestad,,5684448967,56,Right,5684448969,140,78.0,5684448973,212,20.3,5684448975,213,5.76,5684448971,141,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807031573,6,1,1,0,10,45v50owpvshpijizwwlcw4lni,1,87.3,14.4,2025-04-27T12:30:28.088Z,2025-04-27T12:30:34Z,617qfwb824ko8xrulrp6b86ad,V. Berisha,,5684449055,212,11.7,5684449053,141,31.2,5684449043,2,,5684449057,213,1.36,5684449049,140,89.6,5684449047,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
