id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/11/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2793692007,1,34,16,0,0,btaf9fuj3xctycyjeqwereaow,1,0.0,0.0,2025-03-30T14:13:41.220Z,2025-03-30T18:15:13Z,,,,,5610992333,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5610992339,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5611317137,197,2276,5610992335,59,"30, 26, 3, 18, 22, 47, 7, 10, 23, 6, 27, 1, 2, 4, 8, 11, 17, 20, 24, 43",5610992331,30,"9l1jrghczcsus55hd9hx6gdzp, 6x3f721vjb8mxlp5ba3p1rb4k, jfesb9jxg4g5yph0x6nabevo, 6wygyy5z5i0okllr83e9ej8ph, 7hevgs3yo3fnxvingc7zzgpw4, 865wj533fx1l6pf8jd40uya6s, 8g5ms6uacdkgfcbxt4crlr4ve, dxmgpouxmhnss0ggxm6yqgo9, 3g0xd9rds9relghxanr1f5vc9, 3e1tqerfmnsaqicofczjljo8a, v3hnsgptqqi0ystvybqtpyzu, bmaozrve14n5uj1a6q122dl3o, 7zy4bzry9weswip0jogur6fbo, 1j7zubyq25gltkrmrqb8xiyy2, c57cmqsy5y46vndbsqq3pyu7e, csoy01ylfrp2o2jso18oohmvo, 92xhspr6bl1jyhqru3tsbjvqi, 6hssnrvqsel6i5ca09p5730x6, entqumhk84jfw6hgjkee607x0, di12pteex60qy5bdmm4lxt8no",5610992345,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5610992343,194,6wygyy5z5i0okllr83e9ej8ph,5610992337,130,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793706451,1,34,16,0,0,4q0b35m26thti4c2on9a3npk0,1,0.0,0.0,2025-03-30T14:25:38.588Z,2025-03-30T19:03:23Z,,,,,5611071297,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",5611071301,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5612236283,197,23564,5611071289,30,"7f0drwvw3zquh352luxegqtpl, c78cublmvb2gg8gzk999xn9hx, dvrvgq5j49kb9vfergmluyxyi, 67nybn375tyqdqae4m1yk407o, 657z9s0rqlzub9nmdpb7ct82c, 5szykye2vk3nx7r5lhzn2ljx0, 26ro2zdtkq9ia7dzr9ellxkvd, euc11yjkfscwt6xsiitlorz10, 4cx6v1ugc9l5sd0nqep3sxoiy, 3usrzzduezg3zt3usvuayxxm2, aebliukutyz91pczaam39lolx, 9nve6ykit6zzdfg2yqppcil0, 1pobxn4eg4l8phk4ug0t56t7u, 58ufmirzy800nq7gucsiz3hg4, biibwjyc33yv901fetordsv84, 3iolpwrv18gtlyse7ih3nt91w, 3hup5rvg21nkou5psia9pe9sk",5611071291,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",5611071295,130,11,5611071299,194,4cx6v1ugc9l5sd0nqep3sxoiy,5611071293,59,"1, 33, 42, 15, 4, 2, 17, 25, 9, 8, 10, 31, 3, 16, 19, 22, 26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793750745,2,32,1,0,0,btaf9fuj3xctycyjeqwereaow,1,0.0,0.0,2025-03-30T15:01:39.410Z,2025-03-30T15:02:42Z,,,,,5611313863,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793749839,2,32,1,0,0,4q0b35m26thti4c2on9a3npk0,1,0.0,0.0,2025-03-30T15:01:39.410Z,2025-03-30T15:02:39Z,,,,,5611309149,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793749887,3,43,1,0,2,4q0b35m26thti4c2on9a3npk0,1,0.0,0.0,2025-03-30T15:01:54.733Z,2025-03-30T15:02:18Z,,,,,5611311577,144,70,5611309423,277,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793805263,427,1,1,1,2,4q0b35m26thti4c2on9a3npk0,1,54.2,60.3,2025-03-30T15:02:41.410Z,2025-03-30T15:50:59Z,3usrzzduezg3zt3usvuayxxm2,S. Hestnes,,,5611614057,213,0.78,5611614047,3,,5611614051,140,69.2,5611614055,212,22.1,5611614049,56,Left,5611614053,141,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793805615,428,59,1,1,7,4q0b35m26thti4c2on9a3npk0,1,19.7,64.9,2025-03-30T15:02:46.410Z,2025-03-30T15:51:19Z,7f0drwvw3zquh352luxegqtpl,E. Ødegaard,,,5611616171,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793750859,4,1,1,1,8,4q0b35m26thti4c2on9a3npk0,0,26.1,56.9,2025-03-30T15:02:47.475Z,2025-03-30T15:02:49Z,7f0drwvw3zquh352luxegqtpl,E. Ødegaard,,,5611314447,141,47.8,5611314441,157,,5611314445,140,62.7,5611314453,1,,5611314443,56,Center,5611314449,212,38.9,5611314451,213,6.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793805845,429,61,1,1,12,4q0b35m26thti4c2on9a3npk0,1,53.6,48.1,2025-03-30T15:02:51.410Z,2025-03-30T15:51:31Z,26ro2zdtkq9ia7dzr9ellxkvd,T. Haltvik,,,5611617311,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793750945,5,1,1,1,13,4q0b35m26thti4c2on9a3npk0,0,45.1,48.4,2025-03-30T15:02:52.795Z,2025-03-30T15:51:39Z,euc11yjkfscwt6xsiitlorz10,S. Sandal,,,5611314905,140,49.6,5611314911,212,7.2,5611314897,3,,5611314903,56,Back,5611314909,141,40.4,5611314913,213,5.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
