Date,Team,Opponent,Match,timeMin,timeSec,x,y,endX,endY,Gamestate,typeId,Cross,keyPass,assist,Cutback,playerName,playerId,xG_within_5_seconds,Goal_within_5_seconds,outcome,LeftSide,RightSide,xGA,seq_xG,EarlyCrossRight,EarlyCrossLeft,GoldenZoneRight,GoldenZoneLeft,ChipZoneRight,ChipZoneLeft,NearPost,Center,FarPost
2026-03-06,AaB,Aarhus Fremad,AaB 0-1 Aarhus Fremad,1,22,88.9,87.6,97.0,56.5,0,1,1,,,0,M. Nielsen,bcdp9e3dezuaybm8ndrsanbx0,0.0,0,0,1,0,0.0,0.0,0,0,0,1,0,0,1,0,0
2026-03-06,Aarhus Fremad,AaB,AaB 0-1 Aarhus Fremad,12,20,92.1,83.0,87.7,40.0,0,1,1,,,0,M. Kaastrup,9nafz0c0x2qvmo5ldm0djmcq1,0.0,0,0,1,0,0.0,0.0,0,0,0,1,0,0,0,0,1
2026-03-06,Aarhus Fremad,AaB,AaB 0-1 Aarhus Fremad,12,38,92.7,13.4,93.8,60.0,0,1,1,,,0,Marcus Kirchheiner,7zb57r5m7lmvj3xlf9y1ldez8,0.0173127055168151,0,0,0,1,0.0,1.1486356258392334,0,0,1,0,0,0,0,0,1
2026-03-06,Aarhus Fremad,AaB,AaB 0-1 Aarhus Fremad,13,28,71.9,18.0,88.9,51.1,0,1,1,,,0,Marcus Kirchheiner,7zb57r5m7lmvj3xlf9y1ldez8,0.0,0,0,0,1,0.0,0.0,1,0,0,0,0,0,0,1,0
2026-03-06,Aarhus Fremad,AaB,AaB 0-1 Aarhus Fremad,21,21,93.8,72.4,87.7,37.9,0,1,1,,,0,M. Agnarsson,9w1wpf3tocn27ed1oaaoe5zsa,0.0,0,0,1,0,0.0,0.0,0,0,0,1,0,0,0,0,1
2026-03-06,Aarhus Fremad,AaB,AaB 0-1 Aarhus Fremad,21,26,73.1,25.8,91.0,59.5,0,1,1,,,0,B. Rolland,2wwpfsducpmryacr17y8k70iy,0.0,0,0,0,1,0.0,0.0,1,0,0,0,0,0,0,0,1
2026-03-06,AaB,Aarhus Fremad,AaB 0-1 Aarhus Fremad,36,46,76.7,16.6,87.9,53.6,0,1,1,,,0,A. Håpnes,5y2mfgruizah0ylcz7q1abw9g,0.0,0,0,0,1,0.0,0.0,1,0,0,0,0,0,0,1,0
2026-03-06,Aarhus Fremad,AaB,AaB 0-1 Aarhus Fremad,40,42,79.7,12.0,86.9,52.7,0,1,1,,,0,K. Andersen,f1mn7hl9ythw3bblz9lguqtjo,0.3613787889480591,0,1,0,1,0.0,0.3613787889480591,1,0,0,0,0,0,0,1,0
2026-03-06,AaB,Aarhus Fremad,AaB 0-1 Aarhus Fremad,44,45,91.7,73.8,91.7,70.8,0,1,1,,,0,M. Nielsen,bcdp9e3dezuaybm8ndrsanbx0,0.0,0,0,1,0,0.0,0.0,0,0,0,1,0,0,1,0,0
2026-03-06,AaB,Aarhus Fremad,AaB 0-1 Aarhus Fremad,45,54,72.7,78.5,87.0,39.2,0,1,1,,,0,V. Møller,5521epytthhw9afm2r3jn3384,0.0,0,0,1,0,0.0,0.0,0,1,0,0,0,0,0,0,1
