ID,Team
ctvzi2jbl1q6xzq0s3sexj73g,Bodø Glimt
6oxoag5c6zbnn09wx08vz4iak,Brann
eujf9nqky8c5jnahb2f76m86o,Bryne
e5txudmuc2qpc460bs4lb5aff,Fredrikstad
crlocdyqyb1fdhck54qxs65rl,HamKam
d8w1m5j3jbd1eva8524dv4a20,Haugesund
4q0b35m26thti4c2on9a3npk0,KFUM
uqspd1bx7f6mq8ohj50u1k1k,Kristiansund
45v50owpvshpijizwwlcw4lni,Molde
c7jgkxx1czv5etn7snf1r6p2m,Rosenborg
btaf9fuj3xctycyjeqwereaow,Sandefjord
doohk95o6e8pkqah8vkop51dg,Sarpsborg 08
ew0hpuiweoltpsg5f51r2w64t,Strømsgodset
80hgdmpkvdrhw1ge9nks2kxvy,Tromsø
8q6cv8g4bd3xdl7m88kll16na,Vålerenga
bsykw9d70ffqe9atosc92n1e9,Viking
