ID,Team
224tl8u2smnbyliroayk69nt0,Pittsburgh Riverhounds
2iwybwokic7nmr1t33abdbjoq,Phoenix Rising
2n3wgr89m7jl8tmioemit2pgq,Hartford Athletic
5h878vnmkbuy2ummddprusxgq,El Paso Locomotive
5qfq6cwtrgzd2szijivns7rjl,Tampa Bay Rowdies
5x54jbfk11lrsmipgsx7cdbai,Loudoun United
6597wqy6gmpv3zjx7rp8cdj46,North Carolina
7c9knuwazz9k9449u5rnuuy5m,Las Vegas Lights
7neuneh44n9rtsfsh6r0sb9no,Sacramento Republic
83cpn99fh7ulkwe8nezy8a3mx,Louisville City
87c66ubwpzykovmkaf1t46bis,San Antonio
8cpjplodpphtkbt0hq8sr8mqs,Indy Eleven
aj8ytsr2ap33tod0hd8ofzaw9,FC Tulsa
ak0rmms5xl49w57i2rvid1tk9,Colorado Springs
b1rpb2ox52uxcmjrsnqd95pk5,Detroit City
b5l2e3csycjb8twvq9ek0j5gq,Oakland Roots
bk3zg8yaj5uoqhxzwons3bo8a,New Mexico United
bu5w8wprynlj9mvphvy8sd94f,Miami
c9xffml4i7ihblp1qhus9w3fu,Birmingham Legion
cf5r1qpotp6n5i3vdchsp2en1,Orange County SC
ck22dnk93ng8ax7wonlff7yms,Lexington
daicfonrbj124lu2la2rctxck,Rhode Island
e3k8yw2rbmphyfu5htn4yi5jk,Charleston Battery
kfq8fhwnmycbtad1u0fyefx0,Monterey Bay
