id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2816348403,1,34,16,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2025-05-18T10:59:39.173Z,2025-05-18T11:58:41Z,,,,,5735960215,194,5f3wfx327z9hef9k9l37c90wl,5735960211,130,4,5735960207,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5736131821,197,19904,5735960209,59,"1, 18, 30, 13, 24, 55, 15, 12, 11, 7, 10, 2, 6, 14, 16, 17, 19, 26, 27, 37",5735960217,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5735960205,30,"9lgnm175tw163z53b8bmiu5pm, bitixkzgt5p65rlo2bnllcf6x, eq7tnnzwq0g9q4eac0o9t9xey, 5f3wfx327z9hef9k9l37c90wl, 4n3t1p3zn5yzjv4w0clo3xvjd, bp2ellllifbtxgf0p8qlbm1nt, dyzzo6n83rg4fpvmqqa69moes, vrzye4jqrafujmjw3wakjpxw, akxcr1xe62dyl5jmh3ataq13o, 195o7hchielt14ic49r3k06sq, 73lwz4he5erpp25zi8crjvztg, 9qskwuil30g48xr3ax5p9j6j9, wnin2353js3p5rh4d7e2ymwa, 5m27f84vvraap8bmfujt1qiok, dk9nlp77b6q38p751f8w3o8np, 6d8194j12jdzgqk5uwcemecr8, 9o10vhew3jar8tqnkabw0qoyx, dacr7r8nr09ke3o8dhqmdrklw, c9kn2pfftaimeqknbu9p8neok, b6q0tf252xvikt39g8jevju38",5735960213,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816350609,1,34,16,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2025-05-18T11:05:12.417Z,2025-05-18T15:59:09Z,,,,,5736132859,194,1xjhud4hyekcg08nue1iosmsq,5736132861,197,12608,5735971201,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5735971199,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5735971191,30,"53y263xxfdf1itytiqhg3v6c5, 1xjhud4hyekcg08nue1iosmsq, 6xjbcik3a56d0vqy4vrq5eokp, 7uia9zlz3axnuc6usdn9u4kfe, 1ykl08k2c2kwxukw0gvslf6qd, 6ylzm57bvpufg3cenadtv7qhh, 1hbucfyn2l3bxcw5r4zcb1dlg, 3ylgelxr6ssp42hidfnchqp2i, babnrlnt04mal0268p9dxas8a, 9yiz575rldkwu7icgqwk1qmdx, 94hei5v2f93ga4b0iwxxisbu1, 32ohywx3gs0u6bqm4z59wxmmt, 1yqlkot5sh85ot3eemo67djv9, 7rtrg77m3xozgfhu3p2ihfey2, 1k9g7x8jwhzcpx8bc5ji7og0k, 9s85lkd1qi525r4horgbtostl, chsirsawrhuh787kofklnjmqd, 6c2isptqoy4cq5c8rlr9s1roq, 6uvp2evoo07gv5rc5ht2l012i, 9yiqlgp7rqim6dhszwaog9fdg",5735971195,59,"1, 2, 38, 34, 13, 14, 37, 10, 45, 18, 17, 3, 7, 11, 24, 25, 29, 59, 71, 28",5735971197,130,2,5735971193,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816381135,2,32,1,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2025-05-18T12:00:15.255Z,2025-05-18T17:37:01Z,,,,,5736134319,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816381143,2,32,1,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2025-05-18T12:00:15.255Z,2025-05-18T12:00:18Z,,,,,5736134341,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816381177,3,1,1,0,0,cftj6g399tknheudaxsdpfdgb,1,50.2,50.0,2025-05-18T12:00:15.256Z,2025-05-18T12:00:18Z,vrzye4jqrafujmjw3wakjpxw,T. Jørgensen,,,5736134421,279,S,5736134419,213,2.87,5736134417,212,23.7,5736134413,140,28.5,5736134415,141,59.4,5736134411,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816381193,4,1,1,0,3,cftj6g399tknheudaxsdpfdgb,0,28.8,59.1,2025-05-18T12:00:18.586Z,2025-05-18T15:38:45Z,bp2ellllifbtxgf0p8qlbm1nt,S. Radić,,,5736134497,141,13.7,5737287909,157,,5736134493,56,Right,5736134495,140,69.0,5736134503,1,,5736134499,212,52.3,5736134501,213,5.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816381213,3,1,1,0,7,c165yjiny1qnmfdvefxvflnkc,0,28.7,86.6,2025-05-18T12:00:22.572Z,2025-05-18T12:53:35Z,6ylzm57bvpufg3cenadtv7qhh,D. van Bruggen,,,5736134563,213,0.33,5736134557,140,45.9,5736134553,3,,5736134559,141,95.7,5736134555,56,Back,5736134561,212,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816381227,5,1,1,0,10,cftj6g399tknheudaxsdpfdgb,1,51.3,1.6,2025-05-18T12:00:25.425Z,2025-05-18T12:00:28Z,bitixkzgt5p65rlo2bnllcf6x,J. Mbom,,,5736134645,140,31.3,5736134651,213,2.98,5736134643,56,Back,5736134647,141,6.5,5736134649,212,21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816381243,6,1,1,0,13,cftj6g399tknheudaxsdpfdgb,1,31.3,11.6,2025-05-18T12:00:28.633Z,2025-05-18T12:00:31Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5736134719,213,1.74,5736134717,212,29.2,5736134713,140,26.7,5736134711,56,Back,5736134715,141,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816381283,7,1,1,0,16,cftj6g399tknheudaxsdpfdgb,1,26.8,54.0,2025-05-18T12:00:31.616Z,2025-05-18T12:00:36Z,bp2ellllifbtxgf0p8qlbm1nt,S. Radić,,,5736134979,213,5.03,5736134981,1,,5736134973,140,36.7,5736134977,212,33.3,5736134971,56,Back,5736134975,141,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
