id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/8/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/15/value,qualifier/11/value,qualifier/18/id,qualifier/18/qualifierId
2751401525,1,34,16,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2024-11-24T16:13:59.402Z,2024-11-24T17:06:54Z,,,,,5380804799,130,8,5380804805,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5380804793,30,"bl9em2c9quspd4afzwqn81xxw, 9ic9msq3tj4gx8wqa6wfwk50q, dux0skggr99ydjz3kn58p3wmh, al9l7egkwbc0pv68zk42gegut, ayqy2vql1oumokqly9ahfrnx1, 7xc0qldxpidl07vij2wgu1sk5, 6tckvu2rw7ns18dq7dim0sout, ftw3io63hk5vuoa3lyfgowes, 7hw1plnv7nvxnqpnfnxcxszpx, 8g4r9maz4invihjmdzpfxy0np, bbezbukg20q5b6kfnjuzhs55g, ckhhpn9ppgvlrtubf7li3se09, 4cbaoo2irqtme9goxuz6s3ey2, 8inyievyp1az6q3dtlkpynf56, aahyom322jdc6f21960ycuzth, 6b8vhoisrfwkljhz4u7pduej8, c9u2w9ikckbrra8vln2ucbf9w, 823p7p1amx8lp445bo6bi01lg, 2ubad2kxha6n1c8c8sr2ogmad, rq6npjy37kolscu8lrj4r2dx",5380804797,59,"21, 22, 15, 12, 6, 2, 10, 36, 14, 7, 16, 1, 5, 8, 11, 13, 17, 19, 24, 33",5380804795,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5380804801,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5380804803,194,8g4r9maz4invihjmdzpfxy0np,5381061513,197,790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751405075,1,34,16,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2024-11-24T16:17:38.589Z,2024-11-24T16:58:05Z,,,,,5380824149,130,4,5380824143,30,"15fo180vixn0lb65fujttit3p, 6v4ykv7aw86ql22oksh682kus, 5kghds186740jygx97bihh6mt, d854rlweyk5wq6d2veyviukq2, 6ul2nma4j0a7e2li6wyyrpal1, 5is9bcj143orulo4biogwxzl6, bpw4cd5vmghjhelb3uxupmqjt, 6d0lxiep13vdv32bdb0xwyrys, 39f0bq9uk4etkf75uzu6qyrmy, diwrq7ulrey4juxk4dafct0q1, 9pnirb3qt48zeui3su8cvu1ka, 2wwpfsducpmryacr17y8k70iy, b13l1wrb747y9cdc8wqltan6d, bqcjd0macjc7hmtz7zx34ym6t, 58o5ram4bf58357786j9jr7kk, c36ffo382u9flu5foebt4di39, deyq3zqd0vwc821ngqldxqor9, 5733iw16239m83syv5dm8huj9, 84f41rjxyp3rthpk1fu66wrqi, d85h1t14o7agqal849ca7fehg",5381040295,197,6292,5380824145,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5380824151,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5380824155,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5380824147,59,"32, 7, 3, 13, 12, 5, 21, 14, 9, 11, 17, 4, 8, 10, 15, 23, 26, 30, 31, 33",5380824153,194,d854rlweyk5wq6d2veyviukq2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751447373,2,32,1,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2024-11-24T17:02:37.391Z,2024-11-24T17:02:37Z,,,,,5381059205,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751447389,2,32,1,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2024-11-24T17:02:37.391Z,2024-11-24T22:13:55Z,,,,,5381059263,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751447443,3,1,1,0,0,b3r6d8ydtmtjckam6pku9y400,1,50.2,49.9,2024-11-24T17:02:37.392Z,2024-11-24T17:02:40Z,7hw1plnv7nvxnqpnfnxcxszpx,A. Cornelius,,,5381059553,212,12.8,5381059547,56,Back,5381059551,141,39.8,5381059549,140,39.9,5381059557,279,S,5381059555,213,3.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751447463,4,1,1,0,3,b3r6d8ydtmtjckam6pku9y400,1,39.4,40.3,2024-11-24T17:02:40.883Z,2024-11-24T17:02:42Z,ftw3io63hk5vuoa3lyfgowes,W. Clem,,,5381059655,212,13.2,5381059657,213,2.05,5381059649,56,Back,5381059651,140,33.6,5381059653,141,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751447497,5,1,1,0,4,b3r6d8ydtmtjckam6pku9y400,1,33.6,57.5,2024-11-24T17:02:42.386Z,2024-11-24T17:02:44Z,7xc0qldxpidl07vij2wgu1sk5,K. Diks,,,5381059853,140,42.1,5381059859,213,0.79,5381059851,56,Back,5381059857,212,12.7,5381059855,141,70.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751447523,6,1,1,0,7,b3r6d8ydtmtjckam6pku9y400,1,42.0,70.7,2024-11-24T17:02:44.531Z,2024-11-24T17:02:46Z,dux0skggr99ydjz3kn58p3wmh,M. López,,,5381060027,56,Back,5381060031,141,56.0,5381060035,213,4.34,5381060033,212,10.7,5381060029,140,38.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751447577,7,1,1,0,9,b3r6d8ydtmtjckam6pku9y400,1,38.2,56.1,2024-11-24T17:02:46.499Z,2024-11-24T17:02:50Z,7xc0qldxpidl07vij2wgu1sk5,K. Diks,,,5381060361,212,11.5,5381060363,213,1.20,5381060355,56,Back,5381060357,140,42.2,5381060359,141,71.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751447607,8,1,1,0,13,b3r6d8ydtmtjckam6pku9y400,0,44.6,77.1,2024-11-24T17:02:50.739Z,2024-11-24T17:02:53Z,dux0skggr99ydjz3kn58p3wmh,M. López,,,5381060509,140,94.5,5381060503,155,,5381060535,1,,5381060505,56,Center,5381060527,213,0.00,5381060519,212,52.4,5381060513,141,77.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751447649,3,52,1,0,17,anga7587r1zv4ey71ge9zxol3,1,4.2,23.9,2024-11-24T17:02:54.761Z,2024-11-24T19:24:57Z,15fo180vixn0lb65fujttit3p,J. Storch,,,5381677035,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751447879,4,1,1,0,29,anga7587r1zv4ey71ge9zxol3,0,15.9,40.4,2024-11-24T17:03:06.424Z,2024-11-24T17:03:10Z,15fo180vixn0lb65fujttit3p,J. Storch,,,5381062057,140,72.4,5381062061,212,61.9,5381062059,141,66.6,5381062065,1,,5381062053,199,,5381062055,56,Center,5381062063,213,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751447947,10,1,1,0,34,b3r6d8ydtmtjckam6pku9y400,1,27.2,14.3,2024-11-24T17:03:11.650Z,2024-11-24T17:03:14Z,ayqy2vql1oumokqly9ahfrnx1,P. Hatzidiakos,,,5381062355,141,5.2,5381062357,212,7.9,5381062351,56,Back,5381062359,213,4.04,5381062353,140,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751448003,11,1,1,0,37,b3r6d8ydtmtjckam6pku9y400,1,21.3,5.3,2024-11-24T17:03:14.578Z,2024-11-24T17:03:19Z,9ic9msq3tj4gx8wqa6wfwk50q,G. Gocholeishvili,,,5381062703,141,32.9,5381062701,140,6.4,5381062699,56,Back,5381062705,212,24.4,5381062707,213,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751448027,12,1,1,0,41,b3r6d8ydtmtjckam6pku9y400,0,4.8,30.1,2024-11-24T17:03:18.963Z,2024-11-24T17:03:20Z,bl9em2c9quspd4afzwqn81xxw,T. Sander,,,5381062825,213,5.78,5381062827,1,,5381062817,56,Back,5381062815,157,,5381062821,141,3.1,5381062819,140,36.9,5381062823,212,38.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751448085,5,1,1,0,43,anga7587r1zv4ey71ge9zxol3,1,62.7,95.0,2024-11-24T17:03:20.488Z,2024-11-24T17:03:24Z,5kghds186740jygx97bihh6mt,B. Hämäläinen,,,5381063183,140,71.6,5381063181,56,Left,5381063189,213,5.70,5381063185,141,85.9,5381063179,3,,5381063187,212,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751448093,7,1,1,0,46,anga7587r1zv4ey71ge9zxol3,0,70.7,85.4,2024-11-24T17:03:24.001Z,2024-11-24T17:04:24Z,6d0lxiep13vdv32bdb0xwyrys,L. Sandgrav,,,5381067833,140,75.5,5381067839,213,0.55,5381067837,212,5.9,5381063201,56,Left,5381067835,141,89.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751448109,13,43,1,0,46,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2024-11-24T17:03:24.002Z,2024-11-24T17:03:55Z,ftw3io63hk5vuoa3lyfgowes,W. Clem,,,5381063335,233,7,5381065445,144,7,5381063295,56,Back,5381063297,285,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751448087,6,43,1,0,47,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2024-11-24T17:03:24.553Z,2024-11-24T17:03:55Z,6d0lxiep13vdv32bdb0xwyrys,L. Sandgrav,,,5381065463,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751448113,14,43,1,0,48,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2024-11-24T17:03:26.259Z,2024-11-24T17:03:57Z,9ic9msq3tj4gx8wqa6wfwk50q,G. Gocholeishvili,,,5381065539,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751448137,15,1,1,0,49,b3r6d8ydtmtjckam6pku9y400,1,15.9,6.1,2024-11-24T17:03:26.418Z,2024-11-24T17:03:28Z,9ic9msq3tj4gx8wqa6wfwk50q,G. Gocholeishvili,,,5381063451,56,Back,5381063459,213,1.97,5381063453,140,8.7,5381063455,141,32.6,5381063457,212,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751448145,16,1,1,0,51,b3r6d8ydtmtjckam6pku9y400,0,8.0,32.9,2024-11-24T17:03:28.562Z,2024-11-24T17:03:29Z,bl9em2c9quspd4afzwqn81xxw,T. Sander,,,5381063483,140,30.8,5381063489,213,6.25,5381063481,56,Back,5381063491,1,,5381063487,212,24.0,5381063485,141,31.7,5381063479,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751448183,9,1,1,0,53,anga7587r1zv4ey71ge9zxol3,0,69.6,63.3,2024-11-24T17:03:30.537Z,2024-11-24T17:03:31Z,d854rlweyk5wq6d2veyviukq2,C. Winther,,,5381063713,56,Center,5381063719,141,60.9,5381063723,212,11.4,5381063727,213,6.14,5381063715,140,80.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751448211,17,1,1,0,54,b3r6d8ydtmtjckam6pku9y400,1,22.2,34.0,2024-11-24T17:03:31.618Z,2024-11-24T17:03:33Z,ayqy2vql1oumokqly9ahfrnx1,P. Hatzidiakos,,,5381063875,56,Back,5381063881,212,17.5,5381063879,141,43.0,5381063877,140,37.8,5381063885,213,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751448221,18,1,1,0,55,b3r6d8ydtmtjckam6pku9y400,1,39.5,42.8,2024-11-24T17:03:33.362Z,2024-11-24T19:26:07Z,7hw1plnv7nvxnqpnfnxcxszpx,A. Cornelius,,,5381063945,56,Back,5381063951,141,60.3,5381063947,140,39.6,5381063959,213,1.56,5381063955,212,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
