id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2818166395,1,34,16,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2025-05-24T12:13:44.544Z,2025-05-24T14:02:30Z,,,,,5746090209,194,6ul2nma4j0a7e2li6wyyrpal1,5746062695,59,"40, 24, 3, 22, 12, 5, 21, 19, 26, 14, 15, 4, 17, 18, 20, 23, 29, 32, 35, 37",5746062693,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5746062699,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5746062701,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5746088519,197,6291,5746062697,130,4,5746062691,30,"52vwj2s29n7wngablotd7pboq, 4bstdc3zla1sn85ev3bcmw1lg, 5kghds186740jygx97bihh6mt, 79b0b6eqck5vn4b3fawxsaok, 6ul2nma4j0a7e2li6wyyrpal1, 5is9bcj143orulo4biogwxzl6, bpw4cd5vmghjhelb3uxupmqjt, 6zhj070huc77sl5o5bx6ey5g4, deyq3zqd0vwc821ngqldxqor9, 6d0lxiep13vdv32bdb0xwyrys, 58o5ram4bf58357786j9jr7kk, 2wwpfsducpmryacr17y8k70iy, 9pnirb3qt48zeui3su8cvu1ka, 8gdfn7j6xac9p4jh94hk40jdg, 8ydi45wh0naevno6aos78vi09, 8ynqwlysks0dvn46ja7zq5vit, cty7nsrs5yn785m330c2gbwq2, 15fo180vixn0lb65fujttit3p, 9kxm9u9x44fkygeh5xpag7pqs, 4be1c2qp4tcftgdqxz36e32ms",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818166755,1,34,16,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2025-05-24T12:16:25.182Z,2025-05-24T15:02:43Z,,,,,5746064773,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5746064775,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5746064767,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5746064771,130,17,5746064765,30,"3tka46re2gsi9uw7pbxx5m0pg, dj2f6zk2cd8u9lt6odoei9cdl, 8bi1tlz62rjwyak4pnnzgp562, 8vi3l756ez0e96k7muvg4ekbu, 7yst1mucy7jynmpzu1thox2i, 697f50qoetodmfe8ybcuey2ac, ejixz16616b7krftxyzv9yiac, 6v1kpakd3t0jhnoh1eh75ev4k, 1arzd8hqj73byhduozscqz5uy, 5lz41celw55rz3zh8pohclw5w, 5521epytthhw9afm2r3jn3384, a2l4ep71txn2edtjjcgewai5m, hpzxgnwobdttfgd04dykf26t, bcdp9e3dezuaybm8ndrsanbx0, 2k8bmlxzt0qi7divtxye0a5ii, brinkgys7026490q3ixx6h9uc, bm3k1knugkwa8z319dscr2yhg, 5vrsflxiv2dgfa8199a2qxsve, 2s4umgp3yqnb2hubfoaxhwr2s, e7wytawxwiszq1aass5ujio7o",5746090031,194,1arzd8hqj73byhduozscqz5uy,5746089769,197,1731,5746064769,59,"40, 14, 17, 13, 4, 33, 21, 16, 11, 10, 28, 1, 2, 5, 23, 24, 26, 27, 32, 36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171397,2,32,1,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2025-05-24T13:00:25.953Z,2025-05-24T17:22:42Z,,,,,5746090709,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171391,2,32,1,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2025-05-24T13:00:25.953Z,2025-05-24T13:00:26Z,,,,,5746090691,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171405,3,1,1,0,0,36g6ifzjliec1jqnbtf7yesme,1,50.0,50.0,2025-05-24T13:00:25.954Z,2025-05-24T13:00:29Z,1arzd8hqj73byhduozscqz5uy,M. Jørgensen,,,5746090739,56,Back,5746090749,279,S,5746090743,141,50.3,5746090745,212,20.4,5746090747,213,3.13,5746090741,140,30.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171417,4,1,1,0,3,36g6ifzjliec1jqnbtf7yesme,1,28.7,50.6,2025-05-24T13:00:29.177Z,2025-05-24T13:00:33Z,7yst1mucy7jynmpzu1thox2i,L. Kramer,,,5746090807,141,76.3,5746090811,213,1.59,5746090805,140,28.3,5746090803,56,Back,5746090809,212,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171431,5,1,1,0,7,36g6ifzjliec1jqnbtf7yesme,1,21.5,77.6,2025-05-24T13:00:33.241Z,2025-05-24T13:00:35Z,8vi3l756ez0e96k7muvg4ekbu,B. Pudel,,,5746090869,212,26.6,5746090861,56,Back,5746090867,141,49.1,5746090863,140,4.2,5746090871,213,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171449,6,1,1,0,9,36g6ifzjliec1jqnbtf7yesme,1,4.2,48.5,2025-05-24T13:00:35.546Z,2025-05-24T13:00:39Z,3tka46re2gsi9uw7pbxx5m0pg,B. Pedersen,,,5746090939,56,Back,5746090943,141,17.4,5746090945,212,21.7,5746090941,140,8.8,5746090947,213,4.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171455,7,1,1,0,13,36g6ifzjliec1jqnbtf7yesme,1,10.3,16.2,2025-05-24T13:00:39.418Z,2025-05-24T17:31:06Z,697f50qoetodmfe8ybcuey2ac,E. Makolli,,,5746090959,155,,5746090965,141,10.7,5746090969,213,6.15,5746090963,140,37.0,5746090961,56,Back,5746090967,212,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171483,8,1,1,0,15,36g6ifzjliec1jqnbtf7yesme,1,39.2,13.1,2025-05-24T13:00:41.258Z,2025-05-24T13:00:45Z,5lz41celw55rz3zh8pohclw5w,O. Ross,,,5746091075,141,6.1,5746091073,140,37.5,5746091079,213,4.35,5746091077,212,5.1,5746091071,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
