id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/18/value,qualifier/14/value
2739930887,1,34,16,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2024-10-27T12:10:21.953Z,2024-10-27T13:02:44Z,,,,,5318206333,130,4,5318206327,30,"53y263xxfdf1itytiqhg3v6c5, 1xjhud4hyekcg08nue1iosmsq, 6xjbcik3a56d0vqy4vrq5eokp, 7uia9zlz3axnuc6usdn9u4kfe, 6ylzm57bvpufg3cenadtv7qhh, 7hukebiijqntuvetwzralzuju, 22zuxw8lez5w4vjd8spzzysyc, 3ylgelxr6ssp42hidfnchqp2i, 9yiz575rldkwu7icgqwk1qmdx, 1hbucfyn2l3bxcw5r4zcb1dlg, 94hei5v2f93ga4b0iwxxisbu1, 32ohywx3gs0u6bqm4z59wxmmt, 2anc9ug5nr25khmtcc4id2pxx, 1yqlkot5sh85ot3eemo67djv9, 7rtrg77m3xozgfhu3p2ihfey2, 1k9g7x8jwhzcpx8bc5ji7og0k, 9s85lkd1qi525r4horgbtostl, chsirsawrhuh787kofklnjmqd, 22760086vtvx2xulry32q21hw, 6uvp2evoo07gv5rc5ht2l012i",5318206331,59,"1, 2, 38, 34, 14, 4, 8, 10, 18, 37, 17, 3, 5, 7, 11, 24, 25, 29, 33, 71",5318206337,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5318206329,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5318366119,194,7hukebiijqntuvetwzralzuju,5318206335,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5318365277,197,12608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739933325,1,34,16,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2024-10-27T12:15:00.769Z,2024-10-27T12:59:23Z,,,,,5318218979,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5318218969,30,"15fo180vixn0lb65fujttit3p, 6v4ykv7aw86ql22oksh682kus, 8ydi45wh0naevno6aos78vi09, 5is9bcj143orulo4biogwxzl6, 6ul2nma4j0a7e2li6wyyrpal1, 2wwpfsducpmryacr17y8k70iy, d854rlweyk5wq6d2veyviukq2, 6d0lxiep13vdv32bdb0xwyrys, deyq3zqd0vwc821ngqldxqor9, bpw4cd5vmghjhelb3uxupmqjt, 58o5ram4bf58357786j9jr7kk, 5q5ph311bi310zt1e45u7i7dh, b13l1wrb747y9cdc8wqltan6d, 39f0bq9uk4etkf75uzu6qyrmy, diwrq7ulrey4juxk4dafct0q1, 9pnirb3qt48zeui3su8cvu1ka, c36ffo382u9flu5foebt4di39, 6miatayfy07pf4og7qc7c7pqs, 5733iw16239m83syv5dm8huj9, h7epk76hlpd9fi38jzyu7ac4",5318366447,194,deyq3zqd0vwc821ngqldxqor9,5318218973,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5318366449,197,21353,5318218981,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5318218975,59,"32, 7, 20, 5, 12, 4, 13, 14, 26, 21, 15, 6, 8, 9, 11, 17, 23, 27, 30, 40",5318218977,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739963421,2,32,1,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2024-10-27T13:00:43.322Z,2024-10-27T18:53:36Z,,,,,5318375441,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739963419,2,32,1,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2024-10-27T13:00:43.322Z,2024-10-27T13:00:43Z,,,,,5318375435,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739963465,3,1,1,0,0,anga7587r1zv4ey71ge9zxol3,1,50.0,50.0,2024-10-27T13:00:43.323Z,2024-10-27T13:00:48Z,deyq3zqd0vwc821ngqldxqor9,F. Gytkjær,,,5318375699,141,62.3,5318375705,279,S,5318375695,56,Back,5318375703,213,2.81,5318375701,212,26.0,5318375697,140,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739963521,4,1,1,0,4,anga7587r1zv4ey71ge9zxol3,0,28.3,59.3,2024-10-27T13:00:48.129Z,2024-10-27T18:55:21Z,5is9bcj143orulo4biogwxzl6,L. Lissens,,,5318375985,56,Right,5318375993,212,51.8,5318375991,141,19.8,5320444279,157,,5318375997,1,,5318375989,140,70.5,5318375995,213,5.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739963505,3,44,1,0,7,c165yjiny1qnmfdvefxvflnkc,1,27.8,75.8,2024-10-27T13:00:50.648Z,2024-10-27T13:40:20Z,7hukebiijqntuvetwzralzuju,O. Provstgaard,,,5318375915,285,,5318375913,56,Back,5318376059,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739963525,5,44,1,0,7,anga7587r1zv4ey71ge9zxol3,0,72.2,24.2,2024-10-27T13:00:50.649Z,2024-10-27T13:50:52Z,deyq3zqd0vwc821ngqldxqor9,F. Gytkjær,,,5318376007,286,,5318376069,233,3,5318376005,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739963513,4,1,1,0,7,c165yjiny1qnmfdvefxvflnkc,0,25.1,68.6,2024-10-27T13:00:50.998Z,2024-10-27T13:00:51Z,7hukebiijqntuvetwzralzuju,O. Provstgaard,,,5318375957,213,0.06,5318375955,212,11.8,5318375949,56,Back,5318375953,141,69.6,5318375951,140,36.3,5318375947,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739963573,6,1,1,0,10,anga7587r1zv4ey71ge9zxol3,0,64.7,20.2,2024-10-27T13:00:54.271Z,2024-10-27T18:55:36Z,d854rlweyk5wq6d2veyviukq2,C. Winther,,,5318376207,213,5.75,5320445113,157,,5318376205,212,9.9,5320445119,1,,5318376201,140,72.8,5318376203,141,12.8,5318376197,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
