id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2797889645,1,34,16,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2025-04-07T16:03:27.296Z,2025-04-07T17:57:00Z,,,,,5634068063,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5634068055,130,4,5634068051,59,"1, 2, 24, 10, 30, 5, 35, 8, 36, 28, 7, 6, 16, 11, 17, 31, 34, 37, 42, 43",5634068059,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5634068047,30,"4ilnnpfgjfz35lni9ppzd93v9, hsobzlp177f9755mpsi7szmy, 2tthm6h5o033dz440e476rhbe, etz3rjq7chhaomst5u28nnff9, 56sjqxlsf5iitgww0hogez8ph, bmkq3hz1z7lsji7wgr3j8978p, 2xp7fbcl6a4nua9jpm7b4k1sk, d2itdjj8bx0aztqggfgv7amay, 7z1pv1wezn5rydamnknklv2ay, 53nd6a4o02ebb0w2s12prijje, chteizjcvxpvze9p77gcttcoa, aa0888u38mjc1euhofseazb2t, 3hi7nroqhsvj8elv8nd9a8ted, 9auqrrixu34cgkpe8trlkaoh6, 91suopiz6irxqevhzv8lx76ne, 6anvl82jyio52wo87cbxdp4np, 1tt9jeekqwpyi6lnj4vyouuj8, 1gr0k94d0nh7msa32f6728aok, 5ssy03x358qpvbvlhdg2152qc, aiuhe3d7tyvihiu5ysnp2740k",5634200693,197,5111,5634430789,194,4ilnnpfgjfz35lni9ppzd93v9,5634068049,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797891027,1,34,16,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2025-04-07T16:06:10.819Z,2025-04-07T20:31:48Z,,,,,5634194613,197,21749,5634194611,194,3sadup8mjwu4dc96wz6lmixn9,5634075905,30,"1h31bvtbae4q0edlp0u672hn9, aswmi1pnkzkvkexp8ngief6j9, 4vmgmzg2004twoc39sk7zkzqh, cgkvw4q8ddcjl0po181upzwx6, 6my7s0ezr6jldotm1w6nk7b9x, 8xrco8qhcvplvc3wmcschoi22, 7je01bs3a4q6c2gd02ee6da3u, 8og8nxbkcb63van4llvpkbe8l, 3sadup8mjwu4dc96wz6lmixn9, 3uytpqx0e0jr6zgbfl1znsm7e, 43q9ytkbmtk5y3tgv77v7pmg9, e9lrzsiy94y46h62rnawi3sgl, 61sojkdsmaz9hbwaskt4rws15, bz77hr28a1yskifpuvzu8smsq, 6jgd09iosfe5mn3tputmjx2ad, 5f4qlbohzja204gxm9tkiekq2, 5lssweodhkyifhj333v6f6r6c, ca1b5707pdpx0ucug40ggnahh, 76av5tb8cxhmr0yh3pbmk8npw, 3l3v5wj4c7vtqqwu05b526590",5634075909,59,"1, 2, 11, 19, 5, 14, 10, 6, 9, 31, 7, 3, 8, 15, 16, 22, 23, 29, 39, 40",5634075913,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5634075907,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5634075911,130,10,5634075915,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797912803,2,32,1,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2025-04-07T17:02:06.615Z,2025-04-07T17:02:07Z,,,,,5634201867,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797912799,2,32,1,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2025-04-07T17:02:06.615Z,2025-04-07T20:21:25Z,,,,,5634201861,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797912819,3,1,1,0,0,9qsmopgutr7ut5g6workk8w4i,1,49.8,49.9,2025-04-07T17:02:06.616Z,2025-04-07T17:50:02Z,7z1pv1wezn5rydamnknklv2ay,M. Kvistgaarden,,,5634201949,56,Back,5634201957,213,2.67,5634201959,279,S,5634201951,140,44.6,5634201953,141,54.0,5634201955,212,6.1,5634201961,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797912827,4,1,1,0,2,9qsmopgutr7ut5g6workk8w4i,1,44.6,54.2,2025-04-07T17:02:09.411Z,2025-04-07T17:02:11Z,d2itdjj8bx0aztqggfgv7amay,B. Tahirović,,,5634202013,212,21.5,5634202011,141,38.5,5634202007,56,Back,5634202009,140,26.8,5634202015,213,3.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797912843,5,1,1,0,4,9qsmopgutr7ut5g6workk8w4i,1,31.0,44.5,2025-04-07T17:02:11.011Z,2025-04-07T17:02:14Z,etz3rjq7chhaomst5u28nnff9,D. Wass,,,5634202107,213,4.61,5634202099,56,Back,5634202105,212,10.2,5634202101,140,30.0,5634202103,141,29.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797912857,6,1,1,0,7,9qsmopgutr7ut5g6workk8w4i,1,31.2,26.5,2025-04-07T17:02:14.107Z,2025-04-07T17:02:17Z,56sjqxlsf5iitgww0hogez8ph,J. Vanlerberghe,,,5634202169,140,81.5,5634202175,213,6.12,5634202173,212,53.5,5634202171,141,14.1,5634202165,155,,5634202167,56,Right,5634202177,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797912859,7,44,1,0,9,9qsmopgutr7ut5g6workk8w4i,1,81.6,11.4,2025-04-07T17:02:16.192Z,2025-04-07T19:12:40Z,hsobzlp177f9755mpsi7szmy,S. Sebulonsen,,,5634202181,56,Right,5634202183,286,,5634202203,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797912853,3,44,1,0,9,5rz9enoyknpg8ji78za5b82p0,0,18.4,88.6,2025-04-07T17:02:16.193Z,2025-04-07T19:12:40Z,4vmgmzg2004twoc39sk7zkzqh,G. Links,,,5634202151,285,,5634202149,56,Back,5634202237,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
