id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2716180925,1,34,16,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2024-09-01T11:04:59.425Z,2024-09-01T11:57:28Z,,,,,5188274471,130,4,5188274473,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5188274469,59,"16, 22, 21, 6, 12, 4, 7, 8, 10, 15, 25, 1, 5, 9, 11, 13, 17, 18, 26, 31",5188442289,197,23447,5188274475,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5188442287,194,5j9d1plbsd5ic01r3ggziutwp,5188274467,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5188274465,30,"c7gwbtdqptxjtu3tn3xctvit, 3361cs2j60yxzy9mir80byqc5, 5rgwuoboh1keb2gf21wcw5dqt, 5j9d1plbsd5ic01r3ggziutwp, 6rd849oap6uh93wdwjk8590q1, czpstoiy12awqpasz573ckp91, 5x8064b3yr7txk0czddfjtffu, 1902oagnhlo7x9xpumxvg1t78, a8opuarwq9byw73nhfgvo9nca, 3ejggtt1du1cui3wc1f8oqx62, adg5dfvzxjrzlz1n2jsfeyx3o, a6ham5hnwv62w3tynikyal68l, 33sxiwcjeqcop3ukuok86ujmd, 828b7y3phhpb62srvtrjhtgk4, 7foqorbwhgqjghtxa2nax6kgk, 5q4p56lg1vjsqo824aql0e1d6, 6gh4z3yubnpypzoakjom1rj3e, bh06w40pwo6dy3cjrw3r2i0ru, 5jdkdvxssuc8gvzwwrq5bs76y, 637840asun7f3wo16c5zkhi50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716182997,1,34,16,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2024-09-01T11:11:38.565Z,2024-09-01T12:01:39Z,,,,,5188285021,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5188285017,130,4,5188449049,194,4n3t1p3zn5yzjv4w0clo3xvjd,5188285015,59,"16, 24, 30, 18, 55, 4, 28, 37, 14, 7, 15, 1, 6, 10, 11, 12, 17, 31, 32, 19",5188285011,30,"dk9nlp77b6q38p751f8w3o8np, 4n3t1p3zn5yzjv4w0clo3xvjd, eq7tnnzwq0g9q4eac0o9t9xey, bitixkzgt5p65rlo2bnllcf6x, bp2ellllifbtxgf0p8qlbm1nt, auk14ut8cwaqop549u2zmfgt1, 3bvc29bootgmo9tsapvygvnu2, b6q0tf252xvikt39g8jevju38, 5m27f84vvraap8bmfujt1qiok, 195o7hchielt14ic49r3k06sq, 73lwz4he5erpp25zi8crjvztg, 9lgnm175tw163z53b8bmiu5pm, wnin2353js3p5rh4d7e2ymwa, 9wgpudcet9m8doz9ezbjxzkrt, akxcr1xe62dyl5jmh3ataq13o, vrzye4jqrafujmjw3wakjpxw, 6d8194j12jdzgqk5uwcemecr8, dhc4ni9kqr758h17hwo6pq9zo, xyt0wq20toh97811t65vu4no, 9o10vhew3jar8tqnkabw0qoyx",5188285013,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5188452765,197,20912,5188285019,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716215661,2,32,1,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2024-09-01T12:00:57.918Z,2024-09-01T12:00:58Z,,,,,5188454965,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716215677,2,32,1,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2024-09-01T12:00:57.918Z,2024-09-01T12:00:58Z,,,,,5188455031,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716215695,3,1,1,0,0,aljua8crr0vkwit0j3m59jw9j,1,50.1,50.1,2024-09-01T12:00:58.101Z,2024-09-01T12:00:59Z,a8opuarwq9byw73nhfgvo9nca,K. Ingason,,,5188455129,56,Back,5188455137,213,2.91,5188455135,212,13.7,5188455139,279,S,5188455133,141,54.8,5188455131,140,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716215713,4,1,1,0,1,aljua8crr0vkwit0j3m59jw9j,1,38.5,53.4,2024-09-01T12:00:59.454Z,2024-09-01T12:01:01Z,1902oagnhlo7x9xpumxvg1t78,L. Björklund,,,5188455203,56,Back,5188455211,213,4.52,5188455209,212,30.6,5188455207,141,9.2,5188455205,140,32.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716215773,5,1,1,0,3,aljua8crr0vkwit0j3m59jw9j,1,32.9,10.7,2024-09-01T12:01:01.550Z,2024-09-01T12:01:04Z,3361cs2j60yxzy9mir80byqc5,A. Oggesen,,,5188455425,141,32.8,5188455427,212,18.0,5188455429,213,2.15,5188455423,140,23.5,5188455421,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716215819,6,1,1,0,6,aljua8crr0vkwit0j3m59jw9j,1,24.2,34.3,2024-09-01T12:01:04.046Z,2024-09-01T12:01:07Z,6rd849oap6uh93wdwjk8590q1,M. Soulas,,,5188455639,212,24.5,5188455635,140,23.6,5188455637,141,70.3,5188455633,56,Back,5188455641,213,1.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716215859,7,1,1,0,9,aljua8crr0vkwit0j3m59jw9j,1,26.4,72.0,2024-09-01T12:01:07.727Z,2024-09-01T12:01:10Z,czpstoiy12awqpasz573ckp91,D. Grétarsson,,,5188455831,141,96.3,5188455833,212,22.3,5188455829,140,40.7,5188455835,213,0.83,5188455827,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716215897,8,1,1,0,12,aljua8crr0vkwit0j3m59jw9j,1,41.2,95.9,2024-09-01T12:01:10.639Z,2024-09-01T12:01:12Z,5rgwuoboh1keb2gf21wcw5dqt,J. Simonsen,,,5188456001,140,30.3,5188456013,213,3.69,5188456009,212,13.4,5188455999,56,Back,5188456005,141,85.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
