id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/15/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2742700797,1,34,16,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2024-11-02T15:12:09.485Z,2024-11-02T16:00:38Z,,,,,5333414927,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5333414933,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5333414931,197,23959,5333414925,130,8,5333414921,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5333414923,59,"1, 27, 44, 28, 3, 4, 18, 6, 7, 19, 9, 5, 10, 15, 16, 24, 25, 26, 30, 90",5333414919,30,"dmxzug2enscx331w5vmdzn2s5, 6m5ftd7c68b2d4d2931xs5srt, 60z63hezwwosjnhvamcwxtre1, 2mawaijd9czgtd5jh9myk434l, effgiwtme6eu08o1ninlnqqqd, 8cox96ikk1k4c24f0y5ef45x, 3aoh34sqan7y34c2qa1d6xkyy, 6uj3c69lgu6boblkjiuhoy6eh, 1329qhvvxpp6j4q5esh4n3hii, 6w9yjs87tue7noq71ftksxez8, 606hufq6dapf3qxcgilbc8tt5, 1t67kvg37jg2elz9voix5kcet, ag40mk09zc8tzbkr7dnnqumay, 2datlbzulrzdgpyxv3fkzn0et, brsecgiiou4wcogoimzawyhp0, 3cdo7b8vwb5kzeoaxzqm6esk4, cyuoj9pesenese4i3pklv7d2h, 54ipja7wrxji6kn8yw5uhr6ga, 4vfbiav52mg5s9vnx53f0nhuc, 9yuyz4ci6wqikd6ckjstbt2i1",5333414929,194,8cox96ikk1k4c24f0y5ef45x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742706013,1,34,16,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2024-11-02T15:14:31.439Z,2024-11-02T15:14:32Z,,,,,5333441189,59,"16, 22, 23, 6, 12, 4, 7, 8, 15, 25, 24, 1, 5, 9, 11, 17, 18, 20, 26, 31",5333441197,194,5j9d1plbsd5ic01r3ggziutwp,5333441201,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5333441185,30,"c7gwbtdqptxjtu3tn3xctvit, 3361cs2j60yxzy9mir80byqc5, 7sbdudf1vycn8hinw0giakpyi, 5j9d1plbsd5ic01r3ggziutwp, 6rd849oap6uh93wdwjk8590q1, czpstoiy12awqpasz573ckp91, 5x8064b3yr7txk0czddfjtffu, 1902oagnhlo7x9xpumxvg1t78, 3ejggtt1du1cui3wc1f8oqx62, adg5dfvzxjrzlz1n2jsfeyx3o, 94560hgwsjkx8qgz48f7gzitw, a6ham5hnwv62w3tynikyal68l, 33sxiwcjeqcop3ukuok86ujmd, 828b7y3phhpb62srvtrjhtgk4, 7foqorbwhgqjghtxa2nax6kgk, 6gh4z3yubnpypzoakjom1rj3e, bh06w40pwo6dy3cjrw3r2i0ru, d88feog3dgv09oxbzn15xqesq, 5jdkdvxssuc8gvzwwrq5bs76y, 637840asun7f3wo16c5zkhi50",5333441193,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5333441191,130,4,5333441187,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5333441199,197,4602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742791837,3,32,1,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2024-11-02T16:01:28.424Z,2024-11-02T16:01:28Z,,,,,5333881841,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742791857,4,32,1,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2024-11-02T16:01:28.424Z,2024-11-02T18:54:31Z,,,,,5333881957,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742791913,5,1,1,0,0,aljua8crr0vkwit0j3m59jw9j,1,49.9,49.7,2024-11-02T16:01:28.425Z,2024-11-02T16:01:31Z,3ejggtt1du1cui3wc1f8oqx62,L. Qamili,,,5333882277,140,34.6,5333882283,213,3.07,5333882275,56,Back,5333882281,212,16.1,5333882285,279,S,5333882279,141,51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742791959,6,1,1,0,2,aljua8crr0vkwit0j3m59jw9j,1,34.6,51.5,2024-11-02T16:01:31.170Z,2024-11-02T16:34:24Z,5j9d1plbsd5ic01r3ggziutwp,R. Vinderslev,,,5333882473,140,26.9,5333882471,56,Back,5333882479,213,4.16,5333882477,212,15.3,5333882475,141,32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742791999,7,1,1,0,4,aljua8crr0vkwit0j3m59jw9j,1,26.9,32.4,2024-11-02T16:01:33.331Z,2024-11-02T16:01:35Z,6rd849oap6uh93wdwjk8590q1,M. Soulas,,,5333882643,56,Back,5333882649,212,19.1,5333882647,141,60.5,5333882651,213,1.61,5333882645,140,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742792085,8,1,1,0,6,aljua8crr0vkwit0j3m59jw9j,1,26.1,63.4,2024-11-02T16:01:35.347Z,2024-11-02T16:01:39Z,czpstoiy12awqpasz573ckp91,D. Grétarsson,,,5333883037,140,29.0,5333883039,141,90.6,5333883035,56,Back,5333883043,213,1.41,5333883041,212,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742792297,9,1,1,0,10,aljua8crr0vkwit0j3m59jw9j,1,26.6,78.1,2024-11-02T16:01:39.155Z,2024-11-02T16:01:46Z,7sbdudf1vycn8hinw0giakpyi,E. Duru,,,5333884019,213,4.61,5333884009,56,Back,5333884011,140,23.9,5333884017,212,26.6,5333884013,141,39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742792379,10,1,1,0,17,aljua8crr0vkwit0j3m59jw9j,1,41.9,25.5,2024-11-02T16:01:46.242Z,2024-11-02T16:01:50Z,6rd849oap6uh93wdwjk8590q1,M. Soulas,,,5333884433,213,0.49,5333884427,140,47.0,5333884431,212,6.1,5333884425,56,Back,5333884429,141,29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742792391,11,1,1,0,19,aljua8crr0vkwit0j3m59jw9j,1,47.0,30.4,2024-11-02T16:01:47.922Z,2024-11-02T19:01:33Z,3ejggtt1du1cui3wc1f8oqx62,L. Qamili,,,5333884505,212,6.3,5333884507,213,2.56,5335142919,156,,5333884501,140,42.0,5333884503,141,35.5,5333884499,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742792431,12,1,1,0,22,aljua8crr0vkwit0j3m59jw9j,1,42.0,35.5,2024-11-02T16:01:50.514Z,2024-11-02T16:01:52Z,5j9d1plbsd5ic01r3ggziutwp,R. Vinderslev,,,5333884719,141,22.4,5333884723,213,4.03,5333884721,212,11.5,5333884711,56,Back,5333884715,140,35.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742792457,13,1,1,0,23,aljua8crr0vkwit0j3m59jw9j,1,33.2,27.0,2024-11-02T16:01:52.115Z,2024-11-02T16:01:54Z,6rd849oap6uh93wdwjk8590q1,M. Soulas,,,5333884869,141,54.3,5333884873,213,1.65,5333884871,212,18.6,5333884865,56,Back,5333884867,140,31.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742792525,14,1,1,0,25,aljua8crr0vkwit0j3m59jw9j,0,36.6,56.1,2024-11-02T16:01:53.971Z,2024-11-02T16:01:56Z,czpstoiy12awqpasz573ckp91,D. Grétarsson,,,5333885183,155,,5333885195,213,5.80,5333885189,141,27.0,5333885199,1,,5333885187,140,72.6,5333885185,56,Center,5333885193,212,42.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742792577,4,1,1,0,28,9w3sjm5ml4sjr2v81oxzdrt8v,1,27.6,75.9,2024-11-02T16:01:56.819Z,2024-11-02T16:01:58Z,60z63hezwwosjnhvamcwxtre1,N. Dyhr,,,5333885469,213,5.69,5333885461,56,Back,5333885463,140,41.5,5333885465,141,61.4,5333885459,3,,5333885467,212,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742792679,5,1,1,0,30,9w3sjm5ml4sjr2v81oxzdrt8v,1,41.6,61.4,2024-11-02T16:01:58.834Z,2024-11-02T16:02:02Z,6uj3c69lgu6boblkjiuhoy6eh,J. Björkengren,,,5333885989,141,75.0,5333885997,213,1.06,5333885983,56,Back,5333885981,3,,5333885985,140,46.5,5333885993,212,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742792693,6,61,1,0,33,9w3sjm5ml4sjr2v81oxzdrt8v,0,51.5,87.1,2024-11-02T16:02:02.274Z,2024-11-02T19:02:04Z,606hufq6dapf3qxcgilbc8tt5,S. Nordli,,,5333886047,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742792705,7,5,1,0,34,9w3sjm5ml4sjr2v81oxzdrt8v,0,58.2,101.4,2024-11-02T16:02:02.819Z,2024-11-02T18:05:10Z,1329qhvvxpp6j4q5esh4n3hii,M. Touré,,,5333886121,347,,5333886117,56,Left,5333886167,233,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
