id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2804893973,1,34,16,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2025-04-22T16:02:03.349Z,2025-04-22T17:09:14Z,,,,,5672716337,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5672716331,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5672716339,194,5uqf7a0y0fd1hf2rrmgx11tuy,5672804077,197,4597,5672716329,30,"49wkw0wkn4ta18b6657vjvglx, 7cpkykvmy8ujrahzdz7ksk2c5, 5ucbttulfcdufwr751zj0zcic, 5r1v2w303bvj0vv1893qr5d5h, 55gunqozsj8gs6oua7ee5xxhx, 2rvx2wlfj2rxzcgye6wiw0v84, 3zc9hy5uicgp21wr6z5wyuntg, 4cubrfqgrc5ivbd6fdj3k3zf8, 7a1vtc0e7ubua2t0dwx9ufk7o, 5uqf7a0y0fd1hf2rrmgx11tuy, 4oxlpwcwpa44hstpm70iep0id, chjcbjc5nv8uyiusfafts5zv9, 3qcjzsb466tfri5yrj35wztw4, 2r8s61bmydlumhg62wd0y6fis, bgviotid6bht0k2452r5gehw4, 6rd6a2f1k124dzp1p904yq3h0, ayistjficdvpd0v10681qf578, c1s6vw84nupd8c0mbj8gov5lg, 9h6c9ue598hllcri39erjitqs, apspqh3shqfwobvh35x60q5g4",5672716341,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5672716333,59,"13, 2, 25, 6, 4, 24, 36, 8, 7, 10, 11, 3, 17, 18, 20, 21, 29, 34, 38, 45",5672716335,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804894265,1,34,16,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2025-04-22T16:03:41.600Z,2025-04-22T16:58:00Z,,,,,5672717891,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5672717885,130,4,5672717883,59,"1, 6, 55, 80, 4, 22, 19, 24, 18, 11, 41, 3, 7, 13, 14, 15, 16, 20, 21, 30",5672717889,194,a87w6l9zsbahdi4knm1347zs9,5672717881,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5672717887,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5672803911,197,25260,5672717879,30,"41ii5y9ebz5e3xhaif9kc8qmt, 8yfw9f74h0yfz51bkxxc8p39x, 8mn8apr6n7t7s6lx4d4vvdnca, 1qcf5gb8wf8f4tu94xh96yqy, ddl5g7raihnc9s4u3wetz8v10, a87w6l9zsbahdi4knm1347zs9, bwfg9frq2ecbzg7wlzqjtnv2s, drlp4xtkta08jiu0px6m4ocq2, elhmf9cc26ec5p1wnwonuxf4l, djlyi0ad4x1p0k4thn8n0axw4, e64kcio0848bpw39eedbjyd5g, c3sp1x0shf2b24rl5ike6v0iy, 1sdsqfn743j5tqem8ra7sppn8, bidudbkachfl6126lhlr254wk, bcscjb9jdgu4ims9n3vwuj5k9, 8mcb1hiuk9rzf48cx3vj5i3th, 7yim2aepctujr2m4p20a97755, e73sexp7kse0wlykdi7xcbg2c, 78kzajya12k4sm0ebfl37d6ok, bewwsztrqoqdp5ttkxry0i1yi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804910549,2,32,1,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2025-04-22T17:01:52.931Z,2025-04-22T17:01:55Z,,,,,5672810363,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804910545,2,32,1,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2025-04-22T17:01:52.931Z,2025-04-22T22:56:12Z,,,,,5672810343,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804910557,3,1,1,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,50.1,50.1,2025-04-22T17:01:52.932Z,2025-04-22T17:01:56Z,4oxlpwcwpa44hstpm70iep0id,G. Wikheim,,,5672810443,212,20.9,5672810437,56,Back,5672810445,213,2.98,5672810439,140,30.5,5672810441,141,55.1,5672810447,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804910563,4,1,1,0,3,77tfx9me4aaqhzv78bmgsy9bg,1,27.9,55.4,2025-04-22T17:01:56.494Z,2025-04-22T17:01:58Z,2rvx2wlfj2rxzcgye6wiw0v84,L. Høgsberg,,,5672810483,140,48.3,5672810481,56,Back,5672810485,141,49.0,5672810489,213,6.08,5672810487,212,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804910565,5,50,1,0,5,77tfx9me4aaqhzv78bmgsy9bg,1,54.8,48.3,2025-04-22T17:01:58.744Z,2025-04-22T19:11:01Z,4oxlpwcwpa44hstpm70iep0id,G. Wikheim,,,5672810575,233,3,5672810493,56,Center,5672810495,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804910579,3,7,1,0,5,59as3grjvj19voay31j3yfgni,1,45.2,51.7,2025-04-22T17:01:58.745Z,2025-04-22T22:54:58Z,drlp4xtkta08jiu0px6m4ocq2,O. Sørensen,,,5673492137,384,,5672810567,285,,5673492139,178,,5672810571,233,5,5672810565,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804910581,4,61,1,0,6,59as3grjvj19voay31j3yfgni,1,43.6,49.9,2025-04-22T17:01:59.427Z,2025-04-22T22:55:00Z,bwfg9frq2ecbzg7wlzqjtnv2s,P. Bravo,,,5672810569,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804910911,9,61,1,0,7,59as3grjvj19voay31j3yfgni,1,48.8,43.9,2025-04-22T17:02:00.099Z,2025-04-22T22:55:03Z,drlp4xtkta08jiu0px6m4ocq2,O. Sørensen,,,5672812533,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
