id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/11/value,qualifier/12/value,qualifier/13/value,qualifier/15/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2784768131,1,34,16,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2025-03-07T17:03:12.484Z,2025-03-07T17:56:54Z,,,,,5562280655,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5562280649,130,9,5562280645,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5562280643,30,"49wkw0wkn4ta18b6657vjvglx, 7cpkykvmy8ujrahzdz7ksk2c5, 5ucbttulfcdufwr751zj0zcic, 5r1v2w303bvj0vv1893qr5d5h, 2rvx2wlfj2rxzcgye6wiw0v84, 179f3j88wnmze82aicikkez9, 3zc9hy5uicgp21wr6z5wyuntg, 4cubrfqgrc5ivbd6fdj3k3zf8, 4oxlpwcwpa44hstpm70iep0id, 7a1vtc0e7ubua2t0dwx9ufk7o, 5uqf7a0y0fd1hf2rrmgx11tuy, 2r8s61bmydlumhg62wd0y6fis, bgviotid6bht0k2452r5gehw4, 6rd6a2f1k124dzp1p904yq3h0, e07zv7ag985v8lq9sebfi27l5, b4ocx2ub0iwtzac72gd0voj6c, e457dpvb3s2dna0yivjrmhudw, c1s6vw84nupd8c0mbj8gov5lg, 9h6c9ue598hllcri39erjitqs, apspqh3shqfwobvh35x60q5g4",5562280653,194,5uqf7a0y0fd1hf2rrmgx11tuy,5562365039,197,4597,5562280651,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5562280647,59,"13, 2, 25, 6, 24, 15, 36, 8, 11, 7, 10, 18, 20, 21, 23, 28, 30, 34, 38, 45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784768413,1,34,16,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2025-03-07T17:04:16.352Z,2025-03-07T17:56:14Z,,,,,5562282381,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5562282373,30,"53y263xxfdf1itytiqhg3v6c5, 6lap0wrnichfxxqm5kgtoflec, 6xjbcik3a56d0vqy4vrq5eokp, 7uia9zlz3axnuc6usdn9u4kfe, 1ykl08k2c2kwxukw0gvslf6qd, 6ylzm57bvpufg3cenadtv7qhh, 2anc9ug5nr25khmtcc4id2pxx, 1xjhud4hyekcg08nue1iosmsq, babnrlnt04mal0268p9dxas8a, 1hbucfyn2l3bxcw5r4zcb1dlg, 3ylgelxr6ssp42hidfnchqp2i, 1yqlkot5sh85ot3eemo67djv9, 7rtrg77m3xozgfhu3p2ihfey2, 94hei5v2f93ga4b0iwxxisbu1, 9yiz575rldkwu7icgqwk1qmdx, 1k9g7x8jwhzcpx8bc5ji7og0k, 9s85lkd1qi525r4horgbtostl, 6kdy9i4p9fgyn45d9avb66cd0, chsirsawrhuh787kofklnjmqd, 6c2isptqoy4cq5c8rlr9s1roq",5562282375,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5562365993,197,25261,5562282379,130,4,5562282377,59,"1, 23, 38, 34, 13, 14, 5, 2, 45, 37, 10, 7, 11, 17, 18, 24, 25, 26, 29, 59",5562282383,194,1xjhud4hyekcg08nue1iosmsq,5562282385,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784785081,2,32,1,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2025-03-07T18:00:07.898Z,2025-03-07T20:35:30Z,,,,,5562371167,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784785085,3,32,1,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2025-03-07T18:00:07.898Z,2025-03-07T18:00:10Z,,,,,5562371173,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784785093,4,1,1,0,1,c165yjiny1qnmfdvefxvflnkc,1,49.9,49.9,2025-03-07T18:00:08.899Z,2025-03-07T20:35:53Z,3ylgelxr6ssp42hidfnchqp2i,K. Kirkegaard,,,5562371229,141,53.6,5562371235,279,S,5562371225,56,Back,5562371233,213,3.02,5562371231,212,20.3,5562371227,140,30.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784785113,5,1,1,0,4,c165yjiny1qnmfdvefxvflnkc,0,31.3,46.4,2025-03-07T18:00:12.421Z,2025-03-07T18:58:40Z,6ylzm57bvpufg3cenadtv7qhh,D. van Bruggen,,,5562371321,141,26.3,5562371327,1,,5562371319,140,71.0,5562371315,157,,5562371325,213,5.97,5562371317,56,Center,5562371323,212,43.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784785127,3,1,1,0,5,77tfx9me4aaqhzv78bmgsy9bg,1,29.4,63.7,2025-03-07T18:00:13.125Z,2025-03-07T20:36:21Z,5r1v2w303bvj0vv1893qr5d5h,M. Brink,,,5562371377,212,12.1,5562371371,56,Back,5562371373,140,38.2,5562371369,3,,5562371375,141,75.3,5562371379,213,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784785167,6,44,1,0,8,77tfx9me4aaqhzv78bmgsy9bg,1,32.2,79.0,2025-03-07T18:00:16.069Z,2025-03-07T20:36:39Z,5uqf7a0y0fd1hf2rrmgx11tuy,B. Nygren,,,5562371563,56,Back,5562371565,285,,5562371571,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784785135,6,44,1,0,8,c165yjiny1qnmfdvefxvflnkc,0,67.8,21.0,2025-03-07T18:00:16.070Z,2025-03-07T20:36:40Z,2anc9ug5nr25khmtcc4id2pxx,H. Barry,,,5562371581,233,6,5562371421,56,Right,5562371423,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784785141,4,1,1,0,8,77tfx9me4aaqhzv78bmgsy9bg,1,35.4,75.9,2025-03-07T18:00:16.428Z,2025-03-07T20:36:45Z,5uqf7a0y0fd1hf2rrmgx11tuy,B. Nygren,,,5562371433,3,,5562371441,212,17.1,5562371435,56,Back,5562371439,141,86.3,5562371437,140,20.6,5562371443,213,2.71,5563225033,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
