id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2728754089,1,34,16,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2024-09-30T16:04:24.201Z,2024-09-30T17:02:23Z,,,,,5257113223,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5257113225,59,"13, 2, 5, 6, 19, 24, 8, 16, 7, 10, 14, 11, 17, 18, 20, 21, 32, 36, 38, 45",5257113233,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5257113229,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5257113231,194,etfoa7t308eq1xdmo9m2gfcgl,5257232323,197,4597,5257113227,130,4,5257113221,30,"49wkw0wkn4ta18b6657vjvglx, 7cpkykvmy8ujrahzdz7ksk2c5, c9e54hwefvwos94ri459uylbe, etfoa7t308eq1xdmo9m2gfcgl, ddsv1cx4vopu1xis5xwkx2qz8, 2rvx2wlfj2rxzcgye6wiw0v84, 4cubrfqgrc5ivbd6fdj3k3zf8, 5r1v2w303bvj0vv1893qr5d5h, 4rgz5z372h6sbwhpxl69cb6c5, 5uqf7a0y0fd1hf2rrmgx11tuy, 7a1vtc0e7ubua2t0dwx9ufk7o, 76k8ic97o66kaq2e52bmp27ai, 3qcjzsb466tfri5yrj35wztw4, 2r8s61bmydlumhg62wd0y6fis, bgviotid6bht0k2452r5gehw4, 6rd6a2f1k124dzp1p904yq3h0, e07zv7ag985v8lq9sebfi27l5, 3zc9hy5uicgp21wr6z5wyuntg, 9h6c9ue598hllcri39erjitqs, apspqh3shqfwobvh35x60q5g4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728754693,1,34,16,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2024-09-30T16:06:07.125Z,2024-09-30T20:05:29Z,,,,,5257231031,197,26270,5257116601,194,bnar4f48vnx4oaz2lzch48es5,5257116587,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5257116599,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5257116597,130,17,5257116603,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5257116591,59,"1, 2, 24, 4, 32, 31, 10, 6, 36, 28, 7, 11, 16, 17, 22, 30, 35, 37, 46, 39",5257116583,30,"4ilnnpfgjfz35lni9ppzd93v9, hsobzlp177f9755mpsi7szmy, 2tthm6h5o033dz440e476rhbe, bnar4f48vnx4oaz2lzch48es5, 506kxojakimt5s0v2c4q6b33e, 6anvl82jyio52wo87cbxdp4np, etz3rjq7chhaomst5u28nnff9, aa0888u38mjc1euhofseazb2t, 7z1pv1wezn5rydamnknklv2ay, 53nd6a4o02ebb0w2s12prijje, chteizjcvxpvze9p77gcttcoa, 9auqrrixu34cgkpe8trlkaoh6, 3hi7nroqhsvj8elv8nd9a8ted, 91suopiz6irxqevhzv8lx76ne, 94didhw8o1blxonn4amoahcr9, 56sjqxlsf5iitgww0hogez8ph, 2xp7fbcl6a4nua9jpm7b4k1sk, 1gr0k94d0nh7msa32f6728aok, 64ux2tbb35i36qf6oij2263qi, 6qqhmb2q0bf5opsys6pb11gd0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775171,2,32,1,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2024-09-30T17:00:08.598Z,2024-09-30T17:00:08Z,,,,,5257234641,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775175,3,32,1,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2024-09-30T17:00:08.598Z,2024-09-30T20:02:48Z,,,,,5257234647,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775185,3,1,1,0,1,9qsmopgutr7ut5g6workk8w4i,1,50.1,49.9,2024-09-30T17:00:09.599Z,2024-09-30T20:03:13Z,7z1pv1wezn5rydamnknklv2ay,M. Kvistgaarden,,,5257234723,213,5.58,5257234715,141,47.4,5257234727,279,S,5257234711,140,52.0,5257234719,212,2.6,5257234709,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775197,4,1,1,0,2,9qsmopgutr7ut5g6workk8w4i,1,52.7,42.5,2024-09-30T17:00:11.124Z,2024-09-30T17:18:24Z,chteizjcvxpvze9p77gcttcoa,N. Vallys,,,5257234813,140,54.8,5257234815,141,18.6,5257234817,212,16.4,5257234819,213,4.85,5257234811,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775199,5,1,1,0,3,9qsmopgutr7ut5g6workk8w4i,1,55.9,14.4,2024-09-30T17:00:12.012Z,2024-09-30T17:18:43Z,etz3rjq7chhaomst5u28nnff9,D. Wass,,,5257234825,140,60.7,5257234823,56,Right,5257234829,212,6.9,5257234831,213,5.53,5257234827,141,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775203,6,1,1,0,3,9qsmopgutr7ut5g6workk8w4i,0,60.7,8.0,2024-09-30T17:00:12.540Z,2024-09-30T17:18:45Z,hsobzlp177f9755mpsi7szmy,S. Sebulonsen,,,5257234843,56,Right,5257234845,140,65.3,5257234851,213,0.93,5257234847,141,17.6,5257234849,212,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775209,4,12,1,0,4,77tfx9me4aaqhzv78bmgsy9bg,1,27.1,88.9,2024-09-30T17:00:12.845Z,2024-09-30T17:19:51Z,2rvx2wlfj2rxzcgye6wiw0v84,L. Høgsberg,,,5257234905,141,89.1,5257234903,140,27.5,5257234909,213,0.31,5257305541,233,8,5257234901,56,Back,5257305539,397,,5257234907,212,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728775231,8,74,1,0,4,9qsmopgutr7ut5g6workk8w4i,1,66.5,10.5,2024-09-30T17:00:12.846Z,2024-09-30T17:19:52Z,etz3rjq7chhaomst5u28nnff9,D. Wass,,,5257305439,285,,5257305493,397,,5257235017,56,Right,5257305549,233,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
