id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2731473711,1,34,16,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2024-10-06T11:09:10.009Z,2024-10-06T12:07:32Z,,,,,5271967277,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5271967265,30,"c7gwbtdqptxjtu3tn3xctvit, 3361cs2j60yxzy9mir80byqc5, 7sbdudf1vycn8hinw0giakpyi, 5x8064b3yr7txk0czddfjtffu, 6rd849oap6uh93wdwjk8590q1, czpstoiy12awqpasz573ckp91, adg5dfvzxjrzlz1n2jsfeyx3o, 5j9d1plbsd5ic01r3ggziutwp, bh06w40pwo6dy3cjrw3r2i0ru, 3ejggtt1du1cui3wc1f8oqx62, 6gh4z3yubnpypzoakjom1rj3e, a6ham5hnwv62w3tynikyal68l, 33sxiwcjeqcop3ukuok86ujmd, 1902oagnhlo7x9xpumxvg1t78, 828b7y3phhpb62srvtrjhtgk4, 7foqorbwhgqjghtxa2nax6kgk, 5rgwuoboh1keb2gf21wcw5dqt, 94560hgwsjkx8qgz48f7gzitw, 5jdkdvxssuc8gvzwwrq5bs76y, kqzhnojt6vy71c0d62qhyu50",5271967275,194,5j9d1plbsd5ic01r3ggziutwp,5271967267,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5271967271,130,2,5272139137,197,23447,5271967273,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5271967269,59,"16, 22, 23, 7, 12, 4, 25, 6, 18, 15, 17, 1, 5, 8, 9, 11, 21, 24, 26, 28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731474603,1,34,16,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2024-10-06T11:11:07.566Z,2024-10-06T12:30:47Z,,,,,5271972591,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5271972595,130,4,5271972597,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5272145075,197,21751,5271972589,30,"49wkw0wkn4ta18b6657vjvglx, 7cpkykvmy8ujrahzdz7ksk2c5, c9e54hwefvwos94ri459uylbe, etfoa7t308eq1xdmo9m2gfcgl, ddsv1cx4vopu1xis5xwkx2qz8, 2rvx2wlfj2rxzcgye6wiw0v84, 4cubrfqgrc5ivbd6fdj3k3zf8, 5r1v2w303bvj0vv1893qr5d5h, 4rgz5z372h6sbwhpxl69cb6c5, 5uqf7a0y0fd1hf2rrmgx11tuy, 7a1vtc0e7ubua2t0dwx9ufk7o, 76k8ic97o66kaq2e52bmp27ai, 3qcjzsb466tfri5yrj35wztw4, 2r8s61bmydlumhg62wd0y6fis, bgviotid6bht0k2452r5gehw4, 6rd6a2f1k124dzp1p904yq3h0, e07zv7ag985v8lq9sebfi27l5, 3zc9hy5uicgp21wr6z5wyuntg, 9h6c9ue598hllcri39erjitqs, apspqh3shqfwobvh35x60q5g4",5271972593,59,"13, 2, 5, 6, 19, 24, 8, 16, 7, 10, 14, 11, 17, 18, 20, 21, 32, 36, 38, 45",5271972601,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5271972599,194,etfoa7t308eq1xdmo9m2gfcgl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731507907,2,32,1,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2024-10-06T12:01:54.494Z,2024-10-06T12:01:57Z,,,,,5272152281,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731507841,2,32,1,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2024-10-06T12:01:54.494Z,2024-10-06T15:42:35Z,,,,,5272151981,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731507971,3,1,1,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,50.0,50.0,2024-10-06T12:01:54.495Z,2024-10-06T12:02:00Z,etfoa7t308eq1xdmo9m2gfcgl,J. Tverskov,,,5272152555,56,Back,5272152561,212,15.8,5272152559,141,31.9,5272152557,140,40.5,5272152563,213,4.03,5272152565,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731508039,4,1,1,0,1,77tfx9me4aaqhzv78bmgsy9bg,1,36.9,50.7,2024-10-06T12:01:56.490Z,2024-10-06T12:51:04Z,5r1v2w303bvj0vv1893qr5d5h,M. Brink,,,5272152917,56,Center,5272152921,141,47.0,5272152919,140,54.0,5272152925,213,6.14,5272152923,212,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731562275,681,1,1,0,2,77tfx9me4aaqhzv78bmgsy9bg,1,53.3,47.0,2024-10-06T12:01:56.494Z,2024-10-06T12:51:16Z,etfoa7t308eq1xdmo9m2gfcgl,J. Tverskov,,,5272447713,212,18.0,5272447709,140,41.8,5272447711,141,27.4,5272447715,213,3.98,5272447707,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731562959,682,1,1,0,6,77tfx9me4aaqhzv78bmgsy9bg,1,48.4,35.2,2024-10-06T12:02:00.494Z,2024-10-06T12:52:00Z,ddsv1cx4vopu1xis5xwkx2qz8,L. Hey,,,5272451409,140,43.3,5272451413,212,17.9,5272451411,141,60.3,5272451407,56,Back,5272451415,213,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731508123,5,1,1,0,10,77tfx9me4aaqhzv78bmgsy9bg,1,55.5,69.9,2024-10-06T12:02:04.794Z,2024-10-06T12:02:08Z,2rvx2wlfj2rxzcgye6wiw0v84,L. Høgsberg,,,5272153319,212,27.9,5272153321,213,0.69,5272153317,141,95.9,5272153315,140,76.0,5272153313,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731508193,6,1,1,0,14,77tfx9me4aaqhzv78bmgsy9bg,1,69.1,94.8,2024-10-06T12:02:08.618Z,2024-10-06T12:02:14Z,c9e54hwefvwos94ri459uylbe,D. Svensson,,,5272153747,141,80.9,5272153745,140,48.1,5272153751,213,3.55,5272153743,56,Back,5272153749,212,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
