id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2706886727,1,34,16,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2024-08-09T15:56:31.366Z,2024-08-09T17:29:00Z,,,,,5137282833,197,25260,5137188887,59,"16, 6, 15, 17, 4, 22, 24, 2, 14, 9, 58, 1, 3, 5, 7, 11, 13, 20, 21, 45",5137188889,130,8,5137188883,30,"7yim2aepctujr2m4p20a97755, 8yfw9f74h0yfz51bkxxc8p39x, 8mcb1hiuk9rzf48cx3vj5i3th, 5cjx2i2perp5vr62en4cyer1m, ddl5g7raihnc9s4u3wetz8v10, a87w6l9zsbahdi4knm1347zs9, drlp4xtkta08jiu0px6m4ocq2, 2mawaijd9czgtd5jh9myk434l, bcscjb9jdgu4ims9n3vwuj5k9, e6p5i2ujvk0t9mo0h2gvrlka1, 4zrsiizdbzwwkmit3ta0f0dbe, 41ii5y9ebz5e3xhaif9kc8qmt, c3sp1x0shf2b24rl5ike6v0iy, arhoud4vfjvmjaf2pkbm6s48a, 1sdsqfn743j5tqem8ra7sppn8, djlyi0ad4x1p0k4thn8n0axw4, bidudbkachfl6126lhlr254wk, e73sexp7kse0wlykdi7xcbg2c, 78kzajya12k4sm0ebfl37d6ok, 3xp5g6ooahnnxyqpldskaytp1",5137188893,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5137188891,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5137216217,194,a87w6l9zsbahdi4knm1347zs9,5137188885,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706886881,1,34,16,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2024-08-09T15:58:24.767Z,2024-08-09T17:00:03Z,,,,,5137283515,197,25261,5137189715,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5137280013,194,7hukebiijqntuvetwzralzuju,5137189713,30,"53y263xxfdf1itytiqhg3v6c5, 9s85lkd1qi525r4horgbtostl, 6xjbcik3a56d0vqy4vrq5eokp, 7hukebiijqntuvetwzralzuju, 6ylzm57bvpufg3cenadtv7qhh, 1ykl08k2c2kwxukw0gvslf6qd, 7uia9zlz3axnuc6usdn9u4kfe, 2anc9ug5nr25khmtcc4id2pxx, babnrlnt04mal0268p9dxas8a, 1hbucfyn2l3bxcw5r4zcb1dlg, 94hei5v2f93ga4b0iwxxisbu1, 32ohywx3gs0u6bqm4z59wxmmt, 1yqlkot5sh85ot3eemo67djv9, 22zuxw8lez5w4vjd8spzzysyc, 7rtrg77m3xozgfhu3p2ihfey2, 9yiz575rldkwu7icgqwk1qmdx, ejeagwkwh1ijuwgfpiya8cel1, 1k9g7x8jwhzcpx8bc5ji7og0k, 6c2isptqoy4cq5c8rlr9s1roq, 6uvp2evoo07gv5rc5ht2l012i",5137189717,59,"1, 25, 38, 4, 14, 13, 34, 5, 9, 37, 17, 3, 7, 8, 11, 18, 20, 24, 59, 71",5137189719,130,17,5137189723,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5137189721,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706904841,2,32,1,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2024-08-09T17:00:31.564Z,2024-08-09T17:00:31Z,,,,,5137284131,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706904847,2,32,1,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2024-08-09T17:00:31.564Z,2024-08-09T20:05:59Z,,,,,5137284141,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706904867,3,1,1,0,0,c165yjiny1qnmfdvefxvflnkc,1,50.0,49.4,2024-08-09T17:00:31.565Z,2024-08-09T17:00:35Z,2anc9ug5nr25khmtcc4id2pxx,H. Barry,,,5137284219,56,Back,5137284225,212,23.9,5137284221,140,27.3,5137284223,141,51.7,5137284227,213,3.08,5137284229,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706904869,4,1,1,0,4,c165yjiny1qnmfdvefxvflnkc,0,30.9,55.2,2024-08-09T17:00:35.710Z,2024-08-09T20:13:05Z,7hukebiijqntuvetwzralzuju,O. Provstgaard,,,5137284237,140,78.9,5137284239,141,28.2,5137284245,1,,5137284235,56,Center,5137284243,213,5.93,5137284233,157,,5137284241,212,53.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706904893,3,1,1,0,6,59as3grjvj19voay31j3yfgni,0,21.7,67.3,2024-08-09T17:00:38.031Z,2024-08-09T17:00:40Z,a87w6l9zsbahdi4knm1347zs9,M. Bech,,,5137284351,212,12.9,5137284353,213,0.47,5137284347,140,32.7,5137284349,141,75.9,5137284343,3,,5137284345,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706904907,5,1,1,0,8,c165yjiny1qnmfdvefxvflnkc,0,64.7,23.6,2024-08-09T17:00:40.471Z,2024-08-09T20:13:17Z,9s85lkd1qi525r4horgbtostl,L. Hujber,,,5137284387,3,,5137284397,213,0.76,5137284389,56,Center,5137284393,141,35.7,5137284391,140,72.9,5137284395,212,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706904901,4,8,1,0,9,59as3grjvj19voay31j3yfgni,1,26.8,68.9,2024-08-09T17:00:41.369Z,2024-08-09T20:13:21Z,2mawaijd9czgtd5jh9myk434l,A. Rømer,,,5137986961,384,,5137284379,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706904921,5,1,1,0,12,59as3grjvj19voay31j3yfgni,0,28.9,44.6,2024-08-09T17:00:44.239Z,2024-08-09T20:13:38Z,drlp4xtkta08jiu0px6m4ocq2,O. Sørensen,,,5137284493,56,Back,5137284491,157,,5137284495,140,47.7,5137284501,213,6.16,5137284503,1,,5137284497,141,40.9,5137284499,212,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
