id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/12/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2707901465,1,34,16,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2024-08-11T11:17:09.784Z,2024-08-11T12:08:37Z,,,,,5142679221,130,4,5142679225,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5142679217,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5142817317,194,55gunqozsj8gs6oua7ee5xxhx,5142679223,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5142811341,197,11747,5142679219,59,"13, 5, 2, 6, 4, 19, 21, 29, 40, 14, 7, 9, 11, 15, 17, 18, 23, 24, 32, 38",5142679215,30,"49wkw0wkn4ta18b6657vjvglx, c9e54hwefvwos94ri459uylbe, 7cpkykvmy8ujrahzdz7ksk2c5, etfoa7t308eq1xdmo9m2gfcgl, 55gunqozsj8gs6oua7ee5xxhx, ddsv1cx4vopu1xis5xwkx2qz8, 6rd6a2f1k124dzp1p904yq3h0, 4cubrfqgrc5ivbd6fdj3k3zf8, 3nok8qxxj2zl831wgvc7abxuc, 7a1vtc0e7ubua2t0dwx9ufk7o, 4rgz5z372h6sbwhpxl69cb6c5, 5uqf7a0y0fd1hf2rrmgx11tuy, 76k8ic97o66kaq2e52bmp27ai, 179f3j88wnmze82aicikkez9, 3qcjzsb466tfri5yrj35wztw4, 2r8s61bmydlumhg62wd0y6fis, bxx5rebv553opcpvc2x70g6sq, 2rvx2wlfj2rxzcgye6wiw0v84, e07zv7ag985v8lq9sebfi27l5, 9h6c9ue598hllcri39erjitqs",,,,,,,,,,,,,,,,,,,,,,,,,,,
2707904225,1,34,16,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2024-08-11T11:23:03.107Z,2024-08-11T11:57:17Z,,,,,5142693951,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5142693937,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5142693943,130,13,5142813667,194,deyq3zqd0vwc821ngqldxqor9,5142693947,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5142811703,197,6292,5142693939,59,"32, 24, 20, 3, 12, 23, 13, 14, 26, 21, 17, 1, 4, 6, 7, 15, 19, 22, 33, 9",5142693935,30,"15fo180vixn0lb65fujttit3p, 4bstdc3zla1sn85ev3bcmw1lg, 2sgey1g99rmupumezjo9rkxcl, 5kghds186740jygx97bihh6mt, 6ul2nma4j0a7e2li6wyyrpal1, c36ffo382u9flu5foebt4di39, d854rlweyk5wq6d2veyviukq2, 6d0lxiep13vdv32bdb0xwyrys, deyq3zqd0vwc821ngqldxqor9, bpw4cd5vmghjhelb3uxupmqjt, 9pnirb3qt48zeui3su8cvu1ka, cl3w811fge6189cbclaslb26t, 2wwpfsducpmryacr17y8k70iy, 5q5ph311bi310zt1e45u7i7dh, 6v4ykv7aw86ql22oksh682kus, 58o5ram4bf58357786j9jr7kk, 6zhj070huc77sl5o5bx6ey5g4, 79b0b6eqck5vn4b3fawxsaok, d85h1t14o7agqal849ca7fehg, 39f0bq9uk4etkf75uzu6qyrmy",,,,,,,,,,,,,,,,,,,,,,,,,,,
2707930089,2,32,1,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2024-08-11T12:00:18.880Z,2024-08-11T12:00:19Z,,,,,5142823945,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707930101,2,32,1,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2024-08-11T12:00:18.880Z,2024-08-11T14:37:23Z,,,,,5142823971,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707930127,3,1,1,0,0,anga7587r1zv4ey71ge9zxol3,1,50.1,49.9,2024-08-11T12:00:18.881Z,2024-08-11T12:00:22Z,6d0lxiep13vdv32bdb0xwyrys,L. Sandgrav,,,5142824113,141,45.8,5142824105,56,Back,5142824109,140,30.3,5142824119,213,3.27,5142824117,212,21.0,5142824123,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707930167,4,1,1,0,3,anga7587r1zv4ey71ge9zxol3,1,31.4,50.1,2024-08-11T12:00:22.705Z,2024-08-11T12:54:20Z,5kghds186740jygx97bihh6mt,B. Hämäläinen,,,5142824287,157,,5142824297,213,5.82,5142824293,141,14.9,5142824289,56,Right,5142824299,1,,5142824291,140,77.3,5142824295,212,53.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707930171,5,61,1,0,8,anga7587r1zv4ey71ge9zxol3,1,77.3,14.9,2024-08-11T12:00:27.258Z,2024-08-11T12:54:30Z,deyq3zqd0vwc821ngqldxqor9,F. Gytkjær,,,5142824309,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707930203,6,1,1,0,9,anga7587r1zv4ey71ge9zxol3,1,69.6,10.6,2024-08-11T12:00:28.737Z,2024-08-11T12:00:31Z,4bstdc3zla1sn85ev3bcmw1lg,T. Storm,,,5142824439,56,Center,5142824447,213,1.53,5142824443,141,30.6,5142824445,212,13.6,5142824441,140,70.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707930217,7,1,1,0,12,anga7587r1zv4ey71ge9zxol3,1,70.2,30.6,2024-08-11T12:00:31.312Z,2024-08-11T12:00:32Z,d854rlweyk5wq6d2veyviukq2,C. Winther,,,5142824525,140,66.0,5142824529,212,7.3,5142824523,56,Center,5142824531,213,2.22,5142824527,141,39.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707930237,8,1,1,0,13,anga7587r1zv4ey71ge9zxol3,1,66.0,38.6,2024-08-11T12:00:32.528Z,2024-08-11T12:00:34Z,6d0lxiep13vdv32bdb0xwyrys,L. Sandgrav,,,5142824631,212,18.5,5142824633,213,4.32,5142824629,141,13.4,5142824625,56,Right,5142824627,140,59.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707930259,9,1,1,0,14,anga7587r1zv4ey71ge9zxol3,1,59.0,12.3,2024-08-11T12:00:33.609Z,2024-08-11T14:38:38Z,c36ffo382u9flu5foebt4di39,P. Gregor,,,5142824735,140,67.3,5142824733,56,Right,5142824743,213,5.80,5142824737,141,5.5,5142824741,212,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707930269,10,1,1,0,15,anga7587r1zv4ey71ge9zxol3,0,67.4,5.5,2024-08-11T12:00:34.208Z,2024-08-11T14:38:39Z,4bstdc3zla1sn85ev3bcmw1lg,T. Storm,,,5142824793,213,0.57,5142824785,56,Right,5142824789,141,11.3,5142824787,140,73.3,5142824791,212,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707930265,4,1,1,0,16,77tfx9me4aaqhzv78bmgsy9bg,1,20.8,89.7,2024-08-11T12:00:35.034Z,2024-08-11T14:38:50Z,7cpkykvmy8ujrahzdz7ksk2c5,P. Ankersen,,,5142824759,141,85.4,5142824755,56,Back,5142824761,212,4.1,5142824763,213,5.50,5142824757,140,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707930273,5,1,1,0,17,77tfx9me4aaqhzv78bmgsy9bg,1,23.6,85.4,2024-08-11T12:00:36.349Z,2024-08-11T12:00:37Z,etfoa7t308eq1xdmo9m2gfcgl,J. Tverskov,,,5142824807,213,1.70,5142824803,141,95.7,5142824799,56,Back,5142824805,212,7.1,5142824801,140,22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707930299,6,1,1,0,18,77tfx9me4aaqhzv78bmgsy9bg,1,22.7,95.7,2024-08-11T12:00:37.021Z,2024-08-11T12:53:37Z,7cpkykvmy8ujrahzdz7ksk2c5,P. Ankersen,,,5142824961,213,3.79,5142824953,56,Back,5142824959,212,19.0,5142824955,140,8.3,5142824957,141,78.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707930317,7,1,1,0,20,77tfx9me4aaqhzv78bmgsy9bg,1,8.5,78.6,2024-08-11T12:00:39.181Z,2024-08-11T12:00:41Z,ddsv1cx4vopu1xis5xwkx2qz8,L. Hey,,,5142825039,56,Back,5142825047,213,4.35,5142825043,141,58.4,5142825045,212,14.7,5142825041,140,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707930373,8,1,1,0,22,77tfx9me4aaqhzv78bmgsy9bg,1,3.7,56.0,2024-08-11T12:00:41.613Z,2024-08-11T12:00:47Z,49wkw0wkn4ta18b6657vjvglx,A. Hansen,,,5142825353,56,Back,5142825361,213,4.90,5142825355,140,7.8,5142825359,212,23.0,5142825357,141,22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707930405,9,1,1,0,28,77tfx9me4aaqhzv78bmgsy9bg,1,11.0,16.3,2024-08-11T12:00:46.894Z,2024-08-11T12:00:48Z,55gunqozsj8gs6oua7ee5xxhx,K. Hansen,,,5142825541,212,31.2,5142825537,140,37.3,5142825543,213,0.48,5142825533,155,,5142825539,141,37.6,5142825535,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707930417,10,1,1,0,29,77tfx9me4aaqhzv78bmgsy9bg,1,41.9,40.4,2024-08-11T12:00:48.589Z,2024-08-11T12:00:50Z,3nok8qxxj2zl831wgvc7abxuc,C. Harder,,,5142825629,141,55.5,5142825633,213,1.91,5142825625,56,Back,5142825631,212,10.9,5142825627,140,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707930463,11,1,1,0,31,77tfx9me4aaqhzv78bmgsy9bg,1,38.1,52.8,2024-08-11T12:00:49.949Z,2024-08-11T12:00:53Z,4rgz5z372h6sbwhpxl69cb6c5,M. Ingvartsen,,,5142825863,140,44.0,5142825867,212,26.0,5142825869,213,1.33,5142825865,141,89.9,5142825861,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707930425,11,43,1,0,31,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2024-08-11T12:00:50.248Z,2024-08-11T14:39:11Z,bpw4cd5vmghjhelb3uxupmqjt,S. Magnússon,,,5143449169,144,83,5142826005,399,7cpkykvmy8ujrahzdz7ksk2c5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707930487,12,1,1,0,34,77tfx9me4aaqhzv78bmgsy9bg,0,44.0,76.2,2024-08-11T12:00:53.629Z,2024-08-11T12:53:51Z,7cpkykvmy8ujrahzdz7ksk2c5,P. Ankersen,,,5142825979,212,49.3,5142825971,155,,5142825975,140,74.5,5142825973,56,Right,5142825981,213,5.42,5142826049,1,,5142825977,141,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707930523,12,1,1,0,37,anga7587r1zv4ey71ge9zxol3,0,32.5,78.1,2024-08-11T12:00:56.208Z,2024-08-11T12:00:57Z,2sgey1g99rmupumezjo9rkxcl,K. Finnsson,,,5142826163,140,43.3,5142826171,213,0.30,5142826159,3,,5142826161,56,Back,5142826169,212,11.9,5142826165,141,83.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707930555,13,1,1,0,41,77tfx9me4aaqhzv78bmgsy9bg,1,65.3,8.6,2024-08-11T12:01:00.637Z,2024-08-11T12:01:01Z,6rd6a2f1k124dzp1p904yq3h0,Z. Sertdemir,,,5142826327,212,5.7,5142826323,140,69.4,5142826321,56,Right,5142826329,213,5.58,5142826325,141,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707930595,14,1,1,0,42,77tfx9me4aaqhzv78bmgsy9bg,1,67.8,2.5,2024-08-11T12:01:01.597Z,2024-08-11T12:54:04Z,c9e54hwefvwos94ri459uylbe,D. Svensson,,,5142826543,56,Back,5142826551,213,2.96,5142826549,212,28.1,5142826545,140,41.5,5142826547,141,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707930627,15,1,1,0,45,77tfx9me4aaqhzv78bmgsy9bg,1,41.5,10.6,2024-08-11T12:01:04.029Z,2024-08-11T12:01:06Z,55gunqozsj8gs6oua7ee5xxhx,K. Hansen,,,5142826697,56,Back,5142826707,1,,5142826699,140,37.2,5142826701,141,57.2,5142826705,213,1.71,5142826703,212,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707930653,16,1,1,0,47,77tfx9me4aaqhzv78bmgsy9bg,1,37.2,57.2,2024-08-11T12:01:06.477Z,2024-08-11T12:01:09Z,ddsv1cx4vopu1xis5xwkx2qz8,L. Hey,,,5142826809,56,Back,5142826813,141,65.6,5142826811,140,43.8,5142826815,212,9.0,5142826817,213,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
