id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/15/value,qualifier/16/value
2804434829,1,34,16,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2025-04-21T13:13:45.212Z,2025-04-21T14:03:52Z,,,,,5670114115,130,17,5670114117,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5670123243,194,bnar4f48vnx4oaz2lzch48es5,5670114109,30,"4ilnnpfgjfz35lni9ppzd93v9, 6anvl82jyio52wo87cbxdp4np, 1gr0k94d0nh7msa32f6728aok, bnar4f48vnx4oaz2lzch48es5, bmkq3hz1z7lsji7wgr3j8978p, hsobzlp177f9755mpsi7szmy, etz3rjq7chhaomst5u28nnff9, d2itdjj8bx0aztqggfgv7amay, 7z1pv1wezn5rydamnknklv2ay, 53nd6a4o02ebb0w2s12prijje, chteizjcvxpvze9p77gcttcoa, aiuhe3d7tyvihiu5ysnp2740k, 5ssy03x358qpvbvlhdg2152qc, caoahimfnw46l1vnpsp6vf9qs, 2xp7fbcl6a4nua9jpm7b4k1sk, 506kxojakimt5s0v2c4q6b33e, 2tthm6h5o033dz440e476rhbe, 91suopiz6irxqevhzv8lx76ne, 844k9wmnxkk24xsjd4fdb4rca, 9auqrrixu34cgkpe8trlkaoh6",5670216831,197,5111,5670114119,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5670114113,59,"1, 31, 37, 4, 5, 2, 10, 8, 36, 28, 7, 43, 42, 38, 35, 32, 24, 17, 13, 11",5670114111,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804437565,1,34,16,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2025-04-21T13:18:26.961Z,2025-04-21T14:03:37Z,,,,,5670219099,197,23959,5670129395,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5670129389,59,"1, 27, 44, 6, 3, 4, 17, 28, 7, 10, 9, 90, 25, 24, 19, 18, 16, 14, 11, 5",5670129387,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5670129391,130,2,5670129385,30,"dmxzug2enscx331w5vmdzn2s5, 6m5ftd7c68b2d4d2931xs5srt, 60z63hezwwosjnhvamcwxtre1, 6uj3c69lgu6boblkjiuhoy6eh, effgiwtme6eu08o1ninlnqqqd, 8cox96ikk1k4c24f0y5ef45x, 8domjmewnw5h6b19vef8w0afp, 2mawaijd9czgtd5jh9myk434l, 1329qhvvxpp6j4q5esh4n3hii, ag40mk09zc8tzbkr7dnnqumay, 606hufq6dapf3qxcgilbc8tt5, 9yuyz4ci6wqikd6ckjstbt2i1, cyuoj9pesenese4i3pklv7d2h, 3cdo7b8vwb5kzeoaxzqm6esk4, 6np04cprm5wsvs4prp8ehirro, 3aoh34sqan7y34c2qa1d6xkyy, brsecgiiou4wcogoimzawyhp0, o7nooyu95nab78ys541e3uuh, d1j2a0az2datf1l2efdzne7vu, aeoqbtq15nt9ks5cx50vallhw",5670129393,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5670217945,194,8cox96ikk1k4c24f0y5ef45x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804456279,2,32,1,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2025-04-21T14:02:18.247Z,2025-04-21T14:02:18Z,,,,,5670236659,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804456295,2,32,1,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2025-04-21T14:02:18.247Z,2025-04-21T17:59:46Z,,,,,5670236731,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804456371,3,1,1,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,50.2,50.1,2025-04-21T14:02:18.248Z,2025-04-21T14:02:22Z,606hufq6dapf3qxcgilbc8tt5,S. Nordli,,,5670237211,212,19.0,5670237209,141,53.6,5670237217,279,S,5670237207,140,32.2,5670237215,213,3.02,5670237205,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804456457,4,1,1,0,3,9w3sjm5ml4sjr2v81oxzdrt8v,0,32.1,52.2,2025-04-21T14:02:22.184Z,2025-04-21T14:02:25Z,8cox96ikk1k4c24f0y5ef45x,W. Dammers,,,5670237657,212,52.3,5670237649,155,,5670237661,1,,5670237655,141,9.8,5670237651,56,Right,5670237653,140,73.6,5670237659,213,5.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804456533,3,1,1,0,7,9qsmopgutr7ut5g6workk8w4i,0,30.2,92.9,2025-04-21T14:02:25.543Z,2025-04-21T14:02:29Z,1gr0k94d0nh7msa32f6728aok,C. Bischoff,,,5670238055,1,,5670238043,157,,5670238049,141,80.6,5670238047,140,41.8,5670238053,213,5.68,5670238045,56,Back,5670238051,212,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804456553,5,44,1,0,10,9w3sjm5ml4sjr2v81oxzdrt8v,1,60.4,22.7,2025-04-21T14:02:28.669Z,2025-04-21T19:04:58Z,2mawaijd9czgtd5jh9myk434l,A. Rømer,,,5670238223,233,4,5670238153,286,,5670238151,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804456545,4,44,1,0,10,9qsmopgutr7ut5g6workk8w4i,0,39.6,77.3,2025-04-21T14:02:28.670Z,2025-04-21T19:04:58Z,7z1pv1wezn5rydamnknklv2ay,M. Kvistgaarden,,,5670238123,56,Back,5670238257,233,5,5670238125,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804456587,6,1,1,0,11,9w3sjm5ml4sjr2v81oxzdrt8v,0,64.1,28.3,2025-04-21T14:02:29.406Z,2025-04-21T14:51:27Z,2mawaijd9czgtd5jh9myk434l,A. Rømer,,,5670238315,3,,5670238325,213,0.86,5670238319,140,70.0,5670238317,56,Center,5670238321,141,38.9,5670238323,212,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
