id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2752916351,1,34,16,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2024-11-29T16:58:03.864Z,2024-11-29T19:55:58Z,,,,5389165839,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5389165847,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5389165843,130,17,5389727725,194,4ilnnpfgjfz35lni9ppzd93v9,5389165845,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5389165837,30,"4ilnnpfgjfz35lni9ppzd93v9, hsobzlp177f9755mpsi7szmy, 1gr0k94d0nh7msa32f6728aok, 56sjqxlsf5iitgww0hogez8ph, bmkq3hz1z7lsji7wgr3j8978p, 6anvl82jyio52wo87cbxdp4np, 2xp7fbcl6a4nua9jpm7b4k1sk, etz3rjq7chhaomst5u28nnff9, 91suopiz6irxqevhzv8lx76ne, 53nd6a4o02ebb0w2s12prijje, chteizjcvxpvze9p77gcttcoa, aa0888u38mjc1euhofseazb2t, 53tbs0tyag4c741oqro5t7b2t, 9auqrrixu34cgkpe8trlkaoh6, 3hi7nroqhsvj8elv8nd9a8ted, cft1n7qn5juaedelpvqwo2f3d, 94didhw8o1blxonn4amoahcr9, 64ux2tbb35i36qf6oij2263qi",5389165841,59,"1, 2, 37, 30, 5, 31, 35, 10, 17, 28, 7, 6, 9, 11, 16, 18, 22, 46",5389269565,197,5111,,,,,,,,,,,,,,,,,,,,,,,,,,,
2752916547,1,34,16,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2024-11-29T17:00:31.095Z,2024-11-29T18:07:22Z,,,,5389167285,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5389167289,130,4,5389167291,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5389272879,194,1arzd8hqj73byhduozscqz5uy,5389271849,197,1731,5389167293,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5389167287,59,"1, 20, 14, 16, 4, 3, 21, 8, 10, 11, 27, 2, 5, 6, 7, 17, 19, 22, 35",5389167283,30,"a2l4ep71txn2edtjjcgewai5m, de0dokhb6u6hts2hu5aupgiga, dj2f6zk2cd8u9lt6odoei9cdl, 6v1kpakd3t0jhnoh1eh75ev4k, 7yst1mucy7jynmpzu1thox2i, dq2eqqywinhsh9ijg8amqyp78, ejixz16616b7krftxyzv9yiac, 3q4tnk1z46lop4rbdpjtfoc2c, 5lz41celw55rz3zh8pohclw5w, 1arzd8hqj73byhduozscqz5uy, 5vrsflxiv2dgfa8199a2qxsve, hpzxgnwobdttfgd04dykf26t, bcdp9e3dezuaybm8ndrsanbx0, 8mkrj5bnkyhx8kutc4656cy96, 4sgxth7onhb5mu29bgyupby3u, 8bi1tlz62rjwyak4pnnzgp562, 5hw5sfiqhzg7mnghdp52f7fqi, cul6phe87idi5dn1hsfywxhwp, 2o5atg0lz3jy7k86tyqda8h04",,,,,,,,,,,,,,,,,,,,,,,,,,,
2752936663,2,32,1,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2024-11-29T18:01:45.071Z,2024-11-29T18:01:46Z,,,,5389274647,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2752936657,2,32,1,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2024-11-29T18:01:45.071Z,2024-11-29T20:35:08Z,,,,5389274617,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2752936667,3,1,1,0,1,9qsmopgutr7ut5g6workk8w4i,1,49.7,50.0,2024-11-29T18:01:46.072Z,2024-11-29T20:35:25Z,2xp7fbcl6a4nua9jpm7b4k1sk,N. Nartey,,5389274669,141,50.9,5389274665,56,Back,5389274671,212,15.3,5389274675,279,S,5389274673,213,3.10,5389274667,140,35.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2752936691,4,1,1,0,2,9qsmopgutr7ut5g6workk8w4i,1,32.4,47.2,2024-11-29T18:01:47.616Z,2024-11-29T18:01:50Z,etz3rjq7chhaomst5u28nnff9,D. Wass,,5389274785,212,14.8,5389274781,140,31.0,5389274787,213,4.61,5389274783,141,25.5,5389274779,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2752936703,5,1,1,0,5,9qsmopgutr7ut5g6workk8w4i,1,43.2,21.6,2024-11-29T18:01:50.304Z,2024-11-29T18:01:51Z,6anvl82jyio52wo87cbxdp4np,S. Klaiber,,5389274847,140,55.8,5389274851,212,13.9,5389274853,213,0.32,5389274845,56,Center,5389274849,141,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2752936713,6,1,1,0,6,9qsmopgutr7ut5g6workk8w4i,1,55.8,28.0,2024-11-29T18:01:51.472Z,2024-11-29T20:06:52Z,2xp7fbcl6a4nua9jpm7b4k1sk,N. Nartey,,5389274903,212,24.4,5389274897,56,Back,5389274905,213,3.07,5389274899,140,32.6,5389274901,141,30.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2752936737,7,1,1,0,10,9qsmopgutr7ut5g6workk8w4i,1,32.6,30.6,2024-11-29T18:01:55.936Z,2024-11-29T18:01:57Z,bmkq3hz1z7lsji7wgr3j8978p,R. Lauritsen,,5389275021,56,Back,5389275029,213,2.31,5389275025,141,45.2,5389275023,140,24.0,5389275027,212,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2752936771,8,1,1,0,12,9qsmopgutr7ut5g6workk8w4i,1,24.1,44.0,2024-11-29T18:01:57.616Z,2024-11-29T18:02:01Z,4ilnnpfgjfz35lni9ppzd93v9,P. Pentz,,5389275195,140,29.5,5389275199,212,28.1,5389275201,213,4.92,5389275197,141,3.5,5389275193,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
