id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/13/value
2807090005,1,34,16,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2025-04-27T13:18:05.508Z,2025-04-27T14:01:12Z,,,,,5684757203,59,"1, 22, 15, 27, 5, 6, 40, 12, 11, 7, 17, 4, 8, 14, 16, 19, 31, 33, 36, 48",5685035911,197,792,5684757207,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5684757201,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5684757209,194,8g4r9maz4invihjmdzpfxy0np,5684757199,30,"ckhhpn9ppgvlrtubf7li3se09, 9ic9msq3tj4gx8wqa6wfwk50q, dux0skggr99ydjz3kn58p3wmh, 4gqnyyx3i92fayq6cxvekqwut, 4cbaoo2irqtme9goxuz6s3ey2, ayqy2vql1oumokqly9ahfrnx1, 66psa7xh8odnlp39ue5vzpes4, al9l7egkwbc0pv68zk42gegut, aahyom322jdc6f21960ycuzth, 8g4r9maz4invihjmdzpfxy0np, c9u2w9ikckbrra8vln2ucbf9w, ajjw1ikceu3g39sy6dsf9kdg4, 8inyievyp1az6q3dtlkpynf56, 7hw1plnv7nvxnqpnfnxcxszpx, bbezbukg20q5b6kfnjuzhs55g, 823p7p1amx8lp445bo6bi01lg, quh8tfvwi106toymoh38tbrp, rq6npjy37kolscu8lrj4r2dx, ftw3io63hk5vuoa3lyfgowes, 40qo5mz95bi0rnv09l13retxw",5684757211,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5684757205,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807101349,1,34,16,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2025-04-27T13:25:53.215Z,2025-04-27T14:05:40Z,,,,,5685037315,197,14750,5684818145,59,"22, 2, 11, 40, 3, 14, 10, 6, 9, 31, 7, 1, 15, 16, 20, 27, 29, 39, 60, 23",5684818149,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5684818141,30,"5f4qlbohzja204gxm9tkiekq2, aswmi1pnkzkvkexp8ngief6j9, 4vmgmzg2004twoc39sk7zkzqh, 3l3v5wj4c7vtqqwu05b526590, e9lrzsiy94y46h62rnawi3sgl, 8xrco8qhcvplvc3wmcschoi22, 7je01bs3a4q6c2gd02ee6da3u, 8og8nxbkcb63van4llvpkbe8l, 3sadup8mjwu4dc96wz6lmixn9, 3uytpqx0e0jr6zgbfl1znsm7e, 43q9ytkbmtk5y3tgv77v7pmg9, 1h31bvtbae4q0edlp0u672hn9, bz77hr28a1yskifpuvzu8smsq, 6jgd09iosfe5mn3tputmjx2ad, 5qvy65ckiigykkowpyco05zv9, 654obqy73ov2t5800r2woo6w9, ca1b5707pdpx0ucug40ggnahh, 76av5tb8cxhmr0yh3pbmk8npw, 26wmniyab5c3n946w2ezh37kk, 5lssweodhkyifhj333v6f6r6c",5684818147,130,10,5684818143,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5684818151,194,3sadup8mjwu4dc96wz6lmixn9,5684818153,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807146297,2,32,1,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2025-04-27T14:03:06.477Z,2025-04-27T14:03:08Z,,,,,5685060247,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807146229,2,32,1,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2025-04-27T14:03:06.477Z,2025-04-27T17:02:37Z,,,,,5685059911,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807146333,3,1,1,0,0,5rz9enoyknpg8ji78za5b82p0,1,50.0,50.1,2025-04-27T14:03:06.478Z,2025-04-27T18:08:29Z,43q9ytkbmtk5y3tgv77v7pmg9,M. Madsen,,,5685060439,213,4.44,5685060431,56,Back,5685060433,140,48.3,5685060437,212,6.6,5685060441,279,S,5685060443,278,,5685060435,141,40.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807146345,4,1,1,0,3,5rz9enoyknpg8ji78za5b82p0,0,49.6,46.0,2025-04-27T14:03:10.198Z,2025-04-27T14:18:04Z,3uytpqx0e0jr6zgbfl1znsm7e,T. Bech,,,5685060483,155,,5685060489,56,Left,5685060497,141,81.5,5685060493,140,68.2,5685060503,212,31.1,5685060509,213,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807146351,5,43,1,0,4,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2025-04-27T14:03:10.582Z,2025-04-27T14:03:21Z,3uytpqx0e0jr6zgbfl1znsm7e,T. Bech,,,5685060551,56,Left,5685061829,144,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807411867,851,3,1,0,5,b3r6d8ydtmtjckam6pku9y400,0,24.1,15.3,2025-04-27T14:03:11.661Z,2025-04-27T18:08:44Z,9ic9msq3tj4gx8wqa6wfwk50q,G. Gocholeishvili,,,5686529991,464,,5686529993,467,4vmgmzg2004twoc39sk7zkzqh,5686529987,285,,5686529983,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807146389,3,4,1,0,6,b3r6d8ydtmtjckam6pku9y400,1,23.6,16.1,2025-04-27T14:03:13.196Z,2025-04-27T14:11:14Z,9ic9msq3tj4gx8wqa6wfwk50q,G. Gocholeishvili,,,5685060915,285,,5685060909,56,Back,5685060907,13,,5685061451,233,6,5685060913,265,,5685060911,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807146537,6,4,1,0,6,5rz9enoyknpg8ji78za5b82p0,0,76.4,83.9,2025-04-27T14:03:13.197Z,2025-04-27T14:11:15Z,4vmgmzg2004twoc39sk7zkzqh,G. Links,,,5685061413,265,,5685061417,286,,5685061489,233,3,5685061403,13,,5685061407,56,Left,5685061409,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
