id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/10/value,qualifier/17/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2702493317,1,34,16,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2024-07-21T14:58:04.786Z,2024-07-21T16:27:23Z,,,,,5112900755,197,19904,5112777215,59,"1, 24, 23, 13, 5, 55, 28, 10, 11, 37, 7, 4, 8, 14, 15, 16, 17, 18, 21, 30",5112900753,194,5f3wfx327z9hef9k9l37c90wl,5112777213,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5112777211,30,"9lgnm175tw163z53b8bmiu5pm, 4n3t1p3zn5yzjv4w0clo3xvjd, acp1ba2irpv5wfmxke7ucmaga, 5f3wfx327z9hef9k9l37c90wl, 6ja2xnbktah4mog04g3kmjgmh, bp2ellllifbtxgf0p8qlbm1nt, 3bvc29bootgmo9tsapvygvnu2, 9wgpudcet9m8doz9ezbjxzkrt, akxcr1xe62dyl5jmh3ataq13o, b6q0tf252xvikt39g8jevju38, 195o7hchielt14ic49r3k06sq, auk14ut8cwaqop549u2zmfgt1, 7w7ufa4v85hmj1qxnmqc4zgiy, 5m27f84vvraap8bmfujt1qiok, 73lwz4he5erpp25zi8crjvztg, dk9nlp77b6q38p751f8w3o8np, 6d8194j12jdzgqk5uwcemecr8, bitixkzgt5p65rlo2bnllcf6x, 8ngloyr6r0m71p8kgpfe69bvu, eq7tnnzwq0g9q4eac0o9t9xey",5112777219,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5112777217,130,4,5112777221,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702493715,1,34,16,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2024-07-21T14:59:28.623Z,2024-07-21T16:01:16Z,,,,,5112779317,59,"1, 31, 37, 4, 5, 30, 10, 35, 11, 28, 36, 2, 3, 8, 9, 16, 18, 22, 23, 99",5112779321,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5112850833,194,etz3rjq7chhaomst5u28nnff9,5112779323,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5112779313,30,"4ilnnpfgjfz35lni9ppzd93v9, 6anvl82jyio52wo87cbxdp4np, 1gr0k94d0nh7msa32f6728aok, bnar4f48vnx4oaz2lzch48es5, bmkq3hz1z7lsji7wgr3j8978p, 56sjqxlsf5iitgww0hogez8ph, etz3rjq7chhaomst5u28nnff9, 2xp7fbcl6a4nua9jpm7b4k1sk, 9auqrrixu34cgkpe8trlkaoh6, 53nd6a4o02ebb0w2s12prijje, 7z1pv1wezn5rydamnknklv2ay, hsobzlp177f9755mpsi7szmy, cqwjwlsum5q92s2k80w3temi2, 8domjmewnw5h6b19vef8w0afp, 53tbs0tyag4c741oqro5t7b2t, 3hi7nroqhsvj8elv8nd9a8ted, cft1n7qn5juaedelpvqwo2f3d, 94didhw8o1blxonn4amoahcr9, 7ctsofo6904i5ysgpfh2sdv1m, 22760086vtvx2xulry32q21hw",5112779319,130,17,5112903349,197,5111,5112779315,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517039,2,32,1,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2024-07-21T16:00:36.833Z,2024-07-21T18:52:45Z,,,,,5112911441,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517033,2,32,1,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2024-07-21T16:00:36.833Z,2024-07-21T16:00:36Z,,,,,5112911429,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517045,3,1,1,0,0,9qsmopgutr7ut5g6workk8w4i,1,50.0,50.0,2024-07-21T16:00:36.834Z,2024-07-21T16:02:54Z,9auqrrixu34cgkpe8trlkaoh6,F. Bundgaard,,,5112911467,140,47.0,5112911473,213,2.75,5112911471,212,3.4,5112911469,141,51.9,5112911475,279,S,5112911465,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517051,4,1,1,0,2,9qsmopgutr7ut5g6workk8w4i,1,54.1,56.0,2024-07-21T16:00:38.857Z,2024-07-21T16:00:42Z,etz3rjq7chhaomst5u28nnff9,D. Wass,,,5112911503,141,91.7,5112911499,56,Left,5112911501,140,54.2,5112911507,213,1.57,5112911505,212,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517059,5,1,1,0,5,9qsmopgutr7ut5g6workk8w4i,1,52.9,90.5,2024-07-21T16:00:42.169Z,2024-07-21T16:00:43Z,bnar4f48vnx4oaz2lzch48es5,J. Rasmussen,,,5112911555,212,6.3,5112911553,141,81.2,5112911549,56,Left,5112911557,213,4.78,5112911551,140,53.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517067,6,1,1,0,6,9qsmopgutr7ut5g6workk8w4i,1,54.7,81.1,2024-07-21T16:00:43.481Z,2024-07-21T16:00:45Z,2xp7fbcl6a4nua9jpm7b4k1sk,N. Nartey,,,5112911587,140,51.4,5112911589,141,92.6,5112911591,212,8.6,5112911585,56,Left,5112911593,213,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517089,7,1,1,0,8,9qsmopgutr7ut5g6workk8w4i,1,51.7,87.7,2024-07-21T16:00:45.242Z,2024-07-21T16:00:48Z,bnar4f48vnx4oaz2lzch48es5,J. Rasmussen,,,5112911723,56,Back,5112911731,213,4.03,5112911725,140,39.5,5112911729,212,20.3,5112911727,141,64.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702517117,8,1,1,0,11,9qsmopgutr7ut5g6workk8w4i,1,44.5,55.2,2024-07-21T16:00:48.617Z,2024-07-21T16:00:53Z,bmkq3hz1z7lsji7wgr3j8978p,R. Lauritsen,,,5112911895,213,5.94,5112911885,56,Center,5112911889,141,28.8,5112911883,155,,5112911891,212,53.0,5112911897,1,,5112911887,140,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
