id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2797084267,1,34,16,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2025-04-06T11:29:21.466Z,2025-04-06T16:47:14Z,,,,,5629796195,197,23448,5629682075,130,8,5629682071,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5629682073,59,"16, 22, 5, 6, 12, 4, 25, 26, 10, 8, 24, 2, 9, 11, 17, 23, 28, 31, 35, 1",5629682079,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5629796193,194,5j9d1plbsd5ic01r3ggziutwp,5629682069,30,"dcocgxtuabo0rwzwukvqky9uy, 3361cs2j60yxzy9mir80byqc5, 33sxiwcjeqcop3ukuok86ujmd, 5j9d1plbsd5ic01r3ggziutwp, 6rd849oap6uh93wdwjk8590q1, czpstoiy12awqpasz573ckp91, adg5dfvzxjrzlz1n2jsfeyx3o, 5jdkdvxssuc8gvzwwrq5bs76y, a8opuarwq9byw73nhfgvo9nca, 1902oagnhlo7x9xpumxvg1t78, 94560hgwsjkx8qgz48f7gzitw, dshwz1df0rbe0fztksawvd0wl, 828b7y3phhpb62srvtrjhtgk4, 7foqorbwhgqjghtxa2nax6kgk, 6gh4z3yubnpypzoakjom1rj3e, 7sbdudf1vycn8hinw0giakpyi, 6je6y9uk6km1tkzatpw8v9p1w, 637840asun7f3wo16c5zkhi50, d4emkl168o7w0fy7shqdp6t5g, a6ham5hnwv62w3tynikyal68l",5629682077,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797084289,1,34,16,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2025-04-06T11:29:24.939Z,2025-04-06T17:08:11Z,,,,,5629682155,59,"1, 30, 3, 13, 24, 55, 19, 12, 11, 7, 27, 10, 14, 15, 16, 17, 31, 32, 33, 37",5629682151,30,"9lgnm175tw163z53b8bmiu5pm, eq7tnnzwq0g9q4eac0o9t9xey, 96uzhuuez4q5pgxb566ryk53p, 5f3wfx327z9hef9k9l37c90wl, 4n3t1p3zn5yzjv4w0clo3xvjd, bp2ellllifbtxgf0p8qlbm1nt, 9o10vhew3jar8tqnkabw0qoyx, vrzye4jqrafujmjw3wakjpxw, akxcr1xe62dyl5jmh3ataq13o, 195o7hchielt14ic49r3k06sq, c9kn2pfftaimeqknbu9p8neok, 73lwz4he5erpp25zi8crjvztg, 5m27f84vvraap8bmfujt1qiok, dyzzo6n83rg4fpvmqqa69moes, dk9nlp77b6q38p751f8w3o8np, 6d8194j12jdzgqk5uwcemecr8, ehjqrbqo7ewbztia7k2mrzx90, xyt0wq20toh97811t65vu4no, 95nyhb9eanuobgbkdccyrwob8, b6q0tf252xvikt39g8jevju38",5629840185,197,19904,5629682161,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5629715197,194,5f3wfx327z9hef9k9l37c90wl,5629682157,130,4,5629682159,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5629682153,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797109603,2,32,1,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2025-04-06T12:00:44.804Z,2025-04-06T12:00:44Z,,,,,5629809315,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797109613,2,32,1,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2025-04-06T12:00:44.804Z,2025-04-06T16:31:16Z,,,,,5629809355,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797109663,3,1,1,0,0,aljua8crr0vkwit0j3m59jw9j,1,50.0,50.0,2025-04-06T12:00:44.805Z,2025-04-06T12:48:36Z,1902oagnhlo7x9xpumxvg1t78,L. Björklund,,,5629809611,140,25.0,5629809615,212,26.4,5629809621,279,S,5629809619,213,3.24,5629809609,56,Back,5629809613,141,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797109773,4,1,1,0,5,aljua8crr0vkwit0j3m59jw9j,0,27.8,44.8,2025-04-06T12:00:50.043Z,2025-04-06T14:25:43Z,5jdkdvxssuc8gvzwwrq5bs76y,T. Sommer,,,5629810063,1,,5629810053,56,Center,5629810059,212,56.9,5629810051,157,,5629810055,140,79.1,5629810057,141,71.8,5629810061,213,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797109761,3,44,1,0,8,cftj6g399tknheudaxsdpfdgb,1,23.8,31.7,2025-04-06T12:00:53.486Z,2025-04-06T14:08:53Z,5f3wfx327z9hef9k9l37c90wl,J. Grønning,,,5629810151,233,5,5629810031,285,,5629810029,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797109781,5,44,1,0,8,aljua8crr0vkwit0j3m59jw9j,0,76.2,68.3,2025-04-06T12:00:53.487Z,2025-04-06T14:08:53Z,czpstoiy12awqpasz573ckp91,D. Grétarsson,,,5629810089,286,,5629810175,233,3,5629810087,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797109845,4,1,1,0,8,cftj6g399tknheudaxsdpfdgb,1,26.7,36.3,2025-04-06T12:00:53.772Z,2025-04-06T12:00:58Z,5f3wfx327z9hef9k9l37c90wl,J. Grønning,,,5629810387,213,5.20,5629810379,56,Back,5629810383,141,13.1,5629810377,3,,5629810385,212,17.9,5629810381,140,34.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797109921,5,1,1,0,11,cftj6g399tknheudaxsdpfdgb,1,34.5,12.8,2025-04-06T12:00:55.882Z,2025-04-06T16:48:38Z,9o10vhew3jar8tqnkabw0qoyx,J. Lonwijk,,,5629810755,212,26.8,5629810751,140,59.9,5629810749,56,Right,5629810753,141,8.8,5629810757,213,6.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797109935,6,4,1,0,17,cftj6g399tknheudaxsdpfdgb,1,62.0,7.7,2025-04-06T12:01:02.731Z,2025-04-06T13:03:46Z,akxcr1xe62dyl5jmh3ataq13o,Renato Júnior,,,5629810999,152,,5629811001,286,,5629810995,56,Right,5629810991,295,,5629811503,233,6,5629810987,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797109951,6,4,1,0,17,aljua8crr0vkwit0j3m59jw9j,0,38.0,92.3,2025-04-06T12:01:02.732Z,2025-04-06T16:48:56Z,5jdkdvxssuc8gvzwwrq5bs76y,T. Sommer,,,5629811463,13,,5629811469,152,,5629811569,233,6,5629811467,56,Back,5629811471,285,,5631420249,55,28,5629811465,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797113881,28,17,1,0,37,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2025-04-06T12:01:21.816Z,2025-04-06T16:48:56Z,5jdkdvxssuc8gvzwwrq5bs76y,T. Sommer,,,5631420175,55,6,5629831693,13,243,5629831915,393,,5629831689,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797110821,7,1,1,1,6,cftj6g399tknheudaxsdpfdgb,0,58.7,7.3,2025-04-06T12:01:50.877Z,2025-04-06T16:49:16Z,195o7hchielt14ic49r3k06sq,Serginho,,,5629815269,1,,5629815263,141,33.3,5631422227,20,,5629815251,5,,5629815267,213,0.50,5631422221,224,,5629815253,155,,5631421983,2,,5629815257,56,Center,5629815261,140,89.2,5629815255,152,5629815265,212,36.6,,,,,,,,,,,,,,,,,,
