id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,qualifier/10/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2810947267,1,34,16,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2025-05-05T15:55:38.993Z,2025-05-05T17:29:50Z,,,,,5706061415,130,8,5706061431,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5706061427,197,4602,5706061413,59,"16, 20, 5, 26, 12, 4, 25, 22, 15, 11, 24, 1, 2, 8, 9, 17, 23, 28, 29, 31",5706061423,194,33sxiwcjeqcop3ukuok86ujmd,5706061405,30,"dcocgxtuabo0rwzwukvqky9uy, d88feog3dgv09oxbzn15xqesq, 33sxiwcjeqcop3ukuok86ujmd, 5jdkdvxssuc8gvzwwrq5bs76y, 6rd849oap6uh93wdwjk8590q1, czpstoiy12awqpasz573ckp91, adg5dfvzxjrzlz1n2jsfeyx3o, 3361cs2j60yxzy9mir80byqc5, 3ejggtt1du1cui3wc1f8oqx62, 7foqorbwhgqjghtxa2nax6kgk, 94560hgwsjkx8qgz48f7gzitw, a6ham5hnwv62w3tynikyal68l, dshwz1df0rbe0fztksawvd0wl, 1902oagnhlo7x9xpumxvg1t78, 828b7y3phhpb62srvtrjhtgk4, 6gh4z3yubnpypzoakjom1rj3e, 7sbdudf1vycn8hinw0giakpyi, 6je6y9uk6km1tkzatpw8v9p1w, d4emkl168o7w0fy7shqdp6t5g, 637840asun7f3wo16c5zkhi50",5706061409,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5706061419,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810947597,1,34,16,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2025-05-05T15:56:36.395Z,2025-05-05T17:00:22Z,,,,,5706063193,197,1731,5706063181,30,"a2l4ep71txn2edtjjcgewai5m, dj2f6zk2cd8u9lt6odoei9cdl, 8mkrj5bnkyhx8kutc4656cy96, 8vi3l756ez0e96k7muvg4ekbu, 7yst1mucy7jynmpzu1thox2i, de0dokhb6u6hts2hu5aupgiga, ejixz16616b7krftxyzv9yiac, 6v1kpakd3t0jhnoh1eh75ev4k, rv6r0bwbl75er38wklyfpsr9, 1arzd8hqj73byhduozscqz5uy, 3q4tnk1z46lop4rbdpjtfoc2c, hpzxgnwobdttfgd04dykf26t, bcdp9e3dezuaybm8ndrsanbx0, 5lz41celw55rz3zh8pohclw5w, 8bi1tlz62rjwyak4pnnzgp562, 2k8bmlxzt0qi7divtxye0a5ii, brinkgys7026490q3ixx6h9uc, bm3k1knugkwa8z319dscr2yhg, 5vrsflxiv2dgfa8199a2qxsve, 3tka46re2gsi9uw7pbxx5m0pg",5706063195,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5706063189,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5706063185,59,"1, 14, 6, 13, 4, 20, 21, 16, 9, 11, 8, 2, 5, 10, 17, 23, 24, 26, 27, 40",5706063187,130,10,5706063183,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5706063191,194,1arzd8hqj73byhduozscqz5uy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810975427,2,32,1,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2025-05-05T17:01:22.769Z,2025-05-05T17:01:23Z,,,,,5706224273,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810975419,2,32,1,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2025-05-05T17:01:22.769Z,2025-05-05T19:56:27Z,,,,,5706224233,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810975447,3,1,1,0,0,36g6ifzjliec1jqnbtf7yesme,1,49.8,50.1,2025-05-05T17:01:22.770Z,2025-05-05T17:55:19Z,1arzd8hqj73byhduozscqz5uy,M. Jørgensen,,,5706224381,56,Back,5706224389,213,2.63,5706224387,212,27.9,5706224385,141,70.2,5706224391,279,S,5706224383,140,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810975461,4,1,1,0,3,36g6ifzjliec1jqnbtf7yesme,0,26.6,69.4,2025-05-05T17:01:26.621Z,2025-05-05T17:01:28Z,8vi3l756ez0e96k7muvg4ekbu,B. Pudel,,,5706224503,213,5.83,5706224499,141,34.0,5706224493,157,,5706224495,56,Center,5706224497,140,73.8,5706224505,1,,5706224501,212,55.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810975503,3,1,1,0,8,aljua8crr0vkwit0j3m59jw9j,0,28.3,62.1,2025-05-05T17:01:30.985Z,2025-05-05T17:01:33Z,5jdkdvxssuc8gvzwwrq5bs76y,T. Sommer,,,5706224741,141,56.3,5706224735,3,,5706224737,56,Back,5706224745,213,5.69,5706224739,140,33.9,5706224743,212,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810975533,6,44,1,0,9,36g6ifzjliec1jqnbtf7yesme,1,65.4,49.1,2025-05-05T17:01:32.260Z,2025-05-05T17:38:40Z,6v1kpakd3t0jhnoh1eh75ev4k,K. Davidsen,,,5706224933,286,,5706224969,233,4,5706224931,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810975505,4,44,1,0,9,aljua8crr0vkwit0j3m59jw9j,0,34.6,50.9,2025-05-05T17:01:32.261Z,2025-05-05T17:38:40Z,5jdkdvxssuc8gvzwwrq5bs76y,T. Sommer,,,5706224751,285,,5706224973,233,6,5706224749,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810975511,5,1,1,0,9,36g6ifzjliec1jqnbtf7yesme,1,63.5,38.3,2025-05-05T17:01:32.589Z,2025-05-05T17:01:34Z,6v1kpakd3t0jhnoh1eh75ev4k,K. Davidsen,,,5706224797,141,58.1,5706224795,140,65.4,5706224791,3,,5706224801,213,1.42,5706224793,56,Center,5706224799,212,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
