id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2810207441,1,34,16,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2025-05-04T12:57:53.071Z,2025-05-04T14:01:25Z,,,,,5702022045,59,"1, 31, 37, 4, 5, 30, 10, 8, 17, 28, 36, 2, 6, 11, 16, 24, 32, 35, 38, 42",5702022053,197,5111,5702022049,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5702022043,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5702022055,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5702022051,194,bnar4f48vnx4oaz2lzch48es5,5702022041,30,"4ilnnpfgjfz35lni9ppzd93v9, 6anvl82jyio52wo87cbxdp4np, 1gr0k94d0nh7msa32f6728aok, bnar4f48vnx4oaz2lzch48es5, bmkq3hz1z7lsji7wgr3j8978p, 56sjqxlsf5iitgww0hogez8ph, etz3rjq7chhaomst5u28nnff9, d2itdjj8bx0aztqggfgv7amay, 91suopiz6irxqevhzv8lx76ne, 53nd6a4o02ebb0w2s12prijje, 7z1pv1wezn5rydamnknklv2ay, hsobzlp177f9755mpsi7szmy, aa0888u38mjc1euhofseazb2t, 9auqrrixu34cgkpe8trlkaoh6, 3hi7nroqhsvj8elv8nd9a8ted, 2tthm6h5o033dz440e476rhbe, 506kxojakimt5s0v2c4q6b33e, 2xp7fbcl6a4nua9jpm7b4k1sk, caoahimfnw46l1vnpsp6vf9qs, 5ssy03x358qpvbvlhdg2152qc",5702022047,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810209763,1,34,16,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2025-05-04T13:00:40.377Z,2025-05-04T14:03:03Z,,,,,5702033583,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5702033575,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5702033587,197,790,5702033581,130,8,5702033579,59,"41, 22, 15, 27, 5, 6, 11, 17, 14, 8, 16, 1, 4, 7, 10, 12, 13, 19, 33, 40",5702033589,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5702033585,194,4gqnyyx3i92fayq6cxvekqwut,5702033573,30,"f2ibn3ej2doay3b4u8ezeix62, 9ic9msq3tj4gx8wqa6wfwk50q, dux0skggr99ydjz3kn58p3wmh, 4gqnyyx3i92fayq6cxvekqwut, 4cbaoo2irqtme9goxuz6s3ey2, ayqy2vql1oumokqly9ahfrnx1, aahyom322jdc6f21960ycuzth, c9u2w9ikckbrra8vln2ucbf9w, 7hw1plnv7nvxnqpnfnxcxszpx, 8inyievyp1az6q3dtlkpynf56, bbezbukg20q5b6kfnjuzhs55g, ckhhpn9ppgvlrtubf7li3se09, ajjw1ikceu3g39sy6dsf9kdg4, 8g4r9maz4invihjmdzpfxy0np, 6tckvu2rw7ns18dq7dim0sout, al9l7egkwbc0pv68zk42gegut, 6b8vhoisrfwkljhz4u7pduej8, 823p7p1amx8lp445bo6bi01lg, rq6npjy37kolscu8lrj4r2dx, 66psa7xh8odnlp39ue5vzpes4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810304281,2,32,1,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2025-05-04T14:01:03.429Z,2025-05-04T14:01:05Z,,,,,5702543587,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810304235,2,32,1,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2025-05-04T14:01:03.429Z,2025-05-04T16:52:48Z,,,,,5702543359,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810304297,3,1,1,0,0,9qsmopgutr7ut5g6workk8w4i,1,50.0,50.0,2025-05-04T14:01:03.430Z,2025-05-04T14:01:07Z,7z1pv1wezn5rydamnknklv2ay,M. Kvistgaarden,,,5702543679,212,19.4,5702543681,213,3.22,5702543675,140,31.6,5702543683,279,S,5702543673,56,Back,5702543677,141,47.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810304337,4,1,1,0,3,9qsmopgutr7ut5g6workk8w4i,0,31.6,47.8,2025-05-04T14:01:06.902Z,2025-05-04T14:03:37Z,bmkq3hz1z7lsji7wgr3j8978p,R. Lauritsen,,,5702543931,212,41.6,5702543927,140,63.6,5702543929,141,83.8,5702543923,157,,5702543933,213,0.63,5702543925,56,Left,5702543935,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810304363,3,1,1,0,7,b3r6d8ydtmtjckam6pku9y400,0,32.0,15.1,2025-05-04T14:01:10.835Z,2025-05-04T14:07:11Z,aahyom322jdc6f21960ycuzth,J. Larsson,,,5702544099,213,0.52,5702544095,141,33.3,5702544093,140,52.4,5702544097,212,24.7,5702544091,56,Center,5702544089,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810304381,5,1,1,0,8,9qsmopgutr7ut5g6workk8w4i,0,59.5,71.5,2025-05-04T14:01:11.446Z,2025-05-04T14:01:12Z,etz3rjq7chhaomst5u28nnff9,D. Wass,,,5702544149,140,70.7,5702544153,212,23.3,5702544145,157,,5702544151,141,100.0,5702544157,1,,5702544155,213,1.04,5702544147,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810304443,4,5,1,0,9,b3r6d8ydtmtjckam6pku9y400,1,29.3,-1.0,2025-05-04T14:01:12.562Z,2025-05-04T14:37:46Z,7hw1plnv7nvxnqpnfnxcxszpx,A. Cornelius,,,5702544483,56,Back,5702544547,233,6,5702544485,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810304385,6,5,1,0,9,9qsmopgutr7ut5g6workk8w4i,0,70.7,101.0,2025-05-04T14:01:12.562Z,2025-05-04T14:01:17Z,etz3rjq7chhaomst5u28nnff9,D. Wass,,,5702544175,56,Left,5702544177,347,,5702544565,233,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
