id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/8/value,qualifier/12/value,qualifier/14/value,qualifier/15/value,qualifier/13/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value
2793517979,1,34,16,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2025-03-30T11:26:06.046Z,2025-03-30T12:06:00Z,,,,,5610066671,130,9,5610066667,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5610066677,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5610169835,197,6293,5610066673,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5610066665,30,"b2492j7qzdo7g3ysxz6gq4g5x, 9zhmwx3g0m6xi2oh57g4z35nu, 7h39w16zvj1lbfb0rqr7kvt1x, avtms6bcr8i7qdacuv225evo5, 7zaveckhldl5rieo5ddsqtt2i, ew91bx066dre4xck30vmz10yc, lioz4hr2umpne2bwar18qa96, 6wrch4yhbs6utcc0doguj90q, n2annzbap7hll02zo2v0ccgk, 349g9rdismqpb1aarjp011bd, bb8q9cgqzw9n2tmkl8s3bth0q, 4qo7eu3xwhkpssbuyk4n70fe1, 242y4x99xvpu9zvln5vxoepjp, 6f6x6f9iybgp9pmkqati2otn8, alqg6ch3anqkq9613hu6m1d04, 8ngloyr6r0m71p8kgpfe69bvu, d8nahz092xxj6muqc24hocp3o, 89xit2bryc0g4yhqina7akjkk, lmrff8mviimc33yyrpjzr2tw, 9kjdw81u1rprgi5j8f92afaqc",5610066675,194,b2492j7qzdo7g3ysxz6gq4g5x,5610066669,59,"1, 3, 19, 8, 25, 40, 21, 20, 23, 17, 10, 4, 7, 9, 11, 14, 30, 36, 41, 26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793518437,1,34,16,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2025-03-30T11:27:16.599Z,2025-03-30T17:25:30Z,,,,,5610069083,30,"dcocgxtuabo0rwzwukvqky9uy, d88feog3dgv09oxbzn15xqesq, 33sxiwcjeqcop3ukuok86ujmd, 5j9d1plbsd5ic01r3ggziutwp, dshwz1df0rbe0fztksawvd0wl, czpstoiy12awqpasz573ckp91, adg5dfvzxjrzlz1n2jsfeyx3o, 5jdkdvxssuc8gvzwwrq5bs76y, a8opuarwq9byw73nhfgvo9nca, 1902oagnhlo7x9xpumxvg1t78, 94560hgwsjkx8qgz48f7gzitw, 828b7y3phhpb62srvtrjhtgk4, 7foqorbwhgqjghtxa2nax6kgk, 6gh4z3yubnpypzoakjom1rj3e, 3361cs2j60yxzy9mir80byqc5, 7sbdudf1vycn8hinw0giakpyi, 9zx0qi6gbfnvt6wwpkgprhy50, 6j0ivhjylcydxazb81pheftp0, 6je6y9uk6km1tkzatpw8v9p1w, 637840asun7f3wo16c5zkhi50",5610069093,194,5j9d1plbsd5ic01r3ggziutwp,5610069087,59,"16, 20, 5, 6, 2, 4, 25, 26, 10, 8, 24, 9, 11, 17, 22, 23, 27, 32, 28, 31",5610069091,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5610069089,130,8,5610069085,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5610170609,197,23447,5610069095,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793540711,2,32,1,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2025-03-30T12:02:00.279Z,2025-03-30T12:02:02Z,,,,,5610180931,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793540707,2,32,1,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2025-03-30T12:02:00.279Z,2025-03-30T17:15:04Z,,,,,5610180919,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793540747,3,1,1,0,0,aljua8crr0vkwit0j3m59jw9j,1,49.8,50.0,2025-03-30T12:02:00.280Z,2025-03-30T12:02:04Z,5j9d1plbsd5ic01r3ggziutwp,R. Vinderslev,,,5610181135,212,22.9,5610181139,279,S,5610181129,56,Back,5610181137,213,3.38,5610181131,140,28.6,5610181133,141,41.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793540801,4,1,1,0,3,aljua8crr0vkwit0j3m59jw9j,1,29.3,41.2,2025-03-30T12:02:03.871Z,2025-03-30T13:05:57Z,5jdkdvxssuc8gvzwwrq5bs76y,T. Sommer,,,5610181399,213,0.51,5610181389,157,,5610181401,1,,5610181395,141,80.9,5610181393,140,75.0,5610181391,56,Left,5610181397,212,55.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793540803,3,43,1,0,7,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2025-03-30T12:02:07.984Z,2025-03-30T12:02:10Z,9zhmwx3g0m6xi2oh57g4z35nu,R. Østrøm,,,5610181413,56,Back,5610181545,144,44,5610181415,285,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793540811,5,61,1,0,8,aljua8crr0vkwit0j3m59jw9j,0,74.0,91.7,2025-03-30T12:02:08.303Z,2025-03-30T17:27:21Z,33sxiwcjeqcop3ukuok86ujmd,M. Dal Hende,,,5610181461,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793540965,4,5,1,0,8,ahnt9ejgwj58ul8auzdvi3czf,1,19.4,-1.4,2025-03-30T12:02:08.542Z,2025-03-30T14:10:40Z,9zhmwx3g0m6xi2oh57g4z35nu,R. Østrøm,,,5610182271,56,Back,5610182287,233,6,5610182273,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793540819,6,5,1,0,8,aljua8crr0vkwit0j3m59jw9j,0,80.6,101.4,2025-03-30T12:02:08.542Z,2025-03-30T14:10:41Z,33sxiwcjeqcop3ukuok86ujmd,M. Dal Hende,,,5610182295,233,4,5610181507,347,,5610181505,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
