id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2731865271,1,34,16,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2024-10-06T17:00:27.951Z,2024-10-06T17:57:50Z,,,,,5274093701,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5274093705,130,4,5274093699,30,"b2492j7qzdo7g3ysxz6gq4g5x, 55u45p7vwom7civ3xy3hdf71m, 9zhmwx3g0m6xi2oh57g4z35nu, bplpqy3ierwlm12d1f3prue7e, cw6s5hf1tytvb98vjuosz9r6d, 4qo7eu3xwhkpssbuyk4n70fe1, 6wrch4yhbs6utcc0doguj90q, cuufy3ioo1kio56er2cfn0mqc, n2annzbap7hll02zo2v0ccgk, avtms6bcr8i7qdacuv225evo5, bb8q9cgqzw9n2tmkl8s3bth0q, 2513579m13glsous1p82fbjzd, 6f6x6f9iybgp9pmkqati2otn8, alqg6ch3anqkq9613hu6m1d04, 349g9rdismqpb1aarjp011bd, 7h39w16zvj1lbfb0rqr7kvt1x, d8nahz092xxj6muqc24hocp3o, 89xit2bryc0g4yhqina7akjkk, lmrff8mviimc33yyrpjzr2tw",5274093709,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5274525161,194,b2492j7qzdo7g3ysxz6gq4g5x,5274119193,197,6293,5274093703,59,"1, 5, 3, 6, 15, 4, 20, 33, 23, 8, 10, 2, 9, 11, 17, 19, 30, 36, 41",5274093707,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731866331,1,34,16,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2024-10-06T17:02:03.048Z,2024-10-06T18:13:18Z,,,,,5274099735,59,"1, 17, 15, 6, 2, 5, 12, 27, 14, 8, 10, 7, 9, 13, 16, 22, 30, 31, 36, 38",5274099731,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5274099745,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5274109339,197,792,5274099749,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5274099739,130,17,5274099729,30,"ckhhpn9ppgvlrtubf7li3se09, c9u2w9ikckbrra8vln2ucbf9w, dux0skggr99ydjz3kn58p3wmh, ayqy2vql1oumokqly9ahfrnx1, 7xc0qldxpidl07vij2wgu1sk5, 4cbaoo2irqtme9goxuz6s3ey2, al9l7egkwbc0pv68zk42gegut, 4gqnyyx3i92fayq6cxvekqwut, 7hw1plnv7nvxnqpnfnxcxszpx, 8inyievyp1az6q3dtlkpynf56, 6tckvu2rw7ns18dq7dim0sout, 8g4r9maz4invihjmdzpfxy0np, babnrlnt04mal0268p9dxas8a, 6b8vhoisrfwkljhz4u7pduej8, bbezbukg20q5b6kfnjuzhs55g, 9ic9msq3tj4gx8wqa6wfwk50q, ssluj1c3ft94nkfs58dc8cq2, quh8tfvwi106toymoh38tbrp, ftw3io63hk5vuoa3lyfgowes, 8jyfsal0lbf0ia92axymn2l1w",5274109337,194,4gqnyyx3i92fayq6cxvekqwut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731945961,2,32,1,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2024-10-06T18:00:31.702Z,2024-10-06T18:00:36Z,,,,,5274539013,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731945891,2,32,1,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2024-10-06T18:00:31.702Z,2024-10-06T23:27:19Z,,,,,5274538619,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731945929,3,1,1,0,1,ahnt9ejgwj58ul8auzdvi3czf,1,50.1,50.1,2024-10-06T18:00:32.703Z,2024-10-06T23:27:46Z,bb8q9cgqzw9n2tmkl8s3bth0q,Y. Bakiz,,,5274538823,279,S,5274538815,140,48.9,5274538819,212,1.9,5274538825,278,,5274538813,56,Back,5274538821,213,3.97,5274538817,141,48.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731945959,4,1,1,0,2,ahnt9ejgwj58ul8auzdvi3czf,1,49.0,48.1,2024-10-06T18:00:34.232Z,2024-10-06T18:51:13Z,n2annzbap7hll02zo2v0ccgk,T. Adamsen,,,5274538993,56,Back,5274539001,213,3.02,5274538997,141,50.3,5274538999,212,12.1,5274538995,140,37.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731945993,5,1,1,0,4,ahnt9ejgwj58ul8auzdvi3czf,0,37.6,50.3,2024-10-06T18:00:36.195Z,2024-10-06T18:00:38Z,bplpqy3ierwlm12d1f3prue7e,P. Mattsson,,,5274539189,56,Right,5274539193,141,15.0,5274539197,213,5.75,5274539199,1,,5274539187,157,,5274539195,212,46.8,5274539191,140,75.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731946061,3,1,1,0,6,b3r6d8ydtmtjckam6pku9y400,1,26.7,83.3,2024-10-06T18:00:38.276Z,2024-10-06T23:33:27Z,dux0skggr99ydjz3kn58p3wmh,M. López,,,5274539503,213,0.09,5274539497,141,84.1,5274539493,56,Back,5274539495,140,32.4,5274539491,3,,5274539499,212,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731946067,4,44,1,0,8,b3r6d8ydtmtjckam6pku9y400,1,34.0,85.2,2024-10-06T18:00:40.544Z,2024-10-06T23:33:34Z,4gqnyyx3i92fayq6cxvekqwut,T. Delaney,,,5274539519,56,Back,5274539521,285,,5274539679,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731946089,6,44,1,0,8,ahnt9ejgwj58ul8auzdvi3czf,0,66.0,14.8,2024-10-06T18:00:40.545Z,2024-10-06T23:33:35Z,6wrch4yhbs6utcc0doguj90q,M. Larsen,,,5274539685,233,4,5274539669,56,Right,5274539671,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
