id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/12/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2730024959,1,34,16,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2024-10-04T16:14:39.319Z,2024-10-04T17:02:34Z,,,,,5264177935,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5264177927,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5264177933,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5264177925,30,"53y263xxfdf1itytiqhg3v6c5, 9s85lkd1qi525r4horgbtostl, 6c2isptqoy4cq5c8rlr9s1roq, 22zuxw8lez5w4vjd8spzzysyc, chsirsawrhuh787kofklnjmqd, 7hukebiijqntuvetwzralzuju, 94hei5v2f93ga4b0iwxxisbu1, 7uia9zlz3axnuc6usdn9u4kfe, 1yqlkot5sh85ot3eemo67djv9, 3ylgelxr6ssp42hidfnchqp2i, 7rtrg77m3xozgfhu3p2ihfey2, 1xjhud4hyekcg08nue1iosmsq, 32ohywx3gs0u6bqm4z59wxmmt, 6ylzm57bvpufg3cenadtv7qhh, 2rgil8e1uix2orli95p1si0ut, 9yiz575rldkwu7icgqwk1qmdx, 1k9g7x8jwhzcpx8bc5ji7og0k, 22760086vtvx2xulry32q21hw, 1hbucfyn2l3bxcw5r4zcb1dlg, 6xjbcik3a56d0vqy4vrq5eokp",5264177929,59,"1, 25, 59, 8, 29, 4, 17, 34, 7, 10, 11, 2, 3, 14, 15, 18, 24, 33, 37, 38",5264177931,130,8,5264273295,197,12608,5264273293,194,7hukebiijqntuvetwzralzuju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730025929,1,34,16,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2024-10-04T16:18:12.776Z,2024-10-04T17:04:30Z,,,,,5264183667,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5264278199,197,17331,5264183659,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5264183665,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5264183663,130,4,5264183657,30,"a2l4ep71txn2edtjjcgewai5m, de0dokhb6u6hts2hu5aupgiga, dj2f6zk2cd8u9lt6odoei9cdl, 8mkrj5bnkyhx8kutc4656cy96, 7yst1mucy7jynmpzu1thox2i, 8vi3l756ez0e96k7muvg4ekbu, 8bi1tlz62rjwyak4pnnzgp562, 3q4tnk1z46lop4rbdpjtfoc2c, 5lz41celw55rz3zh8pohclw5w, 4sgxth7onhb5mu29bgyupby3u, 1arzd8hqj73byhduozscqz5uy, bcdp9e3dezuaybm8ndrsanbx0, rv6r0bwbl75er38wklyfpsr9, 6v1kpakd3t0jhnoh1eh75ev4k, 5hw5sfiqhzg7mnghdp52f7fqi, ejixz16616b7krftxyzv9yiac, cul6phe87idi5dn1hsfywxhwp, 5vrsflxiv2dgfa8199a2qxsve, 2o5atg0lz3jy7k86tyqda8h04, 3tka46re2gsi9uw7pbxx5m0pg",5264183661,59,"1, 20, 14, 6, 4, 13, 17, 8, 10, 7, 11, 5, 9, 16, 19, 21, 22, 27, 35, 40",5264293909,194,1arzd8hqj73byhduozscqz5uy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044141,2,32,1,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2024-10-04T17:00:49.579Z,2024-10-04T17:00:51Z,,,,,5264281129,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044127,2,32,1,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2024-10-04T17:00:49.579Z,2024-10-04T17:00:49Z,,,,,5264281067,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044167,3,1,1,0,0,36g6ifzjliec1jqnbtf7yesme,1,50.1,50.0,2024-10-04T17:00:49.580Z,2024-10-04T17:00:52Z,3q4tnk1z46lop4rbdpjtfoc2c,M. Widell,,,5264281213,140,33.0,5264281221,279,S,5264281217,212,18.3,5264281215,141,55.4,5264281219,213,2.94,5264281211,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044231,4,1,1,0,3,36g6ifzjliec1jqnbtf7yesme,0,33.7,56.9,2024-10-04T17:00:52.659Z,2024-10-04T17:00:57Z,8vi3l756ez0e96k7muvg4ekbu,B. Pudel,,,5264281549,56,Right,5264281561,1,,5264281557,212,45.2,5264281547,155,,5264281551,140,67.2,5264281559,213,5.60,5264281553,141,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044227,3,44,1,0,6,c165yjiny1qnmfdvefxvflnkc,1,29.9,81.5,2024-10-04T17:00:56.295Z,2024-10-04T17:00:58Z,7hukebiijqntuvetwzralzuju,O. Provstgaard,,,5264281535,56,Back,5264281537,285,,5264281627,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044235,5,44,1,0,6,36g6ifzjliec1jqnbtf7yesme,0,73.0,21.8,2024-10-04T17:00:56.296Z,2024-10-04T17:00:58Z,4sgxth7onhb5mu29bgyupby3u,J. Adedeji,,,5264281663,233,3,5264281575,286,,5264281573,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044245,4,1,1,0,6,c165yjiny1qnmfdvefxvflnkc,0,21.3,71.7,2024-10-04T17:00:56.470Z,2024-10-04T17:00:57Z,7hukebiijqntuvetwzralzuju,O. Provstgaard,,,5264281621,213,6.03,5264281613,56,Back,5264281619,212,12.1,5264281615,140,32.4,5264281617,141,67.2,5264281611,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044251,6,61,1,0,9,36g6ifzjliec1jqnbtf7yesme,1,68.0,16.7,2024-10-04T17:00:58.964Z,2024-10-04T17:00:59Z,3q4tnk1z46lop4rbdpjtfoc2c,M. Widell,,,5264281667,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
