id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/11/value,qualifier/10/value,qualifier/12/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/16/value
2731732421,1,34,16,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2024-10-06T14:55:03.468Z,2024-10-06T16:00:18Z,,,,,5273754635,194,bnar4f48vnx4oaz2lzch48es5,5273370987,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5273370985,130,17,5273370983,59,"1, 2, 37, 4, 32, 30, 6, 22, 17, 28, 7, 10, 11, 16, 24, 34, 35, 36, 46",5273745521,197,5111,5273370989,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5273370981,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5273370979,30,"4ilnnpfgjfz35lni9ppzd93v9, hsobzlp177f9755mpsi7szmy, 1gr0k94d0nh7msa32f6728aok, bnar4f48vnx4oaz2lzch48es5, 506kxojakimt5s0v2c4q6b33e, 56sjqxlsf5iitgww0hogez8ph, aa0888u38mjc1euhofseazb2t, 94didhw8o1blxonn4amoahcr9, 91suopiz6irxqevhzv8lx76ne, 53nd6a4o02ebb0w2s12prijje, chteizjcvxpvze9p77gcttcoa, etz3rjq7chhaomst5u28nnff9, 9auqrrixu34cgkpe8trlkaoh6, 3hi7nroqhsvj8elv8nd9a8ted, 2tthm6h5o033dz440e476rhbe, 1tt9jeekqwpyi6lnj4vyouuj8, 2xp7fbcl6a4nua9jpm7b4k1sk, 7z1pv1wezn5rydamnknklv2ay, 64ux2tbb35i36qf6oij2263qi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731735105,1,34,16,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2024-10-06T14:57:32.372Z,2024-10-06T16:03:04Z,,,,,5273385307,130,2,5273385305,59,"16, 43, 6, 5, 4, 22, 21, 17, 58, 7, 20, 1, 3, 13, 15, 19, 25, 30, 55, 73",5273749765,194,a87w6l9zsbahdi4knm1347zs9,5273385311,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5273385303,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5273385309,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5273385301,30,"7yim2aepctujr2m4p20a97755, fwu0bja02waqct7l682s5mfp, 8yfw9f74h0yfz51bkxxc8p39x, arhoud4vfjvmjaf2pkbm6s48a, ddl5g7raihnc9s4u3wetz8v10, a87w6l9zsbahdi4knm1347zs9, 78kzajya12k4sm0ebfl37d6ok, 5cjx2i2perp5vr62en4cyer1m, 4zrsiizdbzwwkmit3ta0f0dbe, 1sdsqfn743j5tqem8ra7sppn8, e73sexp7kse0wlykdi7xcbg2c, 41ii5y9ebz5e3xhaif9kc8qmt, c3sp1x0shf2b24rl5ike6v0iy, bidudbkachfl6126lhlr254wk, 8mcb1hiuk9rzf48cx3vj5i3th, bwfg9frq2ecbzg7wlzqjtnv2s, 10esz9pvzonegry7p78n3ce09, bewwsztrqoqdp5ttkxry0i1yi, 8mn8apr6n7t7s6lx4d4vvdnca, 4fhpb0b8muboggvquj2pvsiqx",5273748065,197,24437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731805431,2,32,1,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2024-10-06T16:02:13.877Z,2024-10-06T16:02:14Z,,,,,5273765709,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731805465,2,32,1,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2024-10-06T16:02:13.877Z,2024-10-06T20:15:14Z,,,,,5273765897,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731805545,3,1,1,0,0,9qsmopgutr7ut5g6workk8w4i,1,49.9,50.1,2024-10-06T16:02:13.878Z,2024-10-06T16:02:17Z,94didhw8o1blxonn4amoahcr9,J. Radošević,,,5273766303,279,S,5273766291,141,61.8,5273766299,213,2.62,5273766287,56,Back,5273766289,140,36.6,5273766295,212,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731805563,4,1,1,0,3,9qsmopgutr7ut5g6workk8w4i,1,36.5,62.7,2024-10-06T16:02:17.348Z,2024-10-06T17:02:30Z,aa0888u38mjc1euhofseazb2t,S. Spierings,,,5273766421,213,5.97,5273766413,56,Center,5273766419,212,19.7,5273766417,141,53.9,5273766415,140,54.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731805613,5,1,1,0,4,9qsmopgutr7ut5g6workk8w4i,1,54.4,53.9,2024-10-06T16:02:18.084Z,2024-10-06T16:02:20Z,94didhw8o1blxonn4amoahcr9,J. Radošević,,,5273766677,140,52.0,5273766673,56,Center,5273766705,213,2.12,5273766689,212,4.9,5273766681,141,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731805639,6,1,1,0,6,9qsmopgutr7ut5g6workk8w4i,0,52.0,60.0,2024-10-06T16:02:20.148Z,2024-10-06T17:02:46Z,chteizjcvxpvze9p77gcttcoa,N. Vallys,,,5273766779,155,,5273766781,56,Center,5273766789,213,5.67,5273766783,140,81.9,5273766791,1,,5273766785,141,27.7,5273766787,212,38.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731805701,3,1,1,0,9,59as3grjvj19voay31j3yfgni,0,23.5,68.5,2024-10-06T16:02:23.278Z,2024-10-06T16:02:23Z,8yfw9f74h0yfz51bkxxc8p39x,J. Andersson,,,5273767089,56,Back,5273767095,212,22.9,5273767097,213,5.99,5273767099,1,,5273767091,140,44.4,5273767093,141,58.7,5273767087,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731805741,7,1,1,0,10,9qsmopgutr7ut5g6workk8w4i,1,50.7,39.8,2024-10-06T16:02:24.372Z,2024-10-06T17:02:57Z,506kxojakimt5s0v2c4q6b33e,F. Alves,,,5273767343,212,16.8,5273767337,56,Center,5273767341,141,50.1,5273767333,3,,5273767345,213,0.43,5273767339,140,65.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
