id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2705185221,1,34,16,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2024-08-02T16:09:43.860Z,2024-08-02T17:09:36Z,,,,,5127782087,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5127823989,194,3sadup8mjwu4dc96wz6lmixn9,5127782083,130,12,5127782079,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5127782077,30,"1h31bvtbae4q0edlp0u672hn9, aswmi1pnkzkvkexp8ngief6j9, 4vmgmzg2004twoc39sk7zkzqh, 3l3v5wj4c7vtqqwu05b526590, 6my7s0ezr6jldotm1w6nk7b9x, e9lrzsiy94y46h62rnawi3sgl, 61sojkdsmaz9hbwaskt4rws15, 43q9ytkbmtk5y3tgv77v7pmg9, 3sadup8mjwu4dc96wz6lmixn9, 3uytpqx0e0jr6zgbfl1znsm7e, ca1b5707pdpx0ucug40ggnahh, bxea3tj0tpi7zmf6k5jtut889, efubck8twu1elbhlomltnjjtg, cgkvw4q8ddcjl0po181upzwx6, 6m4anciafmzc24s44xszymbc9, 5f4qlbohzja204gxm9tkiekq2, 5lssweodhkyifhj333v6f6r6c, 3gemcjqban843su9c9y5l2sk4, 654obqy73ov2t5800r2woo6w9, 9delpquqv81o7ftrgefb0wpp0",5127782081,59,"1, 2, 11, 40, 5, 3, 8, 7, 9, 31, 29, 10, 18, 19, 21, 22, 23, 26, 27, 33",5127782085,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5127823991,197,14750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705186631,1,34,16,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2024-08-02T16:17:31.205Z,2024-08-02T17:07:14Z,,,,,5127790305,130,12,5127790301,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5127790299,30,"a6ham5hnwv62w3tynikyal68l, 3361cs2j60yxzy9mir80byqc5, bb2cldqy0vvcyrrcvj6j0d71l, 5j9d1plbsd5ic01r3ggziutwp, 5jdkdvxssuc8gvzwwrq5bs76y, 6rd849oap6uh93wdwjk8590q1, 5x8064b3yr7txk0czddfjtffu, 1902oagnhlo7x9xpumxvg1t78, 6gh4z3yubnpypzoakjom1rj3e, a8opuarwq9byw73nhfgvo9nca, 637840asun7f3wo16c5zkhi50, 33sxiwcjeqcop3ukuok86ujmd, 828b7y3phhpb62srvtrjhtgk4, 7foqorbwhgqjghtxa2nax6kgk, 5q4p56lg1vjsqo824aql0e1d6, 4qyfoq5fjiochtj89w426lm21, c7gwbtdqptxjtu3tn3xctvit, bh06w40pwo6dy3cjrw3r2i0ru, bdxcd38y99nrbv72uh2v4fhg4, adg5dfvzxjrzlz1n2jsfeyx3o",5127790309,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5127824015,194,5j9d1plbsd5ic01r3ggziutwp,5127790303,59,"1, 22, 21, 6, 26, 12, 7, 8, 17, 10, 31, 5, 9, 11, 13, 14, 16, 18, 19, 25",5127790307,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5127823679,197,23448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705193263,2,32,1,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2024-08-02T17:02:14.432Z,2024-08-02T17:02:14Z,,,,,5127828571,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705193265,2,32,1,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2024-08-02T17:02:14.432Z,2024-08-03T04:53:08Z,,,,,5127828573,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705193279,3,1,1,0,0,aljua8crr0vkwit0j3m59jw9j,1,50.3,50.1,2024-08-02T17:02:14.433Z,2024-08-03T03:38:39Z,a8opuarwq9byw73nhfgvo9nca,K. Ingason,,,5127828657,140,40.0,5127828661,212,11.2,5127828665,279,S,5127828659,141,54.6,5127828655,56,Back,5127828663,213,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705193289,4,1,1,0,3,aljua8crr0vkwit0j3m59jw9j,1,36.8,51.9,2024-08-02T17:02:18.194Z,2024-08-03T03:38:56Z,1902oagnhlo7x9xpumxvg1t78,L. Björklund,,,5127828697,141,32.3,5127828699,212,14.1,5127828693,56,Back,5127828695,140,32.3,5127828701,213,4.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705193297,5,1,1,0,5,aljua8crr0vkwit0j3m59jw9j,0,31.2,23.1,2024-08-02T17:02:20.401Z,2024-08-03T03:39:10Z,6rd849oap6uh93wdwjk8590q1,M. Soulas,,,5127828755,140,86.8,5127828763,1,,5128698931,157,,5127828761,213,6.17,5127828757,141,13.5,5127828753,56,Right,5127828759,212,58.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705193323,3,1,1,0,8,5rz9enoyknpg8ji78za5b82p0,1,19.0,81.7,2024-08-02T17:02:22.765Z,2024-08-02T17:02:26Z,3l3v5wj4c7vtqqwu05b526590,J. Jensen-Abbew,,,5127828867,56,Back,5127828869,140,23.2,5127828875,213,0.69,5127828871,141,87.1,5127828865,3,,5127828873,212,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705193325,4,3,1,0,10,5rz9enoyknpg8ji78za5b82p0,1,25.2,89.8,2024-08-02T17:02:24.688Z,2024-08-03T03:39:26Z,4vmgmzg2004twoc39sk7zkzqh,G. Links,,,5127828881,285,,5127828879,56,Back,5127830103,233,6,5128699111,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705193317,6,45,1,0,10,aljua8crr0vkwit0j3m59jw9j,0,74.8,10.2,2024-08-02T17:02:24.688Z,2024-08-02T17:25:16Z,a8opuarwq9byw73nhfgvo9nca,K. Ingason,,,5127828835,56,Right,5127831367,233,4,5127828839,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705193341,5,1,1,0,13,5rz9enoyknpg8ji78za5b82p0,1,22.5,93.6,2024-08-02T17:02:27.498Z,2024-08-02T17:02:29Z,4vmgmzg2004twoc39sk7zkzqh,G. Links,,,5127828981,212,12.3,5127828975,56,Back,5127828977,140,34.2,5127828979,141,93.0,5127828983,213,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705193343,6,43,1,0,14,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2024-08-02T17:02:29.326Z,2024-08-03T03:40:10Z,3sadup8mjwu4dc96wz6lmixn9,P. Mortensen,,,5128699595,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705193355,7,43,1,0,15,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2024-08-02T17:02:29.608Z,2024-08-02T17:02:35Z,3sadup8mjwu4dc96wz6lmixn9,P. Mortensen,,,5127829023,212,4.4,5127829119,144,1,5127829021,141,93.6,5127829025,213,3.05,5127829019,140,30.0,5127829017,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705193345,7,83,1,0,15,aljua8crr0vkwit0j3m59jw9j,0,63.1,7.7,2024-08-02T17:02:29.921Z,2024-08-02T17:02:44Z,6rd849oap6uh93wdwjk8590q1,M. Soulas,,,5127829325,399,3sadup8mjwu4dc96wz6lmixn9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
