id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2797306555,1,34,16,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2025-04-06T15:09:22.697Z,2025-04-06T16:05:45Z,,,,,5630876853,59,"38, 2, 25, 6, 3, 24, 36, 8, 7, 10, 29, 4, 12, 13, 18, 21, 30, 34, 40, 45",5630876849,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5630876857,130,4,5630876845,30,"9h6c9ue598hllcri39erjitqs, 7cpkykvmy8ujrahzdz7ksk2c5, 5ucbttulfcdufwr751zj0zcic, 5r1v2w303bvj0vv1893qr5d5h, chjcbjc5nv8uyiusfafts5zv9, 2rvx2wlfj2rxzcgye6wiw0v84, 3zc9hy5uicgp21wr6z5wyuntg, 4cubrfqgrc5ivbd6fdj3k3zf8, 7a1vtc0e7ubua2t0dwx9ufk7o, 5uqf7a0y0fd1hf2rrmgx11tuy, ayistjficdvpd0v10681qf578, 55gunqozsj8gs6oua7ee5xxhx, 9qebp1745dtdjh5kg5n4wfq7e, 49wkw0wkn4ta18b6657vjvglx, 2r8s61bmydlumhg62wd0y6fis, 6rd6a2f1k124dzp1p904yq3h0, e457dpvb3s2dna0yivjrmhudw, c1s6vw84nupd8c0mbj8gov5lg, 8dqghahifyr8tjcndw9pip3x0, apspqh3shqfwobvh35x60q5g4",5631150153,197,4597,5630876863,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5630876861,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5631150151,194,5uqf7a0y0fd1hf2rrmgx11tuy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797310737,1,34,16,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2025-04-06T15:13:18.647Z,2025-04-06T15:59:42Z,,,,,5630899391,59,"41, 13, 24, 4, 2, 5, 36, 17, 19, 11, 30, 1, 7, 8, 12, 14, 22, 27, 33, 40",5630899403,194,4cbaoo2irqtme9goxuz6s3ey2,5630899397,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5630899389,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5630899393,130,13,5630899387,30,"f2ibn3ej2doay3b4u8ezeix62, 6b8vhoisrfwkljhz4u7pduej8, 2ubad2kxha6n1c8c8sr2ogmad, ajjw1ikceu3g39sy6dsf9kdg4, 7xc0qldxpidl07vij2wgu1sk5, 4cbaoo2irqtme9goxuz6s3ey2, ftw3io63hk5vuoa3lyfgowes, c9u2w9ikckbrra8vln2ucbf9w, 823p7p1amx8lp445bo6bi01lg, aahyom322jdc6f21960ycuzth, ssluj1c3ft94nkfs58dc8cq2, ckhhpn9ppgvlrtubf7li3se09, 8g4r9maz4invihjmdzpfxy0np, 8inyievyp1az6q3dtlkpynf56, al9l7egkwbc0pv68zk42gegut, 7hw1plnv7nvxnqpnfnxcxszpx, 9ic9msq3tj4gx8wqa6wfwk50q, 4gqnyyx3i92fayq6cxvekqwut, rq6npjy37kolscu8lrj4r2dx, 66psa7xh8odnlp39ue5vzpes4",5630899409,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5631141497,197,792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797357593,2,32,1,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2025-04-06T16:00:41.892Z,2025-04-06T19:39:47Z,,,,,5631158567,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797357617,2,32,1,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2025-04-06T16:00:41.892Z,2025-04-06T16:00:43Z,,,,,5631158701,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797357651,3,1,1,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,49.9,50.0,2025-04-06T16:00:41.893Z,2025-04-06T16:00:45Z,5uqf7a0y0fd1hf2rrmgx11tuy,B. Nygren,,,5631158933,279,S,5631158923,56,Back,5631158929,212,22.8,5631158931,213,2.82,5631158927,141,60.5,5631158925,140,29.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797357711,4,1,1,0,3,77tfx9me4aaqhzv78bmgsy9bg,1,29.0,59.4,2025-04-06T16:00:45.502Z,2025-04-06T16:00:50Z,2rvx2wlfj2rxzcgye6wiw0v84,L. Høgsberg,,,5631159245,140,71.0,5631159243,56,Center,5631159251,213,0.14,5631159241,155,,5631159247,141,68.7,5631159249,212,44.6,5631159253,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797357715,5,44,1,0,7,77tfx9me4aaqhzv78bmgsy9bg,1,70.1,72.2,2025-04-06T16:00:49.424Z,2025-04-06T17:38:15Z,3zc9hy5uicgp21wr6z5wyuntg,C. Yirenkyi,,,5631159313,233,3,5631159281,56,Center,5631159283,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797357705,3,44,1,0,7,b3r6d8ydtmtjckam6pku9y400,0,29.9,27.8,2025-04-06T16:00:49.425Z,2025-04-06T17:38:15Z,4cbaoo2irqtme9goxuz6s3ey2,Gabriel Pereira,,,5631159343,233,5,5631159219,285,,5631159217,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797357735,6,1,1,0,7,77tfx9me4aaqhzv78bmgsy9bg,0,72.7,70.8,2025-04-06T16:00:49.855Z,2025-04-06T19:47:30Z,3zc9hy5uicgp21wr6z5wyuntg,C. Yirenkyi,,,5631159425,213,0.31,5631159419,140,100.0,5631159417,56,Left,5631159423,212,30.8,5631159421,141,84.5,5631159415,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797357795,4,5,1,0,10,b3r6d8ydtmtjckam6pku9y400,1,-0.8,16.6,2025-04-06T16:00:52.057Z,2025-04-06T18:10:56Z,4cbaoo2irqtme9goxuz6s3ey2,Gabriel Pereira,,,5631159741,56,Back,5631161049,233,7,5631159743,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
