id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2704163889,1,34,16,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2024-07-28T11:16:35.357Z,2024-07-28T12:06:05Z,,,,,5122090747,194,8cox96ikk1k4c24f0y5ef45x,5122036965,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5122036959,59,"1, 27, 44, 6, 3, 4, 10, 8, 26, 90, 9, 5, 7, 12, 14, 15, 19, 24, 25, 30",5122036963,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5122036961,130,8,5122090749,197,4650,5122036957,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5122036955,30,"dmxzug2enscx331w5vmdzn2s5, 6m5ftd7c68b2d4d2931xs5srt, 60z63hezwwosjnhvamcwxtre1, 6uj3c69lgu6boblkjiuhoy6eh, effgiwtme6eu08o1ninlnqqqd, 8cox96ikk1k4c24f0y5ef45x, ag40mk09zc8tzbkr7dnnqumay, 5al9uyujlrlb17o4r5sapkkk4, 54ipja7wrxji6kn8yw5uhr6ga, 9yuyz4ci6wqikd6ckjstbt2i1, 606hufq6dapf3qxcgilbc8tt5, 1t67kvg37jg2elz9voix5kcet, 1329qhvvxpp6j4q5esh4n3hii, 9xub4z9b3bog8wqhn5yfihecp, o7nooyu95nab78ys541e3uuh, 2datlbzulrzdgpyxv3fkzn0et, 6w9yjs87tue7noq71ftksxez8, 3cdo7b8vwb5kzeoaxzqm6esk4, cyuoj9pesenese4i3pklv7d2h, 4vfbiav52mg5s9vnx53f0nhuc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704164731,1,34,16,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2024-07-28T11:19:37.566Z,2024-07-28T11:58:31Z,,,,,5122040493,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5122090089,197,19904,5122090087,194,5f3wfx327z9hef9k9l37c90wl,5122040485,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5122040489,130,4,5122040491,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5122040483,30,"9lgnm175tw163z53b8bmiu5pm, 4n3t1p3zn5yzjv4w0clo3xvjd, acp1ba2irpv5wfmxke7ucmaga, 5f3wfx327z9hef9k9l37c90wl, 6ja2xnbktah4mog04g3kmjgmh, bp2ellllifbtxgf0p8qlbm1nt, 3bvc29bootgmo9tsapvygvnu2, 9wgpudcet9m8doz9ezbjxzkrt, akxcr1xe62dyl5jmh3ataq13o, b6q0tf252xvikt39g8jevju38, 195o7hchielt14ic49r3k06sq, auk14ut8cwaqop549u2zmfgt1, 7w7ufa4v85hmj1qxnmqc4zgiy, 5m27f84vvraap8bmfujt1qiok, 73lwz4he5erpp25zi8crjvztg, dk9nlp77b6q38p751f8w3o8np, 6d8194j12jdzgqk5uwcemecr8, bitixkzgt5p65rlo2bnllcf6x, 8ngloyr6r0m71p8kgpfe69bvu, eq7tnnzwq0g9q4eac0o9t9xey",5122040487,59,"1, 24, 23, 13, 5, 55, 28, 10, 11, 37, 7, 4, 8, 14, 15, 16, 17, 18, 21, 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704174891,2,32,1,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2024-07-28T12:03:16.406Z,2024-07-28T12:03:16Z,,,,,5122095913,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704174895,2,32,1,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2024-07-28T12:03:16.406Z,2024-07-28T12:03:18Z,,,,,5122095923,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704174903,3,1,1,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,49.8,50.3,2024-07-28T12:03:16.407Z,2024-07-28T12:33:59Z,54ipja7wrxji6kn8yw5uhr6ga,F. Danho,,,5122095985,279,S,5122095979,141,57.5,5122095983,213,1.22,5122095975,56,Center,5122095981,212,5.2,5122095977,140,51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704174915,4,1,1,0,2,9w3sjm5ml4sjr2v81oxzdrt8v,1,50.3,60.9,2024-07-28T12:03:19.161Z,2024-07-28T13:00:54Z,9yuyz4ci6wqikd6ckjstbt2i1,S. Odey,,,5122096055,141,80.5,5122096057,212,15.8,5122096051,56,Back,5122096053,140,42.3,5122096059,213,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704174921,5,1,1,0,5,9w3sjm5ml4sjr2v81oxzdrt8v,1,43.3,85.7,2024-07-28T12:03:21.865Z,2024-07-28T13:01:12Z,6uj3c69lgu6boblkjiuhoy6eh,J. Björkengren,,,5122096081,213,0.51,5122096077,141,97.5,5122096079,212,16.5,5122096073,56,Left,5122096075,140,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704174927,6,1,1,0,6,9w3sjm5ml4sjr2v81oxzdrt8v,0,61.0,96.2,2024-07-28T12:03:22.757Z,2024-07-28T13:09:49Z,60z63hezwwosjnhvamcwxtre1,N. Dyhr,,,5122096105,213,5.37,5122096099,140,66.3,5122096101,141,85.7,5122096103,212,9.1,5122096097,56,Left,5122096095,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704174929,3,1,1,0,7,cftj6g399tknheudaxsdpfdgb,0,36.5,21.6,2024-07-28T12:03:23.408Z,2024-07-28T12:03:25Z,6ja2xnbktah4mog04g3kmjgmh,Ž. Zaletel,,,5122096125,213,0.15,5122096117,56,Back,5122096115,3,,5122096121,141,22.4,5122096123,212,3.6,5122096119,140,39.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704174943,7,44,1,0,8,9w3sjm5ml4sjr2v81oxzdrt8v,1,62.6,73.9,2024-07-28T12:03:24.782Z,2024-07-28T12:03:28Z,9yuyz4ci6wqikd6ckjstbt2i1,S. Odey,,,5122096203,233,4,5122096193,286,,5122096191,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
