id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/8/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId
2734764245,1,34,16,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2024-10-18T16:06:17.029Z,2024-10-18T18:45:23Z,,,,,5290087875,59,"1, 22, 2, 27, 5, 6, 10, 12, 14, 7, 16, 8, 9, 11, 15, 30, 31, 36, 38, 17",5290087871,30,"ckhhpn9ppgvlrtubf7li3se09, 9ic9msq3tj4gx8wqa6wfwk50q, 7xc0qldxpidl07vij2wgu1sk5, 4gqnyyx3i92fayq6cxvekqwut, 4cbaoo2irqtme9goxuz6s3ey2, ayqy2vql1oumokqly9ahfrnx1, 6tckvu2rw7ns18dq7dim0sout, al9l7egkwbc0pv68zk42gegut, 7hw1plnv7nvxnqpnfnxcxszpx, 8g4r9maz4invihjmdzpfxy0np, bbezbukg20q5b6kfnjuzhs55g, 8inyievyp1az6q3dtlkpynf56, babnrlnt04mal0268p9dxas8a, aahyom322jdc6f21960ycuzth, dux0skggr99ydjz3kn58p3wmh, ssluj1c3ft94nkfs58dc8cq2, quh8tfvwi106toymoh38tbrp, ftw3io63hk5vuoa3lyfgowes, 8jyfsal0lbf0ia92axymn2l1w, c9u2w9ikckbrra8vln2ucbf9w",5290210661,197,790,5290212535,194,8g4r9maz4invihjmdzpfxy0np,5290087873,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5290087877,130,8,5290087879,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5290087881,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734765649,1,34,16,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2024-10-18T16:10:11.507Z,2024-10-18T17:29:53Z,,,,,5290095591,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5290095585,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5290216943,194,7hukebiijqntuvetwzralzuju,5290095589,130,4,5290095593,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5290095583,30,"53y263xxfdf1itytiqhg3v6c5, 1xjhud4hyekcg08nue1iosmsq, 7hukebiijqntuvetwzralzuju, 7uia9zlz3axnuc6usdn9u4kfe, 1ykl08k2c2kwxukw0gvslf6qd, 6ylzm57bvpufg3cenadtv7qhh, 22zuxw8lez5w4vjd8spzzysyc, 3ylgelxr6ssp42hidfnchqp2i, 1yqlkot5sh85ot3eemo67djv9, 94hei5v2f93ga4b0iwxxisbu1, 7rtrg77m3xozgfhu3p2ihfey2, 32ohywx3gs0u6bqm4z59wxmmt, 2anc9ug5nr25khmtcc4id2pxx, 2rgil8e1uix2orli95p1si0ut, 9yiz575rldkwu7icgqwk1qmdx, 1k9g7x8jwhzcpx8bc5ji7og0k, 9s85lkd1qi525r4horgbtostl, chsirsawrhuh787kofklnjmqd, 1hbucfyn2l3bxcw5r4zcb1dlg, 6c2isptqoy4cq5c8rlr9s1roq",5290095587,59,"1, 2, 4, 34, 13, 14, 8, 10, 7, 17, 11, 3, 5, 15, 18, 24, 25, 29, 37, 59",5290216945,197,12608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790101,2,32,1,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2024-10-18T17:02:08.246Z,2024-10-18T17:02:08Z,,,,,5290224629,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790121,2,32,1,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2024-10-18T17:02:08.246Z,2024-10-18T17:02:09Z,,,,,5290224699,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790157,3,1,1,0,0,b3r6d8ydtmtjckam6pku9y400,1,49.7,50.1,2024-10-18T17:02:08.247Z,2024-10-18T17:02:12Z,7hw1plnv7nvxnqpnfnxcxszpx,A. Cornelius,,,5290224891,279,S,5290224885,141,53.3,5290224881,56,Back,5290224889,213,2.94,5290224883,140,39.6,5290224887,212,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790195,4,1,1,0,3,b3r6d8ydtmtjckam6pku9y400,1,42.6,53.9,2024-10-18T17:02:11.969Z,2024-10-18T17:02:15Z,al9l7egkwbc0pv68zk42gegut,L. Lerager,,,5290225087,213,1.45,5290225081,140,45.3,5290225085,212,23.4,5290225079,56,Back,5290225083,141,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790251,5,1,1,0,6,b3r6d8ydtmtjckam6pku9y400,1,45.1,83.6,2024-10-18T17:02:15.185Z,2024-10-18T17:02:20Z,7xc0qldxpidl07vij2wgu1sk5,K. Diks,,,5290225361,56,Back,5290225367,212,29.5,5290225365,141,44.8,5290225363,140,32.5,5290225369,213,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790283,6,1,1,0,12,b3r6d8ydtmtjckam6pku9y400,1,32.3,46.0,2024-10-18T17:02:20.625Z,2024-10-18T17:02:22Z,4cbaoo2irqtme9goxuz6s3ey2,Gabriel Pereira,,,5290225569,212,14.5,5290225571,213,1.06,5290225563,56,Back,5290225565,140,39.0,5290225567,141,64.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790337,7,1,1,0,14,b3r6d8ydtmtjckam6pku9y400,1,40.0,67.0,2024-10-18T17:02:22.672Z,2024-10-18T17:02:28Z,ayqy2vql1oumokqly9ahfrnx1,P. Hatzidiakos,,,5290225859,56,Back,5290225865,212,11.4,5290225863,141,82.1,5290225861,140,44.8,5290225867,213,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790355,8,1,1,0,19,b3r6d8ydtmtjckam6pku9y400,1,44.5,69.7,2024-10-18T17:02:28.241Z,2024-10-18T17:03:02Z,7xc0qldxpidl07vij2wgu1sk5,K. Diks,,,5290225963,1,,5290225959,212,40.2,5290225953,56,Back,5290225957,141,10.9,5290225961,213,4.62,5290225955,140,40.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
