id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/9/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2737134789,1,34,16,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2024-10-21T15:57:32.945Z,2024-10-21T20:24:04Z,,,,5302877315,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5302877307,30,"4ilnnpfgjfz35lni9ppzd93v9, hsobzlp177f9755mpsi7szmy, 1gr0k94d0nh7msa32f6728aok, bnar4f48vnx4oaz2lzch48es5, 506kxojakimt5s0v2c4q6b33e, 56sjqxlsf5iitgww0hogez8ph, 94didhw8o1blxonn4amoahcr9, aa0888u38mjc1euhofseazb2t, 53nd6a4o02ebb0w2s12prijje, 91suopiz6irxqevhzv8lx76ne, chteizjcvxpvze9p77gcttcoa, bmkq3hz1z7lsji7wgr3j8978p, etz3rjq7chhaomst5u28nnff9, 9auqrrixu34cgkpe8trlkaoh6, cft1n7qn5juaedelpvqwo2f3d, 2tthm6h5o033dz440e476rhbe, 2xp7fbcl6a4nua9jpm7b4k1sk, 7z1pv1wezn5rydamnknklv2ay, 64ux2tbb35i36qf6oij2263qi, 51imtpvf4bb1ra8v8z8jmstg4",5302877311,59,"1, 2, 37, 4, 32, 30, 22, 6, 28, 17, 7, 5, 10, 11, 18, 24, 35, 36, 46, 50",5302975543,194,bnar4f48vnx4oaz2lzch48es5,5302975709,197,14573,5302877317,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5302877313,130,19,5302877309,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737135241,1,34,16,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2024-10-21T16:00:15.689Z,2024-10-21T20:34:17Z,,,,5302880299,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5302974879,194,3sadup8mjwu4dc96wz6lmixn9,5302880295,59,"1, 26, 11, 5, 2, 19, 8, 6, 31, 9, 7, 3, 10, 13, 15, 16, 20, 23, 29, 33",5302974699,197,14750,5302880293,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5302880297,130,19,5302880291,30,"1h31bvtbae4q0edlp0u672hn9, 3gemcjqban843su9c9y5l2sk4, 4vmgmzg2004twoc39sk7zkzqh, 6my7s0ezr6jldotm1w6nk7b9x, aswmi1pnkzkvkexp8ngief6j9, cgkvw4q8ddcjl0po181upzwx6, 61sojkdsmaz9hbwaskt4rws15, 8og8nxbkcb63van4llvpkbe8l, 3uytpqx0e0jr6zgbfl1znsm7e, 3sadup8mjwu4dc96wz6lmixn9, 43q9ytkbmtk5y3tgv77v7pmg9, e9lrzsiy94y46h62rnawi3sgl, 7je01bs3a4q6c2gd02ee6da3u, 9trvbmdwo8fkndwjz9mr1bfmx, bz77hr28a1yskifpuvzu8smsq, 6jgd09iosfe5mn3tputmjx2ad, 5qvy65ckiigykkowpyco05zv9, 5lssweodhkyifhj333v6f6r6c, ca1b5707pdpx0ucug40ggnahh, 9delpquqv81o7ftrgefb0wpp0",5302880301,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737152019,2,32,1,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2024-10-21T17:01:53.240Z,2024-10-21T20:00:15Z,,,,5302978681,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737152023,2,32,1,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2024-10-21T17:01:53.240Z,2024-10-21T17:01:55Z,,,,5302978701,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737152065,3,1,1,0,0,5rz9enoyknpg8ji78za5b82p0,1,50.4,50.1,2024-10-21T17:01:53.241Z,2024-10-21T17:01:58Z,43q9ytkbmtk5y3tgv77v7pmg9,M. Madsen,,5302978925,212,3.4,5302978931,278,,5302978921,140,49.7,5302978929,279,S,5302978927,213,4.50,5302978923,141,45.2,5302978919,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737152077,4,1,1,0,4,5rz9enoyknpg8ji78za5b82p0,1,49.5,52.8,2024-10-21T17:01:57.911Z,2024-10-21T17:02:11Z,3uytpqx0e0jr6zgbfl1znsm7e,T. Bech,,5302979009,212,21.2,5302979007,141,82.5,5302979003,56,Left,5302979011,213,1.27,5302979005,140,55.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737152127,5,1,1,0,5,5rz9enoyknpg8ji78za5b82p0,0,55.5,82.5,2024-10-21T17:01:58.808Z,2024-10-21T17:06:03Z,4vmgmzg2004twoc39sk7zkzqh,G. Links,,5302979261,141,92.6,5302979265,213,2.67,5302979263,212,15.2,5302979257,56,Back,5302979259,140,42.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737152093,3,8,1,0,6,9qsmopgutr7ut5g6workk8w4i,1,57.0,8.0,2024-10-21T17:01:59.854Z,2024-10-21T20:31:23Z,53nd6a4o02ebb0w2s12prijje,Y. Suzuki,,5302979099,56,Right,5303643257,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737152131,6,61,1,0,10,5rz9enoyknpg8ji78za5b82p0,1,41.5,93.2,2024-10-21T17:02:03.752Z,2024-10-21T20:31:21Z,cgkvw4q8ddcjl0po181upzwx6,E. Kahl,,5302979269,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737152255,4,5,1,0,11,9qsmopgutr7ut5g6workk8w4i,1,56.4,-1.4,2024-10-21T17:02:05.048Z,2024-10-21T17:06:39Z,53nd6a4o02ebb0w2s12prijje,Y. Suzuki,,5302979903,347,,5302979951,233,7,5302979901,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
