id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2818857217,1,34,16,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2025-05-25T14:09:18.504Z,2025-05-25T15:05:51Z,,,,,5749905969,194,a87w6l9zsbahdi4knm1347zs9,5749891003,30,"41ii5y9ebz5e3xhaif9kc8qmt, fwu0bja02waqct7l682s5mfp, 8mn8apr6n7t7s6lx4d4vvdnca, bwfg9frq2ecbzg7wlzqjtnv2s, c3sp1x0shf2b24rl5ike6v0iy, a87w6l9zsbahdi4knm1347zs9, 1sdsqfn743j5tqem8ra7sppn8, drlp4xtkta08jiu0px6m4ocq2, elhmf9cc26ec5p1wnwonuxf4l, e73sexp7kse0wlykdi7xcbg2c, e64kcio0848bpw39eedbjyd5g, ddl5g7raihnc9s4u3wetz8v10, djlyi0ad4x1p0k4thn8n0axw4, bidudbkachfl6126lhlr254wk, bcscjb9jdgu4ims9n3vwuj5k9, 7yim2aepctujr2m4p20a97755, 78kzajya12k4sm0ebfl37d6ok, ajhd3cqclubmexhscpd4w4ez9, 4zrsiizdbzwwkmit3ta0f0dbe, 1qcf5gb8wf8f4tu94xh96yqy",5749891013,197,4600,5749891015,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5749891007,59,"1, 43, 55, 19, 3, 22, 7, 24, 18, 20, 41, 4, 11, 13, 14, 16, 21, 29, 58, 80",5749891011,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5749891005,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5749891009,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818858375,1,34,16,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2025-05-25T14:12:19.676Z,2025-05-25T15:07:56Z,,,,,5749897733,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5749897723,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5749897725,59,"1, 27, 44, 16, 3, 4, 17, 6, 7, 10, 9, 5, 11, 14, 24, 25, 26, 30, 90, 28",5749994337,194,8cox96ikk1k4c24f0y5ef45x,5749897731,197,4650,5749897721,30,"dmxzug2enscx331w5vmdzn2s5, 6m5ftd7c68b2d4d2931xs5srt, 60z63hezwwosjnhvamcwxtre1, brsecgiiou4wcogoimzawyhp0, effgiwtme6eu08o1ninlnqqqd, 8cox96ikk1k4c24f0y5ef45x, 8domjmewnw5h6b19vef8w0afp, 6uj3c69lgu6boblkjiuhoy6eh, 1329qhvvxpp6j4q5esh4n3hii, ag40mk09zc8tzbkr7dnnqumay, 606hufq6dapf3qxcgilbc8tt5, aeoqbtq15nt9ks5cx50vallhw, d1j2a0az2datf1l2efdzne7vu, o7nooyu95nab78ys541e3uuh, 3cdo7b8vwb5kzeoaxzqm6esk4, cyuoj9pesenese4i3pklv7d2h, 54ipja7wrxji6kn8yw5uhr6ga, 4vfbiav52mg5s9vnx53f0nhuc, 9yuyz4ci6wqikd6ckjstbt2i1, 2mawaijd9czgtd5jh9myk434l",5749897727,130,4,5749897729,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818876809,2,32,1,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2025-05-25T15:01:09.697Z,2025-05-25T15:01:09Z,,,,,5750002519,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818876851,2,32,1,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2025-05-25T15:01:09.697Z,2025-05-25T17:41:49Z,,,,,5750002633,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818876899,3,1,1,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,49.8,50.1,2025-05-25T15:01:09.698Z,2025-05-25T17:17:12Z,8domjmewnw5h6b19vef8w0afp,M. Greve,,,5750002859,213,3.12,5750002861,279,S,5750002855,141,50.7,5750002851,56,Back,5750002857,212,23.4,5750002853,140,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818876963,4,1,1,0,3,9w3sjm5ml4sjr2v81oxzdrt8v,0,27.7,49.1,2025-05-25T15:01:13.390Z,2025-05-25T15:01:18Z,8cox96ikk1k4c24f0y5ef45x,W. Dammers,,,5750003153,155,,5750003163,213,5.75,5750003165,1,,5750003157,140,73.3,5750003161,212,55.4,5750003155,56,Right,5750003159,141,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818876973,3,44,1,0,7,59as3grjvj19voay31j3yfgni,1,21.7,91.8,2025-05-25T15:01:17.216Z,2025-05-25T17:04:04Z,8mn8apr6n7t7s6lx4d4vvdnca,V. Bak Jensen,,,5750003217,56,Back,5750003275,233,5,5750003219,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818876967,5,44,1,0,7,9w3sjm5ml4sjr2v81oxzdrt8v,0,78.3,8.2,2025-05-25T15:01:17.217Z,2025-05-25T17:04:05Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5750003283,233,3,5750003181,56,Right,5750003183,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818876989,4,12,1,0,7,59as3grjvj19voay31j3yfgni,1,13.2,91.8,2025-05-25T15:01:17.528Z,2025-05-25T17:56:57Z,8mn8apr6n7t7s6lx4d4vvdnca,V. Bak Jensen,,,5750916511,15,,5750003313,56,Back,5750003319,212,6.9,5750003321,213,6.19,5750003315,140,19.7,5750003317,141,90.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877005,5,1,1,0,9,59as3grjvj19voay31j3yfgni,0,19.4,90.6,2025-05-25T15:01:18.936Z,2025-05-25T17:16:31Z,e64kcio0848bpw39eedbjyd5g,M. Krüger-Johnsen,,,5750003415,141,73.9,5750003417,212,12.8,5750003411,56,Back,5750003409,3,,5750003419,213,5.20,5750003413,140,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
