id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/18/value
2719992521,1,34,16,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2024-09-14T15:05:16.350Z,2024-09-14T15:55:25Z,,,,,5209238969,130,2,5209787907,197,4600,5209240845,194,a87w6l9zsbahdi4knm1347zs9,5209238973,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5209238971,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5209238965,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5209238963,30,"7yim2aepctujr2m4p20a97755, fwu0bja02waqct7l682s5mfp, 8yfw9f74h0yfz51bkxxc8p39x, drlp4xtkta08jiu0px6m4ocq2, ddl5g7raihnc9s4u3wetz8v10, a87w6l9zsbahdi4knm1347zs9, djlyi0ad4x1p0k4thn8n0axw4, arhoud4vfjvmjaf2pkbm6s48a, 10esz9pvzonegry7p78n3ce09, 1sdsqfn743j5tqem8ra7sppn8, 4zrsiizdbzwwkmit3ta0f0dbe, 41ii5y9ebz5e3xhaif9kc8qmt, c3sp1x0shf2b24rl5ike6v0iy, bcscjb9jdgu4ims9n3vwuj5k9, 5cjx2i2perp5vr62en4cyer1m, bwfg9frq2ecbzg7wlzqjtnv2s, e73sexp7kse0wlykdi7xcbg2c, 78kzajya12k4sm0ebfl37d6ok, e64kcio0848bpw39eedbjyd5g, 7qgiqoaaarr6c2bs4yffqwju2",5209238967,59,"16, 43, 6, 24, 4, 22, 11, 5, 25, 7, 58, 1, 3, 14, 17, 19, 20, 21, 41, 53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720009175,1,34,16,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2024-09-14T15:12:57.380Z,2024-09-14T17:34:52Z,,,,,5209787353,197,790,5209326271,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5209326269,30,"ckhhpn9ppgvlrtubf7li3se09, 9ic9msq3tj4gx8wqa6wfwk50q, 7xc0qldxpidl07vij2wgu1sk5, 4gqnyyx3i92fayq6cxvekqwut, 4cbaoo2irqtme9goxuz6s3ey2, ayqy2vql1oumokqly9ahfrnx1, 6tckvu2rw7ns18dq7dim0sout, al9l7egkwbc0pv68zk42gegut, babnrlnt04mal0268p9dxas8a, 8inyievyp1az6q3dtlkpynf56, ssluj1c3ft94nkfs58dc8cq2, ajjw1ikceu3g39sy6dsf9kdg4, 8g4r9maz4invihjmdzpfxy0np, 6b8vhoisrfwkljhz4u7pduej8, 7hw1plnv7nvxnqpnfnxcxszpx, bbezbukg20q5b6kfnjuzhs55g, quh8tfvwi106toymoh38tbrp, 8jyfsal0lbf0ia92axymn2l1w, 823p7p1amx8lp445bo6bi01lg, c9u2w9ikckbrra8vln2ucbf9w",5209326277,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5209326275,130,8,5209326279,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5209787351,194,4gqnyyx3i92fayq6cxvekqwut,5209326273,59,"1, 22, 2, 27, 5, 6, 10, 12, 9, 8, 30, 4, 7, 13, 14, 16, 31, 38, 45, 17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720099859,2,32,1,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2024-09-14T16:00:58.374Z,2024-09-14T16:01:01Z,,,,,5209816623,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720099847,2,32,1,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2024-09-14T16:00:58.374Z,2024-09-14T18:43:19Z,,,,,5209816577,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720099885,3,1,1,0,0,b3r6d8ydtmtjckam6pku9y400,1,49.8,49.9,2024-09-14T16:00:58.375Z,2024-09-14T16:01:02Z,babnrlnt04mal0268p9dxas8a,G. Onugkha,,,5209816755,140,40.4,5209816765,279,S,5209816763,213,2.47,5209816753,56,Back,5209816757,141,61.4,5209816759,212,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720099923,4,1,1,0,4,b3r6d8ydtmtjckam6pku9y400,1,40.4,61.4,2024-09-14T16:01:02.660Z,2024-09-14T16:55:44Z,4gqnyyx3i92fayq6cxvekqwut,T. Delaney,,,5209817019,212,17.2,5209817023,213,3.81,5209817017,141,45.7,5209817015,140,27.6,5209817013,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720099967,5,1,1,0,6,b3r6d8ydtmtjckam6pku9y400,1,27.5,42.7,2024-09-14T16:01:05.019Z,2024-09-14T16:01:07Z,ayqy2vql1oumokqly9ahfrnx1,P. Hatzidiakos,,,5209817247,213,4.77,5209817241,140,28.6,5209817243,141,15.2,5209817237,56,Back,5209817245,212,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720100069,6,1,1,0,8,b3r6d8ydtmtjckam6pku9y400,1,28.6,15.2,2024-09-14T16:01:07.027Z,2024-09-14T16:01:14Z,4cbaoo2irqtme9goxuz6s3ey2,Gabriel Pereira,,,5209817867,56,Back,5209817875,212,17.5,5209817879,213,1.87,5209817871,141,39.8,5209817869,140,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720100121,7,1,1,0,16,b3r6d8ydtmtjckam6pku9y400,1,26.5,44.8,2024-09-14T16:01:14.476Z,2024-09-14T16:01:17Z,ayqy2vql1oumokqly9ahfrnx1,P. Hatzidiakos,,,5209818167,141,20.0,5209818165,140,22.2,5209818171,213,4.45,5209818169,212,17.5,5209818163,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720100199,8,1,1,0,19,b3r6d8ydtmtjckam6pku9y400,1,23.0,18.5,2024-09-14T16:01:17.555Z,2024-09-14T16:01:21Z,4cbaoo2irqtme9goxuz6s3ey2,Gabriel Pereira,,,5209818589,212,12.2,5209818593,213,5.29,5209818583,56,Back,5209818585,140,29.4,5209818587,141,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
