id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/8/value,qualifier/10/value,qualifier/11/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/16/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2802138483,2,34,16,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2025-04-17T11:06:53.394Z,2025-04-17T12:41:05Z,,,,,5657610083,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5657610081,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5657610075,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5657644211,197,12608,5657610079,130,4,5657610077,59,"1, 2, 38, 34, 13, 14, 8, 5, 45, 37, 10, 7, 11, 17, 18, 23, 24, 25, 26, 59",5657644209,194,1xjhud4hyekcg08nue1iosmsq,5657610073,30,"53y263xxfdf1itytiqhg3v6c5, 1xjhud4hyekcg08nue1iosmsq, 6xjbcik3a56d0vqy4vrq5eokp, 7uia9zlz3axnuc6usdn9u4kfe, 1ykl08k2c2kwxukw0gvslf6qd, 6ylzm57bvpufg3cenadtv7qhh, 22zuxw8lez5w4vjd8spzzysyc, 2anc9ug5nr25khmtcc4id2pxx, babnrlnt04mal0268p9dxas8a, 1hbucfyn2l3bxcw5r4zcb1dlg, 3ylgelxr6ssp42hidfnchqp2i, 1yqlkot5sh85ot3eemo67djv9, 7rtrg77m3xozgfhu3p2ihfey2, 94hei5v2f93ga4b0iwxxisbu1, 9yiz575rldkwu7icgqwk1qmdx, 6lap0wrnichfxxqm5kgtoflec, 1k9g7x8jwhzcpx8bc5ji7og0k, 9s85lkd1qi525r4horgbtostl, 6kdy9i4p9fgyn45d9avb66cd0, 6c2isptqoy4cq5c8rlr9s1roq",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802139565,1,34,16,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2025-04-17T11:12:17.872Z,2025-04-17T12:00:23Z,,,,,5657616121,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5657616123,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5657616113,30,"9lgnm175tw163z53b8bmiu5pm, bitixkzgt5p65rlo2bnllcf6x, eq7tnnzwq0g9q4eac0o9t9xey, 95nyhb9eanuobgbkdccyrwob8, 4n3t1p3zn5yzjv4w0clo3xvjd, bp2ellllifbtxgf0p8qlbm1nt, 9o10vhew3jar8tqnkabw0qoyx, dyzzo6n83rg4fpvmqqa69moes, akxcr1xe62dyl5jmh3ataq13o, 195o7hchielt14ic49r3k06sq, 73lwz4he5erpp25zi8crjvztg, 9qskwuil30g48xr3ax5p9j6j9, 96uzhuuez4q5pgxb566ryk53p, wnin2353js3p5rh4d7e2ymwa, vrzye4jqrafujmjw3wakjpxw, 5m27f84vvraap8bmfujt1qiok, dk9nlp77b6q38p751f8w3o8np, 6d8194j12jdzgqk5uwcemecr8, dacr7r8nr09ke3o8dhqmdrklw, xyt0wq20toh97811t65vu4no",5657644189,194,4n3t1p3zn5yzjv4w0clo3xvjd,5657643407,197,19904,5657616117,59,"1, 18, 30, 33, 24, 55, 19, 15, 11, 7, 10, 2, 3, 6, 12, 14, 16, 17, 26, 32",5657616119,130,4,5657616115,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802144541,2,32,1,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2025-04-17T12:00:08.429Z,2025-04-17T12:00:10Z,,,,,5657645459,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802144539,3,32,1,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2025-04-17T12:00:08.429Z,2025-04-17T16:17:27Z,,,,,5657645447,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802144547,4,1,1,0,1,c165yjiny1qnmfdvefxvflnkc,1,50.0,50.0,2025-04-17T12:00:09.430Z,2025-04-17T16:40:15Z,1hbucfyn2l3bxcw5r4zcb1dlg,C. Gammelgaard,,,5657645473,56,Back,5657645481,213,3.32,5657645483,279,S,5657645477,141,44.9,5657645475,140,32.1,5657645479,212,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802144551,5,1,1,0,4,c165yjiny1qnmfdvefxvflnkc,0,33.8,44.9,2025-04-17T12:00:12.517Z,2025-04-17T12:00:13Z,1ykl08k2c2kwxukw0gvslf6qd,S. Velkov,,,5657645503,1,,5657645501,213,0.57,5657645491,157,,5657645493,56,Center,5657645495,140,57.8,5657645499,212,29.8,5657645497,141,68.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802144555,3,1,1,0,6,cftj6g399tknheudaxsdpfdgb,0,46.0,27.4,2025-04-17T12:00:15.051Z,2025-04-17T16:40:32Z,195o7hchielt14ic49r3k06sq,Serginho,,,5657645559,286,,5657645555,233,6,5657645527,212,1.5,5657645529,213,0.00,5657645525,141,27.4,5657645523,140,47.4,5657645521,56,Back,5657645553,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802144559,6,74,1,0,6,c165yjiny1qnmfdvefxvflnkc,1,54.6,67.0,2025-04-17T12:00:15.052Z,2025-04-17T12:20:40Z,6xjbcik3a56d0vqy4vrq5eokp,D. Čolina,,,5657645551,285,,5657645549,56,Center,5657645561,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802156721,394,1,1,0,7,c165yjiny1qnmfdvefxvflnkc,1,47.1,75.3,2025-04-17T12:00:15.429Z,2025-04-17T12:55:10Z,7uia9zlz3axnuc6usdn9u4kfe,L. Hetemi,,,5657716515,141,71.8,5657716519,213,5.94,5657716517,212,7.1,5657716511,56,Center,5657716513,140,53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802144571,7,1,1,0,9,c165yjiny1qnmfdvefxvflnkc,1,45.0,51.2,2025-04-17T12:00:17.639Z,2025-04-17T12:00:21Z,2anc9ug5nr25khmtcc4id2pxx,H. Barry,,,5657645623,140,54.9,5657645621,56,Right,5657645627,212,28.7,5657645629,213,5.08,5657645625,141,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
