id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,qualifier/16/value,qualifier/17/value,qualifier/18/value
2802158819,1,34,16,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2025-04-17T13:11:23.562Z,2025-04-17T13:57:50Z,,,,,5657729061,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5657729067,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5657729065,130,10,5657729059,30,"1h31bvtbae4q0edlp0u672hn9, aswmi1pnkzkvkexp8ngief6j9, 4vmgmzg2004twoc39sk7zkzqh, cgkvw4q8ddcjl0po181upzwx6, 6my7s0ezr6jldotm1w6nk7b9x, 8xrco8qhcvplvc3wmcschoi22, 61sojkdsmaz9hbwaskt4rws15, 8og8nxbkcb63van4llvpkbe8l, 3sadup8mjwu4dc96wz6lmixn9, 3uytpqx0e0jr6zgbfl1znsm7e, 43q9ytkbmtk5y3tgv77v7pmg9, e9lrzsiy94y46h62rnawi3sgl, 7je01bs3a4q6c2gd02ee6da3u, bz77hr28a1yskifpuvzu8smsq, 6jgd09iosfe5mn3tputmjx2ad, 5f4qlbohzja204gxm9tkiekq2, 5lssweodhkyifhj333v6f6r6c, ca1b5707pdpx0ucug40ggnahh, 76av5tb8cxhmr0yh3pbmk8npw, 3l3v5wj4c7vtqqwu05b526590",5657786935,194,3sadup8mjwu4dc96wz6lmixn9,5657729069,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5657786937,197,26266,5657729063,59,"1, 2, 11, 19, 5, 14, 8, 6, 9, 31, 7, 3, 10, 15, 16, 22, 23, 29, 39, 40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802159211,1,34,16,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2025-04-17T13:13:43.844Z,2025-04-17T14:00:23Z,,,,,5657731497,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5657731495,130,2,5657731491,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5657731489,30,"dmxzug2enscx331w5vmdzn2s5, 6m5ftd7c68b2d4d2931xs5srt, 60z63hezwwosjnhvamcwxtre1, 2mawaijd9czgtd5jh9myk434l, effgiwtme6eu08o1ninlnqqqd, 8cox96ikk1k4c24f0y5ef45x, 8domjmewnw5h6b19vef8w0afp, 6uj3c69lgu6boblkjiuhoy6eh, 1329qhvvxpp6j4q5esh4n3hii, 54ipja7wrxji6kn8yw5uhr6ga, 606hufq6dapf3qxcgilbc8tt5, aeoqbtq15nt9ks5cx50vallhw, ag40mk09zc8tzbkr7dnnqumay, d1j2a0az2datf1l2efdzne7vu, o7nooyu95nab78ys541e3uuh, brsecgiiou4wcogoimzawyhp0, 3aoh34sqan7y34c2qa1d6xkyy, 3cdo7b8vwb5kzeoaxzqm6esk4, cyuoj9pesenese4i3pklv7d2h, 9yuyz4ci6wqikd6ckjstbt2i1",5657731493,59,"1, 27, 44, 28, 3, 4, 17, 6, 7, 26, 9, 5, 10, 11, 14, 16, 18, 24, 25, 90",5657731499,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5657789599,194,8cox96ikk1k4c24f0y5ef45x,5657787677,197,4650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169307,2,32,1,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2025-04-17T14:01:55.098Z,2025-04-17T16:51:38Z,,,,,5657791569,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169313,2,32,1,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2025-04-17T14:01:55.098Z,2025-04-17T14:01:58Z,,,,,5657791595,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169319,3,1,1,0,0,5rz9enoyknpg8ji78za5b82p0,1,50.0,50.0,2025-04-17T14:01:55.099Z,2025-04-17T14:02:32Z,43q9ytkbmtk5y3tgv77v7pmg9,M. Madsen,,,5657791641,141,50.3,5657791639,140,33.2,5657791647,279,S,5657791645,213,3.13,5657791637,56,Back,5657791643,212,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169337,4,1,1,0,3,5rz9enoyknpg8ji78za5b82p0,1,33.3,49.0,2025-04-17T14:01:58.502Z,2025-04-17T14:02:02Z,6my7s0ezr6jldotm1w6nk7b9x,F. Tingager,,,5657791769,56,Right,5657791773,141,20.6,5657791779,1,,5657791777,213,5.81,5657791775,212,42.1,5657791767,157,,5657791771,140,68.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169339,5,44,1,0,6,5rz9enoyknpg8ji78za5b82p0,1,66.1,27.4,2025-04-17T14:02:01.925Z,2025-04-17T14:53:15Z,3sadup8mjwu4dc96wz6lmixn9,P. Mortensen,,,5657791813,233,3,5657791787,286,,5657791785,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169341,3,44,1,0,6,9w3sjm5ml4sjr2v81oxzdrt8v,0,33.9,72.6,2025-04-17T14:02:01.926Z,2025-04-17T14:53:16Z,2mawaijd9czgtd5jh9myk434l,A. Rømer,,,5657791791,56,Back,5657791793,285,,5657791823,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169349,6,1,1,0,7,5rz9enoyknpg8ji78za5b82p0,0,69.4,20.7,2025-04-17T14:02:02.233Z,2025-04-17T14:02:09Z,3sadup8mjwu4dc96wz6lmixn9,P. Mortensen,,,5657791845,3,,5657791847,56,Center,5657791851,141,50.0,5657791855,213,1.13,5657791849,140,78.4,5657791853,212,22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169369,4,1,1,0,8,9w3sjm5ml4sjr2v81oxzdrt8v,1,18.6,46.1,2025-04-17T14:02:03.947Z,2025-04-17T14:02:05Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5657791967,213,3.00,5657791965,212,9.1,5657791957,3,,5657791961,140,10.0,5657791959,56,Back,5657791963,141,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169371,5,52,1,0,10,9w3sjm5ml4sjr2v81oxzdrt8v,1,10.0,48.0,2025-04-17T14:02:05.818Z,2025-04-17T17:16:17Z,dmxzug2enscx331w5vmdzn2s5,P. Izzo,,,5658014397,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169411,6,1,1,0,12,9w3sjm5ml4sjr2v81oxzdrt8v,1,12.5,44.9,2025-04-17T14:02:07.392Z,2025-04-17T14:02:15Z,dmxzug2enscx331w5vmdzn2s5,P. Izzo,,,5657792183,140,22.8,5657792189,213,5.62,5657792179,123,,5657792181,56,Back,5657792187,212,13.8,5657792185,141,32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169419,7,1,1,0,21,9w3sjm5ml4sjr2v81oxzdrt8v,0,26.8,33.3,2025-04-17T14:02:16.331Z,2025-04-17T14:02:17Z,effgiwtme6eu08o1ninlnqqqd,D. Høegh,,,5657792235,141,32.1,5657792229,155,,5657792237,212,47.3,5657792231,56,Center,5657792239,213,6.27,5657792233,140,71.8,5657792241,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169423,7,12,1,0,22,5rz9enoyknpg8ji78za5b82p0,1,28.8,71.8,2025-04-17T14:02:17.366Z,2025-04-17T14:02:18Z,6my7s0ezr6jldotm1w6nk7b9x,F. Tingager,,,5657792287,15,,5657792265,140,35.7,5657792269,212,7.3,5657792263,56,Back,5657792273,213,6.19,5657792267,141,70.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169439,8,1,1,0,23,9w3sjm5ml4sjr2v81oxzdrt8v,1,64.4,31.6,2025-04-17T14:02:18.331Z,2025-04-17T14:02:22Z,2mawaijd9czgtd5jh9myk434l,A. Rømer,,,5657792349,56,Center,5657792353,141,36.7,5657792351,140,80.0,5657792347,3,,5657792357,213,0.21,5657792355,212,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169447,9,1,1,0,26,9w3sjm5ml4sjr2v81oxzdrt8v,1,76.4,28.6,2025-04-17T14:02:21.915Z,2025-04-17T14:02:23Z,1329qhvvxpp6j4q5esh4n3hii,M. Touré,,,5657792391,213,2.57,5657792389,212,5.1,5657792385,140,72.3,5657792383,56,Center,5657792387,141,32.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169467,10,1,1,0,28,9w3sjm5ml4sjr2v81oxzdrt8v,1,72.8,31.5,2025-04-17T14:02:23.835Z,2025-04-17T14:02:28Z,606hufq6dapf3qxcgilbc8tt5,S. Nordli,,,5657792565,141,11.9,5657792569,213,5.55,5657792563,140,87.0,5657792567,212,20.0,5657792561,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169473,11,1,1,0,33,9w3sjm5ml4sjr2v81oxzdrt8v,1,87.1,10.2,2025-04-17T14:02:28.555Z,2025-04-17T14:02:29Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5657792607,56,Right,5657792609,140,73.0,5657792611,141,10.8,5657792615,213,3.11,5657792613,212,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169481,12,1,1,0,34,9w3sjm5ml4sjr2v81oxzdrt8v,1,72.9,10.8,2025-04-17T14:02:29.531Z,2025-04-17T14:02:31Z,8domjmewnw5h6b19vef8w0afp,M. Greve,,,5657792693,140,63.7,5657792699,213,2.91,5657792695,141,14.1,5657792697,212,9.9,5657792691,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169497,13,1,1,0,36,9w3sjm5ml4sjr2v81oxzdrt8v,1,64.4,11.7,2025-04-17T14:02:31.835Z,2025-04-17T14:02:33Z,effgiwtme6eu08o1ninlnqqqd,D. Høegh,,,5657792789,213,5.79,5657792785,141,3.9,5657792783,140,73.7,5657792787,212,11.1,5657792781,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169505,14,1,1,0,38,9w3sjm5ml4sjr2v81oxzdrt8v,1,73.8,4.3,2025-04-17T14:02:33.707Z,2025-04-17T14:02:36Z,8domjmewnw5h6b19vef8w0afp,M. Greve,,,5657792839,213,1.57,5657792835,141,16.8,5657792833,140,73.8,5657792837,212,8.5,5657792831,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169507,15,1,1,0,40,9w3sjm5ml4sjr2v81oxzdrt8v,1,70.0,18.2,2025-04-17T14:02:36.090Z,2025-04-17T14:02:37Z,2mawaijd9czgtd5jh9myk434l,A. Rømer,,,5657792859,212,6.6,5657792853,56,Center,5657792855,140,72.0,5657792857,141,27.4,5657792861,213,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802169513,16,1,1,0,42,9w3sjm5ml4sjr2v81oxzdrt8v,0,72.0,27.4,2025-04-17T14:02:37.787Z,2025-04-17T14:02:38Z,6uj3c69lgu6boblkjiuhoy6eh,J. Björkengren,,,5657792887,213,6.03,5657792885,212,6.9,5657792883,141,24.8,5657792881,140,78.4,5657792879,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
