id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/10/value,qualifier/13/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value
2800544941,1,34,16,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2025-04-13T11:11:41.066Z,2025-04-13T12:08:12Z,,,,,5648743907,194,5f3wfx327z9hef9k9l37c90wl,5648743893,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5648743901,130,4,5648907397,197,19904,5648743897,59,"1, 18, 30, 13, 24, 55, 19, 12, 11, 7, 27, 6, 10, 14, 15, 17, 26, 32, 33, 16",5648743889,30,"9lgnm175tw163z53b8bmiu5pm, bitixkzgt5p65rlo2bnllcf6x, eq7tnnzwq0g9q4eac0o9t9xey, 5f3wfx327z9hef9k9l37c90wl, 4n3t1p3zn5yzjv4w0clo3xvjd, bp2ellllifbtxgf0p8qlbm1nt, 9o10vhew3jar8tqnkabw0qoyx, vrzye4jqrafujmjw3wakjpxw, akxcr1xe62dyl5jmh3ataq13o, 195o7hchielt14ic49r3k06sq, c9kn2pfftaimeqknbu9p8neok, wnin2353js3p5rh4d7e2ymwa, 73lwz4he5erpp25zi8crjvztg, 5m27f84vvraap8bmfujt1qiok, dyzzo6n83rg4fpvmqqa69moes, 6d8194j12jdzgqk5uwcemecr8, dacr7r8nr09ke3o8dhqmdrklw, xyt0wq20toh97811t65vu4no, 95nyhb9eanuobgbkdccyrwob8, dk9nlp77b6q38p751f8w3o8np",5648743903,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5648743911,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800544955,1,34,16,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2025-04-13T11:11:43.708Z,2025-04-13T11:58:01Z,,,,,5648744011,59,"1, 3, 19, 6, 25, 4, 21, 20, 23, 17, 10, 2, 7, 8, 9, 14, 30, 36, 41",5648744017,194,b2492j7qzdo7g3ysxz6gq4g5x,5648744019,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5648744015,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5648744013,130,9,5648744007,30,"b2492j7qzdo7g3ysxz6gq4g5x, 9zhmwx3g0m6xi2oh57g4z35nu, 7h39w16zvj1lbfb0rqr7kvt1x, bplpqy3ierwlm12d1f3prue7e, 7zaveckhldl5rieo5ddsqtt2i, 4qo7eu3xwhkpssbuyk4n70fe1, lioz4hr2umpne2bwar18qa96, 6wrch4yhbs6utcc0doguj90q, n2annzbap7hll02zo2v0ccgk, 349g9rdismqpb1aarjp011bd, bb8q9cgqzw9n2tmkl8s3bth0q, 2513579m13glsous1p82fbjzd, 242y4x99xvpu9zvln5vxoepjp, avtms6bcr8i7qdacuv225evo5, 6f6x6f9iybgp9pmkqati2otn8, 8ngloyr6r0m71p8kgpfe69bvu, d8nahz092xxj6muqc24hocp3o, 89xit2bryc0g4yhqina7akjkk, lmrff8mviimc33yyrpjzr2tw",5648744009,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5648908531,197,26725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800580081,2,32,1,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2025-04-13T12:00:07.724Z,2025-04-13T15:14:18Z,,,,,5648919705,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800580089,2,32,1,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2025-04-13T12:00:07.724Z,2025-04-13T12:00:10Z,,,,,5648919737,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800580097,3,1,1,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,50.2,49.9,2025-04-13T12:00:07.832Z,2025-04-13T12:00:10Z,n2annzbap7hll02zo2v0ccgk,T. Adamsen,,,5648919781,141,45.8,5648919909,278,,5648919789,279,S,5648919785,213,5.69,5648919779,140,54.1,5648919777,56,Center,5648919783,212,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800580141,4,1,1,0,1,ahnt9ejgwj58ul8auzdvi3czf,1,53.9,44.6,2025-04-13T12:00:09.559Z,2025-04-13T12:00:11Z,bb8q9cgqzw9n2tmkl8s3bth0q,Y. Bakiz,,,5648920001,212,31.1,5648919997,140,64.6,5648919999,141,2.0,5648919995,56,Right,5648920003,213,5.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800580183,5,1,1,0,3,ahnt9ejgwj58ul8auzdvi3czf,1,63.3,5.6,2025-04-13T12:00:11.368Z,2025-04-13T12:00:13Z,9zhmwx3g0m6xi2oh57g4z35nu,R. Østrøm,,,5648920185,213,2.71,5648920183,212,13.6,5648920177,56,Right,5648920179,140,51.5,5648920181,141,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800580191,6,1,1,0,6,ahnt9ejgwj58ul8auzdvi3czf,1,52.0,14.8,2025-04-13T12:00:13.768Z,2025-04-13T15:23:18Z,349g9rdismqpb1aarjp011bd,C. McCowatt,,,5648920213,141,27.2,5648920211,140,48.4,5648920209,56,Back,5648920215,212,9.2,5648920217,213,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800580229,7,1,1,0,6,ahnt9ejgwj58ul8auzdvi3czf,1,48.4,25.2,2025-04-13T12:00:14.391Z,2025-04-13T15:23:23Z,bplpqy3ierwlm12d1f3prue7e,P. Mattsson,,,5648920407,212,22.0,5648920409,213,2.74,5648920405,141,37.8,5648920401,56,Back,5648920403,140,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800580277,8,1,1,0,9,ahnt9ejgwj58ul8auzdvi3czf,1,29.0,26.3,2025-04-13T12:00:16.935Z,2025-04-13T12:00:21Z,7zaveckhldl5rieo5ddsqtt2i,P. Rödin,,,5648920651,140,58.4,5648920647,56,Right,5648920655,212,34.2,5648920659,1,,5648920657,213,5.84,5648920653,141,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
