id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/11/value,qualifier/12/value,qualifier/17/value,qualifier/14/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/16/value
2702819523,1,34,16,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2024-07-22T15:58:48.048Z,2024-07-22T17:05:56Z,,,,,5114634801,197,6291,5114634799,194,deyq3zqd0vwc821ngqldxqor9,5114595739,30,"15fo180vixn0lb65fujttit3p, 4bstdc3zla1sn85ev3bcmw1lg, 2sgey1g99rmupumezjo9rkxcl, 5is9bcj143orulo4biogwxzl6, 5q5ph311bi310zt1e45u7i7dh, c36ffo382u9flu5foebt4di39, bpw4cd5vmghjhelb3uxupmqjt, d854rlweyk5wq6d2veyviukq2, deyq3zqd0vwc821ngqldxqor9, 6d0lxiep13vdv32bdb0xwyrys, 9pnirb3qt48zeui3su8cvu1ka, cl3w811fge6189cbclaslb26t, 5kghds186740jygx97bihh6mt, 6v4ykv7aw86ql22oksh682kus, 6ul2nma4j0a7e2li6wyyrpal1, 839pm7rmjp6q1bt52f7ek9vys, 6zhj070huc77sl5o5bx6ey5g4, 79b0b6eqck5vn4b3fawxsaok, 6miatayfy07pf4og7qc7c7pqs, cty7nsrs5yn785m330c2gbwq2",5114595743,59,"32, 24, 20, 5, 6, 23, 21, 13, 26, 14, 17, 1, 3, 7, 12, 16, 19, 22, 27, 29",5114595749,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5114595741,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5114595745,130,11,5114595747,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702819823,1,34,16,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2024-07-22T16:03:59.518Z,2024-07-22T17:01:35Z,,,,,5114597355,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5114597343,30,"ckhhpn9ppgvlrtubf7li3se09, 6b8vhoisrfwkljhz4u7pduej8, 2ubad2kxha6n1c8c8sr2ogmad, rq6npjy37kolscu8lrj4r2dx, 7xc0qldxpidl07vij2wgu1sk5, ajjw1ikceu3g39sy6dsf9kdg4, 8g4r9maz4invihjmdzpfxy0np, e81dfbtza1g8v3lozf39x3f85, euur9yvhgrieu4kl0vdkh244q, aahyom322jdc6f21960ycuzth, 6tckvu2rw7ns18dq7dim0sout, w0wt7gjkdddn63a4258j8frp, 8mcb1hiuk9rzf48cx3vj5i3th, 8inyievyp1az6q3dtlkpynf56, al9l7egkwbc0pv68zk42gegut, 31j3z9eqoxl2qlgncgdiz1zpw, quh8tfvwi106toymoh38tbrp, 8jyfsal0lbf0ia92axymn2l1w, 823p7p1amx8lp445bo6bi01lg, c9u2w9ikckbrra8vln2ucbf9w",5114597867,194,8g4r9maz4invihjmdzpfxy0np,5114597351,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5114597349,130,4,5114597353,197,20274,5114597345,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5114597347,59,"1, 13, 24, 33, 2, 4, 7, 9, 18, 11, 10, 3, 6, 8, 12, 19, 31, 38, 45, 47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702826577,2,32,1,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2024-07-22T17:01:05.472Z,2024-07-22T17:01:05Z,,,,,5114636311,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702826583,2,32,1,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2024-07-22T17:01:05.472Z,2024-07-22T19:40:15Z,,,,,5114636359,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702826587,3,1,1,0,0,b3r6d8ydtmtjckam6pku9y400,1,50.1,49.7,2024-07-22T17:01:05.473Z,2024-07-22T19:40:59Z,euur9yvhgrieu4kl0vdkh244q,O. Óskarsson,,,5114636379,212,2.4,5114636381,213,0.97,5114636373,56,Center,5114894607,278,,5114636383,279,S,5114636377,141,52.6,5114636375,140,51.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702826591,4,1,1,0,2,b3r6d8ydtmtjckam6pku9y400,1,48.7,53.0,2024-07-22T17:01:08.003Z,2024-07-22T17:01:10Z,8g4r9maz4invihjmdzpfxy0np,V. Claesson,,,5114636405,140,44.8,5114636411,213,1.78,5114636407,141,81.5,5114636403,56,Back,5114636409,212,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702826597,5,1,1,0,5,b3r6d8ydtmtjckam6pku9y400,1,45.5,77.1,2024-07-22T17:01:10.579Z,2024-07-22T17:01:13Z,2ubad2kxha6n1c8c8sr2ogmad,B. Meling,,,5114636427,56,Back,5114636435,213,4.03,5114636431,141,60.9,5114636429,140,37.0,5114636433,212,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702826611,6,1,1,0,7,b3r6d8ydtmtjckam6pku9y400,1,36.4,56.6,2024-07-22T17:01:13.188Z,2024-07-22T17:01:17Z,ajjw1ikceu3g39sy6dsf9kdg4,M. Garan'anga,,,5114636545,212,19.2,5114636541,140,39.1,5114636547,213,4.86,5114636539,56,Back,5114636543,141,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702826625,7,1,1,0,12,b3r6d8ydtmtjckam6pku9y400,1,48.8,36.8,2024-07-22T17:01:17.684Z,2024-07-22T17:01:19Z,7xc0qldxpidl07vij2wgu1sk5,K. Diks,,,5114636603,56,Center,5114636609,212,15.5,5114636611,213,1.35,5114636605,140,52.1,5114636607,141,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702826633,8,1,1,0,14,b3r6d8ydtmtjckam6pku9y400,1,56.1,62.0,2024-07-22T17:01:19.764Z,2024-07-22T17:01:22Z,ajjw1ikceu3g39sy6dsf9kdg4,M. Garan'anga,,,5114636649,212,20.5,5114636651,213,1.48,5114636643,56,Left,5114636647,141,92.0,5114636645,140,57.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702826637,9,1,1,0,16,b3r6d8ydtmtjckam6pku9y400,0,59.4,92.0,2024-07-22T17:01:22.307Z,2024-07-22T17:01:23Z,2ubad2kxha6n1c8c8sr2ogmad,B. Meling,,,5114636673,141,73.2,5114636667,155,,5114636671,140,79.4,5114636675,212,24.6,5114636669,56,Center,5114636677,213,5.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702826641,3,1,1,0,18,anga7587r1zv4ey71ge9zxol3,0,25.4,31.4,2024-07-22T17:01:24.270Z,2024-07-22T17:01:24Z,c36ffo382u9flu5foebt4di39,P. Gregor,,,5114636695,140,33.0,5114636691,3,,5114636697,141,31.3,5114636701,213,6.27,5114636693,56,Back,5114636699,212,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702826655,10,2,1,0,19,b3r6d8ydtmtjckam6pku9y400,1,75.1,71.8,2024-07-22T17:01:25.299Z,2024-07-22T19:41:45Z,8g4r9maz4invihjmdzpfxy0np,V. Claesson,,,5114636805,7,e81dfbtza1g8v3lozf39x3f85,5114636771,140,82.2,5114636775,141,74.6,5114636807,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702826713,5,1,1,0,44,anga7587r1zv4ey71ge9zxol3,1,24.1,34.4,2024-07-22T17:01:49.645Z,2024-07-22T17:01:53Z,5q5ph311bi310zt1e45u7i7dh,A. Bjelland,,,5114637105,212,17.9,5114637101,140,20.5,5114637097,241,,5114637107,213,1.78,5114637095,5,,5114637103,141,60.2,5114637099,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702826719,6,1,1,0,47,anga7587r1zv4ey71ge9zxol3,1,22.2,61.1,2024-07-22T17:01:52.941Z,2024-07-22T17:01:55Z,5is9bcj143orulo4biogwxzl6,L. Lissens,,,5114637159,141,90.3,5114637163,213,1.15,5114637157,140,30.7,5114637161,212,21.8,5114637155,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702826725,7,1,1,0,50,anga7587r1zv4ey71ge9zxol3,1,30.7,89.0,2024-07-22T17:01:55.629Z,2024-07-22T17:01:58Z,2sgey1g99rmupumezjo9rkxcl,K. Finnsson,,,5114637197,140,13.0,5114637195,56,Back,5114637203,213,3.73,5114637199,141,70.6,5114637201,212,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
