id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/12/value,qualifier/16/value
2814144839,1,34,16,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2025-05-12T15:57:21.934Z,2025-05-12T20:23:04Z,,,,,5723716317,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5723842871,194,1xjhud4hyekcg08nue1iosmsq,5723716311,59,"1, 59, 38, 34, 13, 14, 37, 2, 45, 18, 17, 3, 7, 10, 11, 22, 24, 25, 26, 29",5723716315,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5723716313,130,8,5723716307,30,"53y263xxfdf1itytiqhg3v6c5, 6c2isptqoy4cq5c8rlr9s1roq, 6xjbcik3a56d0vqy4vrq5eokp, 7uia9zlz3axnuc6usdn9u4kfe, 1ykl08k2c2kwxukw0gvslf6qd, 6ylzm57bvpufg3cenadtv7qhh, 1hbucfyn2l3bxcw5r4zcb1dlg, 1xjhud4hyekcg08nue1iosmsq, babnrlnt04mal0268p9dxas8a, 9yiz575rldkwu7icgqwk1qmdx, 94hei5v2f93ga4b0iwxxisbu1, 32ohywx3gs0u6bqm4z59wxmmt, 1yqlkot5sh85ot3eemo67djv9, 3ylgelxr6ssp42hidfnchqp2i, 7rtrg77m3xozgfhu3p2ihfey2, ajk0mbprro09pccglih9y740k, 1k9g7x8jwhzcpx8bc5ji7og0k, 9s85lkd1qi525r4horgbtostl, 6kdy9i4p9fgyn45d9avb66cd0, chsirsawrhuh787kofklnjmqd",5723850943,197,29826,5723716309,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814145529,1,34,16,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2025-05-12T15:59:52.524Z,2025-05-12T17:06:13Z,,,,,5723720459,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5723842605,197,6292,5723720449,30,"52vwj2s29n7wngablotd7pboq, 8822s8ns7oyvjqade4oaxzg0l, 8ydi45wh0naevno6aos78vi09, 5kghds186740jygx97bihh6mt, cw6s5hf1tytvb98vjuosz9r6d, 8ynqwlysks0dvn46ja7zq5vit, bpw4cd5vmghjhelb3uxupmqjt, 79b0b6eqck5vn4b3fawxsaok, 6d0lxiep13vdv32bdb0xwyrys, deyq3zqd0vwc821ngqldxqor9, d854rlweyk5wq6d2veyviukq2, 2wwpfsducpmryacr17y8k70iy, 58o5ram4bf58357786j9jr7kk, 9pnirb3qt48zeui3su8cvu1ka, 8gdfn7j6xac9p4jh94hk40jdg, 6zhj070huc77sl5o5bx6ey5g4, 4bstdc3zla1sn85ev3bcmw1lg, cty7nsrs5yn785m330c2gbwq2, 15fo180vixn0lb65fujttit3p, 9kxm9u9x44fkygeh5xpag7pqs",5723720453,59,"40, 2, 20, 3, 6, 23, 21, 22, 14, 26, 13, 4, 15, 17, 18, 19, 24, 29, 32, 35",5723840933,194,bpw4cd5vmghjhelb3uxupmqjt,5723720457,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5723720451,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5723720455,130,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814167001,2,32,1,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2025-05-12T17:00:25.108Z,2025-05-12T17:00:27Z,,,,,5723845053,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814166995,3,32,1,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2025-05-12T17:00:25.108Z,2025-05-12T20:23:20Z,,,,,5723845033,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814167023,4,1,1,0,0,c165yjiny1qnmfdvefxvflnkc,1,50.3,49.9,2025-05-12T17:00:25.109Z,2025-05-12T17:00:29Z,94hei5v2f93ga4b0iwxxisbu1,D. Emmanouilidis,,,5723845139,213,2.86,5723845137,212,19.0,5723845135,141,57.8,5723845131,56,Back,5723845133,140,32.9,5723845141,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814167033,5,1,1,0,3,c165yjiny1qnmfdvefxvflnkc,0,32.1,58.1,2025-05-12T17:00:28.935Z,2025-05-12T17:00:31Z,6ylzm57bvpufg3cenadtv7qhh,D. van Bruggen,,,5723845203,157,,5723845211,212,51.5,5723845215,1,,5723845205,56,Right,5723845207,140,74.7,5723845213,213,5.77,5723845209,141,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814167047,3,1,1,0,7,anga7587r1zv4ey71ge9zxol3,0,25.4,79.7,2025-05-12T17:00:32.152Z,2025-05-12T17:00:33Z,5kghds186740jygx97bihh6mt,B. Hämäläinen,,,5723845267,3,,5723845273,141,89.7,5723845271,140,32.8,5723845277,213,0.72,5723845275,212,10.3,5723845269,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814167055,6,61,1,0,10,c165yjiny1qnmfdvefxvflnkc,0,67.9,10.6,2025-05-12T17:00:35.216Z,2025-05-12T17:17:33Z,6c2isptqoy4cq5c8rlr9s1roq,M. Elvius,,,5723845323,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814167077,4,1,1,0,10,anga7587r1zv4ey71ge9zxol3,1,25.4,91.6,2025-05-12T17:00:35.278Z,2025-05-12T17:00:37Z,8ydi45wh0naevno6aos78vi09,L. Klassen,,,5723845439,56,Back,5723845443,141,85.2,5723845447,213,5.67,5723845445,212,7.6,5723845441,140,31.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814167093,6,1,1,0,11,anga7587r1zv4ey71ge9zxol3,1,31.3,85.2,2025-05-12T17:00:36.366Z,2025-05-12T20:24:01Z,d854rlweyk5wq6d2veyviukq2,C. Winther,,,5723845509,141,95.6,5723845511,212,7.1,5723845513,213,1.59,5723845507,140,31.2,5723845505,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
