id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/15/value,qualifier/17/value
2710517065,1,34,16,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2024-08-18T15:17:23.667Z,2024-08-18T16:00:25Z,,,,,5157153429,30,"a2l4ep71txn2edtjjcgewai5m, de0dokhb6u6hts2hu5aupgiga, dq2eqqywinhsh9ijg8amqyp78, 6v1kpakd3t0jhnoh1eh75ev4k, hpzxgnwobdttfgd04dykf26t, 7yst1mucy7jynmpzu1thox2i, 1arzd8hqj73byhduozscqz5uy, 8mkrj5bnkyhx8kutc4656cy96, 5lz41celw55rz3zh8pohclw5w, 8bi1tlz62rjwyak4pnnzgp562, 3q4tnk1z46lop4rbdpjtfoc2c, bcdp9e3dezuaybm8ndrsanbx0, rv6r0bwbl75er38wklyfpsr9, 974s3rwvb2ls1k1no4hlaz8ph, 5hw5sfiqhzg7mnghdp52f7fqi, ejixz16616b7krftxyzv9yiac, cul6phe87idi5dn1hsfywxhwp, brinkgys7026490q3ixx6h9uc, 5vrsflxiv2dgfa8199a2qxsve, ezi8426ran0bffeyfvloc2ihg",5157153441,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5157153433,59,"1, 20, 3, 16, 2, 4, 11, 6, 10, 17, 8, 5, 9, 15, 19, 21, 22, 24, 27, 37",5157373359,197,1731,5157153439,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5157153435,130,8,5157370479,194,1arzd8hqj73byhduozscqz5uy,5157153431,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710518597,1,34,16,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2024-08-18T15:18:40.165Z,2024-08-18T16:01:24Z,,,,,5157162045,59,"1, 2, 37, 4, 32, 31, 35, 10, 36, 28, 11, 5, 8, 9, 16, 18, 22, 24, 41, 99",5157162047,130,17,5157378391,194,etz3rjq7chhaomst5u28nnff9,5157368371,197,5111,5157162041,30,"4ilnnpfgjfz35lni9ppzd93v9, hsobzlp177f9755mpsi7szmy, 1gr0k94d0nh7msa32f6728aok, bnar4f48vnx4oaz2lzch48es5, 506kxojakimt5s0v2c4q6b33e, 6anvl82jyio52wo87cbxdp4np, 2xp7fbcl6a4nua9jpm7b4k1sk, etz3rjq7chhaomst5u28nnff9, 7z1pv1wezn5rydamnknklv2ay, 53nd6a4o02ebb0w2s12prijje, 9auqrrixu34cgkpe8trlkaoh6, bmkq3hz1z7lsji7wgr3j8978p, 8domjmewnw5h6b19vef8w0afp, 53tbs0tyag4c741oqro5t7b2t, 3hi7nroqhsvj8elv8nd9a8ted, cft1n7qn5juaedelpvqwo2f3d, 94didhw8o1blxonn4amoahcr9, 2tthm6h5o033dz440e476rhbe, 17e766t2zpr5pmshhww0iu4us, 22760086vtvx2xulry32q21hw",5157162051,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5157162043,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5157162049,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710559219,2,32,1,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2024-08-18T16:02:32.904Z,2024-08-18T16:02:33Z,,,,,5157390399,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710559231,2,32,1,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2024-08-18T16:02:32.904Z,2024-08-18T19:01:35Z,,,,,5157390431,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710559253,3,1,1,0,0,9qsmopgutr7ut5g6workk8w4i,1,49.7,50.0,2024-08-18T16:02:32.905Z,2024-08-18T17:01:13Z,7z1pv1wezn5rydamnknklv2ay,M. Kvistgaarden,,,5157390551,212,3.0,5157390549,141,48.2,5157390553,213,5.86,5157390557,278,,5157390545,56,Center,5157390547,140,52.3,5157390555,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710559255,4,1,1,0,1,9qsmopgutr7ut5g6workk8w4i,1,52.3,48.2,2024-08-18T16:02:34.419Z,2024-08-18T16:02:35Z,etz3rjq7chhaomst5u28nnff9,D. Wass,,,5157390579,141,46.9,5157390583,213,3.20,5157390581,212,16.0,5157390577,140,37.1,5157390575,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710559319,5,1,1,0,2,9qsmopgutr7ut5g6workk8w4i,1,37.1,46.9,2024-08-18T16:02:35.890Z,2024-08-18T16:02:40Z,506kxojakimt5s0v2c4q6b33e,F. Alves,,,5157390873,141,30.3,5157390869,56,Back,5157390871,140,41.6,5157390875,212,12.2,5157390877,213,5.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710559353,6,1,1,0,7,9qsmopgutr7ut5g6workk8w4i,1,40.4,31.9,2024-08-18T16:02:40.370Z,2024-08-18T16:02:42Z,6anvl82jyio52wo87cbxdp4np,S. Klaiber,,,5157391069,212,12.7,5157391071,213,2.19,5157391063,56,Back,5157391067,141,47.2,5157391065,140,33.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710559451,7,1,1,0,9,9qsmopgutr7ut5g6workk8w4i,1,32.7,50.3,2024-08-18T16:02:42.578Z,2024-08-18T16:02:47Z,506kxojakimt5s0v2c4q6b33e,F. Alves,,,5157391535,140,22.1,5157391537,141,54.8,5157391541,213,2.87,5157391533,56,Back,5157391539,212,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710559475,8,1,1,0,14,9qsmopgutr7ut5g6workk8w4i,1,22.1,54.8,2024-08-18T16:02:47.250Z,2024-08-18T16:02:49Z,4ilnnpfgjfz35lni9ppzd93v9,P. Pentz,,,5157391711,141,18.0,5157391705,155,,5157391713,212,30.4,5157391707,56,Back,5157391715,213,5.32,5157391709,140,38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710559545,9,1,1,0,16,9qsmopgutr7ut5g6workk8w4i,1,38.2,17.4,2024-08-18T16:02:49.411Z,2024-08-18T16:02:53Z,53nd6a4o02ebb0w2s12prijje,Y. Suzuki,,,5157392035,140,27.6,5157392039,141,19.1,5157392045,212,11.2,5157392033,56,Back,5157392053,213,3.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710559523,3,83,1,0,19,36g6ifzjliec1jqnbtf7yesme,0,72.7,95.9,2024-08-18T16:02:52.452Z,2024-08-18T16:02:56Z,3q4tnk1z46lop4rbdpjtfoc2c,M. Widell,,,5157392303,399,6anvl82jyio52wo87cbxdp4np,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710559561,10,1,1,0,20,9qsmopgutr7ut5g6workk8w4i,0,24.3,4.1,2024-08-18T16:02:53.458Z,2024-08-18T16:02:54Z,6anvl82jyio52wo87cbxdp4np,S. Klaiber,,,5157392159,213,6.17,5157392147,56,Right,5157392161,1,,5157392151,140,54.5,5157392143,157,,5157392157,212,31.9,5157392155,141,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710559639,4,5,1,0,21,36g6ifzjliec1jqnbtf7yesme,1,50.1,101.4,2024-08-18T16:02:54.211Z,2024-08-18T16:24:22Z,3q4tnk1z46lop4rbdpjtfoc2c,M. Widell,,,5157392575,56,Left,5157392589,233,11,5157392579,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710559565,11,5,1,0,21,9qsmopgutr7ut5g6workk8w4i,0,49.9,-1.4,2024-08-18T16:02:54.211Z,2024-08-18T16:24:22Z,6anvl82jyio52wo87cbxdp4np,S. Klaiber,,,5157392619,233,4,5157392177,56,Back,5157392179,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710559665,5,1,1,0,26,36g6ifzjliec1jqnbtf7yesme,1,57.7,100.0,2024-08-18T16:02:59.299Z,2024-08-18T16:03:01Z,dq2eqqywinhsh9ijg8amqyp78,S. Otoa,,,5157392757,213,4.30,5157392743,107,,5157392749,141,87.7,5157392745,56,Left,5157392747,140,53.8,5157392753,212,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710559683,6,1,1,0,28,36g6ifzjliec1jqnbtf7yesme,1,53.1,87.4,2024-08-18T16:03:01.075Z,2024-08-18T16:03:02Z,6v1kpakd3t0jhnoh1eh75ev4k,K. Davidsen,,,5157392855,141,79.2,5157392857,212,18.5,5157392851,56,Back,5157392853,140,36.3,5157392859,213,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710559743,7,1,1,0,29,36g6ifzjliec1jqnbtf7yesme,1,36.3,74.3,2024-08-18T16:03:02.259Z,2024-08-18T16:03:05Z,7yst1mucy7jynmpzu1thox2i,L. Kramer,,,5157393119,213,4.45,5157393111,56,Back,5157393113,140,30.2,5157393117,212,25.0,5157393115,141,38.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710559767,8,1,1,0,32,36g6ifzjliec1jqnbtf7yesme,1,25.7,32.4,2024-08-18T16:03:05.315Z,2024-08-18T16:03:07Z,hpzxgnwobdttfgd04dykf26t,O. Diakhité,,,5157393253,140,30.8,5157393259,213,5.01,5157393251,56,Back,5157393255,141,6.3,5157393257,212,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710559821,9,3,1,0,34,36g6ifzjliec1jqnbtf7yesme,1,33.3,5.4,2024-08-18T16:03:07.475Z,2024-08-18T18:39:29Z,de0dokhb6u6hts2hu5aupgiga,K. Jørgensen,,,5157393779,285,,5157393601,233,12,5158146169,465,,5157393515,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710559799,12,45,1,0,34,9qsmopgutr7ut5g6workk8w4i,0,66.7,94.6,2024-08-18T16:03:07.475Z,2024-08-18T16:03:14Z,1gr0k94d0nh7msa32f6728aok,C. Bischoff,,,5157393663,233,9,5157393827,286,,5157393437,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710559835,10,50,1,0,37,36g6ifzjliec1jqnbtf7yesme,1,37.4,4.9,2024-08-18T16:03:10.210Z,2024-08-18T19:43:04Z,de0dokhb6u6hts2hu5aupgiga,K. Jørgensen,,,5157393589,56,Back,5157393591,286,,5158495369,233,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710559883,13,7,1,0,37,9qsmopgutr7ut5g6workk8w4i,1,62.6,95.1,2024-08-18T16:03:10.211Z,2024-08-18T18:39:37Z,1gr0k94d0nh7msa32f6728aok,C. Bischoff,,,5157393785,56,Left,5157393787,285,,5157393853,233,10,5158146847,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710559933,15,1,1,0,40,9qsmopgutr7ut5g6workk8w4i,1,62.2,93.9,2024-08-18T16:03:13.250Z,2024-08-18T16:03:16Z,2xp7fbcl6a4nua9jpm7b4k1sk,N. Nartey,,,5157394055,141,95.7,5157394057,212,10.3,5157394051,56,Left,5157394053,140,71.9,5157394059,213,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710691705,1066,3,1,0,42,9qsmopgutr7ut5g6workk8w4i,0,74.7,94.5,2024-08-18T16:03:15.444Z,2024-08-18T18:39:53Z,1gr0k94d0nh7msa32f6728aok,C. Bischoff,,,5158147847,467,8bi1tlz62rjwyak4pnnzgp562,5158147843,286,,5158148137,465,,5158147841,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710559935,16,4,1,0,43,9qsmopgutr7ut5g6workk8w4i,1,76.5,93.1,2024-08-18T16:03:16.146Z,2024-08-18T16:24:39Z,1gr0k94d0nh7msa32f6728aok,C. Bischoff,,,5157394225,286,,5157394219,56,Left,5157394221,152,,5157394285,233,11,5157394223,265,,5157394215,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710559951,11,4,1,0,43,36g6ifzjliec1jqnbtf7yesme,0,23.5,6.9,2024-08-18T16:03:16.147Z,2024-08-18T16:24:39Z,8bi1tlz62rjwyak4pnnzgp562,A. Jasson,,,5157394263,152,,5157394259,13,,5157394265,265,,5157394267,285,,5157394311,233,16,5157394261,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
