id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId
2797080181,1,34,16,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2025-04-06T11:20:44.698Z,2025-04-06T12:08:13Z,,,,,5629660613,130,5,5629795853,197,21353,5629800447,194,6ul2nma4j0a7e2li6wyyrpal1,5629660611,59,"32, 5, 20, 21, 12, 6, 18, 8, 15, 22, 14, 2, 11, 13, 19, 23, 26, 27, 30, 40",5629660617,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5629660607,30,"15fo180vixn0lb65fujttit3p, 5is9bcj143orulo4biogwxzl6, 8ydi45wh0naevno6aos78vi09, bpw4cd5vmghjhelb3uxupmqjt, 6ul2nma4j0a7e2li6wyyrpal1, cw6s5hf1tytvb98vjuosz9r6d, 8gdfn7j6xac9p4jh94hk40jdg, b13l1wrb747y9cdc8wqltan6d, 58o5ram4bf58357786j9jr7kk, 79b0b6eqck5vn4b3fawxsaok, 6d0lxiep13vdv32bdb0xwyrys, 8822s8ns7oyvjqade4oaxzg0l, diwrq7ulrey4juxk4dafct0q1, d854rlweyk5wq6d2veyviukq2, 6zhj070huc77sl5o5bx6ey5g4, 8ynqwlysks0dvn46ja7zq5vit, deyq3zqd0vwc821ngqldxqor9, 6miatayfy07pf4og7qc7c7pqs, 5733iw16239m83syv5dm8huj9, 52vwj2s29n7wngablotd7pboq",5629660609,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5629660615,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797080911,1,34,16,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2025-04-06T11:22:04.806Z,2025-04-06T11:57:12Z,,,,,5629796281,197,6293,5629796279,194,b2492j7qzdo7g3ysxz6gq4g5x,5629664501,130,9,5629664503,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5629664495,30,"b2492j7qzdo7g3ysxz6gq4g5x, 9zhmwx3g0m6xi2oh57g4z35nu, 7h39w16zvj1lbfb0rqr7kvt1x, bplpqy3ierwlm12d1f3prue7e, 7zaveckhldl5rieo5ddsqtt2i, ew91bx066dre4xck30vmz10yc, lioz4hr2umpne2bwar18qa96, 6wrch4yhbs6utcc0doguj90q, n2annzbap7hll02zo2v0ccgk, 349g9rdismqpb1aarjp011bd, bb8q9cgqzw9n2tmkl8s3bth0q, avtms6bcr8i7qdacuv225evo5, 4qo7eu3xwhkpssbuyk4n70fe1, 242y4x99xvpu9zvln5vxoepjp, 6f6x6f9iybgp9pmkqati2otn8, 8ngloyr6r0m71p8kgpfe69bvu, d8nahz092xxj6muqc24hocp3o, 89xit2bryc0g4yhqina7akjkk, lmrff8mviimc33yyrpjzr2tw",5629664497,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5629664499,59,"1, 3, 19, 6, 25, 40, 21, 20, 23, 17, 10, 8, 4, 7, 9, 14, 30, 36, 41",5629664505,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797109919,2,32,1,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2025-04-06T12:01:02.007Z,2025-04-06T14:40:37Z,,,,,5629810743,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797109913,2,32,1,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2025-04-06T12:01:02.007Z,2025-04-06T12:01:02Z,,,,,5629810709,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797109953,3,1,1,0,0,anga7587r1zv4ey71ge9zxol3,1,50.0,50.1,2025-04-06T12:01:02.008Z,2025-04-06T12:01:05Z,58o5ram4bf58357786j9jr7kk,M. Opoku,,,5629810907,279,S,5629810879,140,33.5,5629810893,212,17.4,5629810885,141,52.1,5629810875,56,Back,5629810899,213,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797109969,4,1,1,0,1,anga7587r1zv4ey71ge9zxol3,1,33.6,51.9,2025-04-06T12:01:03.782Z,2025-04-06T12:01:06Z,79b0b6eqck5vn4b3fawxsaok,P. Langhoff,,,5629810949,212,16.0,5629810951,213,2.19,5629810947,141,71.0,5629810945,140,24.7,5629810943,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797110019,5,1,1,0,4,anga7587r1zv4ey71ge9zxol3,1,26.1,71.9,2025-04-06T12:01:06.070Z,2025-04-06T12:52:31Z,cw6s5hf1tytvb98vjuosz9r6d,R. Thelander,,,5629811183,140,37.3,5629811187,212,19.4,5629811189,213,0.92,5629811181,56,Back,5629811185,141,94.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797110089,6,1,1,0,7,anga7587r1zv4ey71ge9zxol3,1,40.4,91.7,2025-04-06T12:01:09.639Z,2025-04-06T12:01:12Z,8ydi45wh0naevno6aos78vi09,L. Klassen,,,5629811567,141,73.4,5629811571,212,23.0,5629811565,140,22.0,5629811575,213,3.71,5629811563,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797110125,7,1,1,0,10,anga7587r1zv4ey71ge9zxol3,1,22.0,72.4,2025-04-06T12:01:12.807Z,2025-04-06T12:01:15Z,cw6s5hf1tytvb98vjuosz9r6d,R. Thelander,,,5629811763,56,Back,5629811773,213,4.87,5629811765,140,25.9,5629811769,212,26.2,5629811767,141,34.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797110157,8,1,1,0,13,anga7587r1zv4ey71ge9zxol3,1,25.8,34.4,2025-04-06T12:01:15.335Z,2025-04-06T12:01:17Z,6ul2nma4j0a7e2li6wyyrpal1,M. Jensen,,,5629811937,141,71.3,5629811941,213,1.54,5629811939,212,25.1,5629811935,140,26.5,5629811933,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
