id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/9/value,qualifier/11/value,qualifier/14/value,qualifier/10/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/19/value,qualifier/20/value
2708059943,1,34,16,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2024-08-11T14:57:05.162Z,2024-08-11T16:17:03Z,,,,,5143517905,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5143517915,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5143517907,59,"1, 22, 21, 7, 12, 26, 18, 6, 10, 9, 8, 15, 5, 11, 13, 14, 16, 17, 25, 31",5143517909,130,2,5143517911,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5143517913,194,5j9d1plbsd5ic01r3ggziutwp,5143517903,30,"a6ham5hnwv62w3tynikyal68l, 3361cs2j60yxzy9mir80byqc5, bb2cldqy0vvcyrrcvj6j0d71l, 5x8064b3yr7txk0czddfjtffu, 6rd849oap6uh93wdwjk8590q1, 5jdkdvxssuc8gvzwwrq5bs76y, bh06w40pwo6dy3cjrw3r2i0ru, 5j9d1plbsd5ic01r3ggziutwp, a8opuarwq9byw73nhfgvo9nca, 828b7y3phhpb62srvtrjhtgk4, 1902oagnhlo7x9xpumxvg1t78, 3ejggtt1du1cui3wc1f8oqx62, 33sxiwcjeqcop3ukuok86ujmd, 7foqorbwhgqjghtxa2nax6kgk, 5q4p56lg1vjsqo824aql0e1d6, 4qyfoq5fjiochtj89w426lm21, c7gwbtdqptxjtu3tn3xctvit, 6gh4z3yubnpypzoakjom1rj3e, adg5dfvzxjrzlz1n2jsfeyx3o, 637840asun7f3wo16c5zkhi50",5143827067,197,23447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708060893,1,34,16,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2024-08-11T14:59:50.488Z,2024-08-11T16:18:53Z,,,,,5143819245,197,792,5143819677,194,rq6npjy37kolscu8lrj4r2dx,5143522955,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5143522951,59,"1, 22, 24, 33, 3, 4, 12, 47, 18, 11, 10, 16, 5, 8, 30, 31, 36, 38, 45, 42",5143522953,130,4,5143522949,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5143522957,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5143522947,30,"ckhhpn9ppgvlrtubf7li3se09, 9ic9msq3tj4gx8wqa6wfwk50q, 2ubad2kxha6n1c8c8sr2ogmad, rq6npjy37kolscu8lrj4r2dx, w0wt7gjkdddn63a4258j8frp, ajjw1ikceu3g39sy6dsf9kdg4, al9l7egkwbc0pv68zk42gegut, c9u2w9ikckbrra8vln2ucbf9w, euur9yvhgrieu4kl0vdkh244q, aahyom322jdc6f21960ycuzth, 6tckvu2rw7ns18dq7dim0sout, bbezbukg20q5b6kfnjuzhs55g, 4cbaoo2irqtme9goxuz6s3ey2, 8inyievyp1az6q3dtlkpynf56, ssluj1c3ft94nkfs58dc8cq2, quh8tfvwi106toymoh38tbrp, ftw3io63hk5vuoa3lyfgowes, 8jyfsal0lbf0ia92axymn2l1w, 823p7p1amx8lp445bo6bi01lg, vrzye4jqrafujmjw3wakjpxw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708115761,2,32,1,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2024-08-11T16:02:06.939Z,2024-08-11T16:02:09Z,,,,,5143831927,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708115717,2,32,1,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2024-08-11T16:02:06.939Z,2024-08-11T18:25:40Z,,,,,5143831723,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708115769,3,1,1,0,0,aljua8crr0vkwit0j3m59jw9j,1,49.8,49.7,2024-08-11T16:02:06.940Z,2024-08-11T16:02:10Z,a8opuarwq9byw73nhfgvo9nca,K. Ingason,,,5143831989,56,Back,5143831995,212,12.4,5143831997,213,2.66,5143831999,279,S,5143831991,140,39.3,5143831993,141,58.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708115807,4,1,1,0,3,aljua8crr0vkwit0j3m59jw9j,1,38.5,60.0,2024-08-11T16:02:10.059Z,2024-08-11T16:52:07Z,5j9d1plbsd5ic01r3ggziutwp,R. Vinderslev,,,5143832217,141,66.4,5143832219,212,13.3,5143832213,56,Back,5143832215,140,26.5,5143832221,213,2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708115839,5,1,1,0,6,aljua8crr0vkwit0j3m59jw9j,1,26.7,66.1,2024-08-11T16:02:13.179Z,2024-08-11T16:52:10Z,5jdkdvxssuc8gvzwwrq5bs76y,T. Sommer,,,5143832403,212,16.5,5143832401,141,41.8,5143832405,213,4.66,5143832397,56,Back,5143832399,140,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708115859,6,1,1,0,9,aljua8crr0vkwit0j3m59jw9j,1,23.5,41.3,2024-08-11T16:02:16.363Z,2024-08-11T16:02:18Z,6rd849oap6uh93wdwjk8590q1,M. Soulas,,,5143832511,56,Back,5143832525,212,14.5,5143832515,140,12.2,5143832519,141,53.6,5143832529,213,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708115893,7,1,1,0,10,aljua8crr0vkwit0j3m59jw9j,1,12.2,53.6,2024-08-11T16:02:17.931Z,2024-08-11T16:52:20Z,a6ham5hnwv62w3tynikyal68l,N. Flø,,,5143832723,140,36.6,5143832721,56,Back,5143832731,1,,5143832729,213,0.81,5143832727,212,37.3,5144067261,155,,5143832725,141,93.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708115911,8,1,1,0,14,aljua8crr0vkwit0j3m59jw9j,1,40.5,98.7,2024-08-11T16:02:21.372Z,2024-08-11T18:27:12Z,bb2cldqy0vvcyrrcvj6j0d71l,A. Barkarson,,,5143832865,212,9.3,5144411359,155,,5143832859,56,Back,5143832867,213,6.03,5143832863,141,95.3,5143832861,140,49.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
