id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2728098133,1,34,16,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2024-09-29T15:00:45.658Z,2024-09-29T16:03:02Z,,,,,5253522551,130,8,5253522547,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5253522549,59,"1, 22, 2, 27, 5, 6, 10, 12, 9, 8, 30, 7, 13, 14, 15, 16, 19, 31, 36, 17",5253922819,194,4gqnyyx3i92fayq6cxvekqwut,5253522555,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5253522553,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5253905073,197,792,5253522545,30,"ckhhpn9ppgvlrtubf7li3se09, 9ic9msq3tj4gx8wqa6wfwk50q, 7xc0qldxpidl07vij2wgu1sk5, 4gqnyyx3i92fayq6cxvekqwut, 4cbaoo2irqtme9goxuz6s3ey2, ayqy2vql1oumokqly9ahfrnx1, 6tckvu2rw7ns18dq7dim0sout, al9l7egkwbc0pv68zk42gegut, babnrlnt04mal0268p9dxas8a, 8inyievyp1az6q3dtlkpynf56, ssluj1c3ft94nkfs58dc8cq2, 8g4r9maz4invihjmdzpfxy0np, 6b8vhoisrfwkljhz4u7pduej8, 7hw1plnv7nvxnqpnfnxcxszpx, dux0skggr99ydjz3kn58p3wmh, bbezbukg20q5b6kfnjuzhs55g, 823p7p1amx8lp445bo6bi01lg, quh8tfvwi106toymoh38tbrp, ftw3io63hk5vuoa3lyfgowes, c9u2w9ikckbrra8vln2ucbf9w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728100409,1,34,16,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2024-09-29T15:03:12.715Z,2024-09-29T16:03:39Z,,,,,5253535271,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5253535269,30,"53y263xxfdf1itytiqhg3v6c5, 9s85lkd1qi525r4horgbtostl, 6c2isptqoy4cq5c8rlr9s1roq, 7uia9zlz3axnuc6usdn9u4kfe, chsirsawrhuh787kofklnjmqd, 7hukebiijqntuvetwzralzuju, 1yqlkot5sh85ot3eemo67djv9, 3ylgelxr6ssp42hidfnchqp2i, 22760086vtvx2xulry32q21hw, 22zuxw8lez5w4vjd8spzzysyc, 7rtrg77m3xozgfhu3p2ihfey2, 1xjhud4hyekcg08nue1iosmsq, 32ohywx3gs0u6bqm4z59wxmmt, 6ylzm57bvpufg3cenadtv7qhh, 2rgil8e1uix2orli95p1si0ut, 94hei5v2f93ga4b0iwxxisbu1, 9yiz575rldkwu7icgqwk1qmdx, 1k9g7x8jwhzcpx8bc5ji7og0k, 1hbucfyn2l3bxcw5r4zcb1dlg, 6uvp2evoo07gv5rc5ht2l012i",5253535279,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5253535277,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5253909215,197,12608,5253535275,130,7,5253927437,194,7hukebiijqntuvetwzralzuju,5253535273,59,"1, 25, 59, 34, 29, 4, 7, 10, 33, 8, 11, 2, 3, 14, 15, 17, 18, 24, 37, 71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728168099,2,32,1,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2024-09-29T16:00:31.033Z,2024-09-29T16:00:32Z,,,,,5253908035,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728168071,2,32,1,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2024-09-29T16:00:31.033Z,2024-09-29T16:00:31Z,,,,,5253907915,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728168131,3,1,1,0,0,b3r6d8ydtmtjckam6pku9y400,1,50.0,50.0,2024-09-29T16:00:31.034Z,2024-09-29T16:49:26Z,babnrlnt04mal0268p9dxas8a,G. Onugkha,,,5253908205,140,44.3,5253908211,213,3.57,5253908203,56,Back,5253908213,279,S,5253908209,212,6.6,5253908207,141,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728168191,4,1,1,0,3,b3r6d8ydtmtjckam6pku9y400,1,44.3,46.0,2024-09-29T16:00:34.095Z,2024-09-29T16:00:36Z,al9l7egkwbc0pv68zk42gegut,L. Lerager,,,5253908493,212,21.2,5253908489,140,34.3,5253908491,141,73.0,5253908495,213,2.09,5253908487,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728168227,5,1,1,0,5,b3r6d8ydtmtjckam6pku9y400,1,34.2,72.9,2024-09-29T16:00:36.579Z,2024-09-29T16:49:49Z,7xc0qldxpidl07vij2wgu1sk5,K. Diks,,,5253908701,212,33.0,5253908699,141,24.6,5253908697,140,31.4,5253908695,56,Back,5253908705,1,,5253908703,213,4.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728168287,6,1,1,0,8,b3r6d8ydtmtjckam6pku9y400,1,38.2,25.5,2024-09-29T16:00:39.704Z,2024-09-29T16:00:43Z,4cbaoo2irqtme9goxuz6s3ey2,Gabriel Pereira,,,5253909025,213,1.82,5253909021,141,51.0,5253909023,212,17.9,5253909013,56,Back,5253909019,140,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728168327,7,1,1,0,12,b3r6d8ydtmtjckam6pku9y400,1,36.5,58.7,2024-09-29T16:00:43.813Z,2024-09-29T16:00:46Z,ayqy2vql1oumokqly9ahfrnx1,P. Hatzidiakos,,,5253909225,212,12.7,5253909223,141,74.4,5253909221,140,43.0,5253909227,213,1.00,5253909219,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728168365,8,1,1,0,15,b3r6d8ydtmtjckam6pku9y400,1,42.8,70.8,2024-09-29T16:00:46.157Z,2024-09-29T16:50:02Z,7xc0qldxpidl07vij2wgu1sk5,K. Diks,,,5253909429,141,29.1,5253909431,212,29.0,5253909427,140,37.2,5253909433,213,4.51,5253909425,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
