id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2803925357,1,34,16,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2025-04-20T13:51:36.703Z,2025-04-20T19:06:50Z,,,,,5667407817,194,1arzd8hqj73byhduozscqz5uy,5667348341,130,9,5667348345,197,1731,5667348337,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5667348343,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5667348335,30,"a2l4ep71txn2edtjjcgewai5m, de0dokhb6u6hts2hu5aupgiga, dj2f6zk2cd8u9lt6odoei9cdl, bm3k1knugkwa8z319dscr2yhg, 7yst1mucy7jynmpzu1thox2i, 8vi3l756ez0e96k7muvg4ekbu, 1arzd8hqj73byhduozscqz5uy, 8bi1tlz62rjwyak4pnnzgp562, 5lz41celw55rz3zh8pohclw5w, ejixz16616b7krftxyzv9yiac, 3q4tnk1z46lop4rbdpjtfoc2c, bcdp9e3dezuaybm8ndrsanbx0, 8mkrj5bnkyhx8kutc4656cy96, rv6r0bwbl75er38wklyfpsr9, 6v1kpakd3t0jhnoh1eh75ev4k, 2k8bmlxzt0qi7divtxye0a5ii, brinkgys7026490q3ixx6h9uc, 5vrsflxiv2dgfa8199a2qxsve, 697f50qoetodmfe8ybcuey2ac, 3tka46re2gsi9uw7pbxx5m0pg",5667348339,59,"1, 20, 14, 26, 4, 13, 11, 17, 10, 21, 8, 5, 6, 9, 16, 23, 24, 27, 33, 40",5667348347,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803926481,1,34,16,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2025-04-20T13:53:04.109Z,2025-04-20T16:09:03Z,,,,,5667354469,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5667354465,59,"16, 22, 5, 26, 12, 4, 15, 7, 11, 8, 24, 1, 2, 9, 10, 17, 20, 23, 28, 31",5667354473,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5667354461,30,"dcocgxtuabo0rwzwukvqky9uy, 3361cs2j60yxzy9mir80byqc5, 33sxiwcjeqcop3ukuok86ujmd, 5jdkdvxssuc8gvzwwrq5bs76y, 6rd849oap6uh93wdwjk8590q1, czpstoiy12awqpasz573ckp91, 3ejggtt1du1cui3wc1f8oqx62, 5x8064b3yr7txk0czddfjtffu, 7foqorbwhgqjghtxa2nax6kgk, 1902oagnhlo7x9xpumxvg1t78, 94560hgwsjkx8qgz48f7gzitw, a6ham5hnwv62w3tynikyal68l, dshwz1df0rbe0fztksawvd0wl, 828b7y3phhpb62srvtrjhtgk4, a8opuarwq9byw73nhfgvo9nca, 6gh4z3yubnpypzoakjom1rj3e, d88feog3dgv09oxbzn15xqesq, 7sbdudf1vycn8hinw0giakpyi, 6je6y9uk6km1tkzatpw8v9p1w, 637840asun7f3wo16c5zkhi50",5667354467,130,8,5667612343,194,33sxiwcjeqcop3ukuok86ujmd,5667354471,197,23448,5667354463,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803975275,2,32,1,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2025-04-20T15:03:36.497Z,2025-04-20T15:03:36Z,,,,,5667622389,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803975287,2,32,1,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2025-04-20T15:03:36.497Z,2025-04-20T19:10:42Z,,,,,5667622433,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803975297,3,1,1,0,0,aljua8crr0vkwit0j3m59jw9j,1,50.2,50.0,2025-04-20T15:03:36.498Z,2025-04-20T15:03:39Z,5x8064b3yr7txk0czddfjtffu,S. Emini,,,5667622485,141,62.9,5667622481,56,Back,5667622489,213,2.75,5667622491,279,S,5667622483,140,29.9,5667622487,212,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803975331,4,1,1,0,2,aljua8crr0vkwit0j3m59jw9j,1,29.9,63.0,2025-04-20T15:03:39.186Z,2025-04-20T15:03:43Z,33sxiwcjeqcop3ukuok86ujmd,M. Dal Hende,,,5667622637,212,53.5,5667622633,140,65.7,5667622641,1,,5667622639,213,5.49,5667622629,157,,5667622631,56,Right,5667622635,141,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803975337,5,44,1,0,6,aljua8crr0vkwit0j3m59jw9j,1,64.2,7.0,2025-04-20T15:03:43.010Z,2025-04-20T15:03:45Z,3361cs2j60yxzy9mir80byqc5,A. Oggesen,,,5667622677,56,Right,5667622679,286,,5667622703,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803975333,3,44,1,0,6,36g6ifzjliec1jqnbtf7yesme,0,35.8,93.0,2025-04-20T15:03:43.011Z,2025-04-20T15:03:46Z,dj2f6zk2cd8u9lt6odoei9cdl,A. Bruus,,,5667622659,56,Back,5667622721,233,5,5667622661,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803975361,6,1,1,0,7,aljua8crr0vkwit0j3m59jw9j,1,65.7,7.0,2025-04-20T15:03:43.602Z,2025-04-20T19:11:16Z,3361cs2j60yxzy9mir80byqc5,A. Oggesen,,,5667622837,141,4.3,5667622841,213,6.15,5667622833,56,Right,5667622839,212,13.7,5668428051,168,,5667622835,140,78.6,5667622831,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803975363,7,1,1,0,9,aljua8crr0vkwit0j3m59jw9j,0,78.6,4.3,2025-04-20T15:03:46.129Z,2025-04-20T15:04:00Z,6rd849oap6uh93wdwjk8590q1,M. Soulas,,,5667622855,212,2.1,5667622851,140,80.5,5667622853,141,5.2,5667622857,213,0.30,5667622849,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
