id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/16/value
2818165065,1,34,16,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2025-05-24T12:02:36.033Z,2025-05-24T13:03:28Z,,,,,5746055907,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5746055899,30,"d8nahz092xxj6muqc24hocp3o, 89xit2bryc0g4yhqina7akjkk, 7h39w16zvj1lbfb0rqr7kvt1x, avtms6bcr8i7qdacuv225evo5, 9zhmwx3g0m6xi2oh57g4z35nu, 4qo7eu3xwhkpssbuyk4n70fe1, 6wrch4yhbs6utcc0doguj90q, cuufy3ioo1kio56er2cfn0mqc, n2annzbap7hll02zo2v0ccgk, 349g9rdismqpb1aarjp011bd, alqg6ch3anqkq9613hu6m1d04, b2492j7qzdo7g3ysxz6gq4g5x, 2513579m13glsous1p82fbjzd, 242y4x99xvpu9zvln5vxoepjp, 6f6x6f9iybgp9pmkqati2otn8, lioz4hr2umpne2bwar18qa96, 9kjdw81u1rprgi5j8f92afaqc, abaapwjdtbk2vmdv69v49fyms, lmrff8mviimc33yyrpjzr2tw",5746055901,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5746055905,130,4,5746055909,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5746098227,194,7h39w16zvj1lbfb0rqr7kvt1x,5746094057,197,6293,5746055903,59,"30, 36, 19, 8, 3, 4, 20, 33, 23, 17, 11, 1, 2, 7, 9, 21, 26, 35, 41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818165527,1,34,16,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2025-05-24T12:06:58.615Z,2025-05-24T13:04:28Z,,,,,5746058293,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5746058301,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5746058295,59,"16, 26, 30, 6, 24, 2, 37, 12, 11, 27, 10, 1, 13, 14, 15, 17, 19, 31, 32, 55",5746058299,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5746058291,30,"dk9nlp77b6q38p751f8w3o8np, dacr7r8nr09ke3o8dhqmdrklw, eq7tnnzwq0g9q4eac0o9t9xey, wnin2353js3p5rh4d7e2ymwa, 4n3t1p3zn5yzjv4w0clo3xvjd, 9qskwuil30g48xr3ax5p9j6j9, b6q0tf252xvikt39g8jevju38, vrzye4jqrafujmjw3wakjpxw, akxcr1xe62dyl5jmh3ataq13o, c9kn2pfftaimeqknbu9p8neok, 73lwz4he5erpp25zi8crjvztg, 9lgnm175tw163z53b8bmiu5pm, 5f3wfx327z9hef9k9l37c90wl, 5m27f84vvraap8bmfujt1qiok, dyzzo6n83rg4fpvmqqa69moes, 6d8194j12jdzgqk5uwcemecr8, 9o10vhew3jar8tqnkabw0qoyx, ehjqrbqo7ewbztia7k2mrzx90, xyt0wq20toh97811t65vu4no, bp2ellllifbtxgf0p8qlbm1nt",5746089565,197,11498,5746101695,194,4n3t1p3zn5yzjv4w0clo3xvjd,5746058297,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171335,2,32,1,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2025-05-24T13:00:02.558Z,2025-05-24T16:55:26Z,,,,,5746090411,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171331,2,32,1,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2025-05-24T13:00:02.558Z,2025-05-24T13:00:02Z,,,,,5746090345,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171333,3,1,1,0,0,cftj6g399tknheudaxsdpfdgb,1,50.2,50.4,2025-05-24T13:00:02.559Z,2025-05-24T13:07:46Z,b6q0tf252xvikt39g8jevju38,J. Vester,,,5746090405,213,3.45,5746090399,140,31.4,5746090403,212,20.7,5746090407,279,S,5746090397,56,Back,5746090401,141,41.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171337,4,1,1,0,3,cftj6g399tknheudaxsdpfdgb,0,32.2,37.0,2025-05-24T13:00:05.915Z,2025-05-24T17:49:39Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5746090433,213,0.53,5746090431,212,50.5,5746090423,157,,5746090427,140,73.6,5746090435,1,,5746090425,56,Center,5746090429,141,74.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171339,3,44,1,0,5,ahnt9ejgwj58ul8auzdvi3czf,1,24.1,25.6,2025-05-24T13:00:08.043Z,2025-05-24T17:49:42Z,9zhmwx3g0m6xi2oh57g4z35nu,R. Østrøm,,,5746090443,56,Back,5746090445,285,,5746090473,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171341,5,44,1,0,5,cftj6g399tknheudaxsdpfdgb,0,75.9,74.4,2025-05-24T13:00:08.044Z,2025-05-24T17:49:44Z,akxcr1xe62dyl5jmh3ataq13o,Renato Júnior,,,5746090447,56,Center,5746090449,286,,5746090477,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171345,4,1,1,0,6,ahnt9ejgwj58ul8auzdvi3czf,0,21.6,26.2,2025-05-24T13:00:09.420Z,2025-05-24T17:49:48Z,9zhmwx3g0m6xi2oh57g4z35nu,R. Østrøm,,,5746090465,140,38.0,5746090469,212,18.3,5746090463,56,Back,5746090467,141,35.4,5746090461,3,,5746090471,213,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171349,6,1,1,0,7,cftj6g399tknheudaxsdpfdgb,0,63.0,72.0,2025-05-24T13:00:09.699Z,2025-05-24T17:49:59Z,wnin2353js3p5rh4d7e2ymwa,M. Søndergaard,,,5746090487,56,Center,5746090491,141,75.2,5746090489,140,80.9,5746090493,212,18.9,5746090485,3,,5746090495,213,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
