id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/10/value,qualifier/11/value,qualifier/14/value,qualifier/18/value
2720918929,1,34,16,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2024-09-15T14:56:41.856Z,2024-09-15T16:03:27Z,,,,,5214214089,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5214214077,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5214214079,59,"1, 2, 37, 4, 5, 31, 22, 10, 36, 11, 28, 6, 7, 16, 17, 18, 24, 30, 34, 35",5214214087,197,5111,5214214085,194,bnar4f48vnx4oaz2lzch48es5,5214214083,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5214214081,130,17,5214214075,30,"4ilnnpfgjfz35lni9ppzd93v9, hsobzlp177f9755mpsi7szmy, 1gr0k94d0nh7msa32f6728aok, bnar4f48vnx4oaz2lzch48es5, bmkq3hz1z7lsji7wgr3j8978p, 6anvl82jyio52wo87cbxdp4np, 94didhw8o1blxonn4amoahcr9, etz3rjq7chhaomst5u28nnff9, 7z1pv1wezn5rydamnknklv2ay, 9auqrrixu34cgkpe8trlkaoh6, 53nd6a4o02ebb0w2s12prijje, aa0888u38mjc1euhofseazb2t, chteizjcvxpvze9p77gcttcoa, 3hi7nroqhsvj8elv8nd9a8ted, 91suopiz6irxqevhzv8lx76ne, cft1n7qn5juaedelpvqwo2f3d, 2tthm6h5o033dz440e476rhbe, 56sjqxlsf5iitgww0hogez8ph, 1tt9jeekqwpyi6lnj4vyouuj8, 2xp7fbcl6a4nua9jpm7b4k1sk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720921775,1,34,16,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2024-09-15T15:02:12.954Z,2024-09-15T16:04:56Z,,,,,5214230661,30,"c7gwbtdqptxjtu3tn3xctvit, 3361cs2j60yxzy9mir80byqc5, 5rgwuoboh1keb2gf21wcw5dqt, czpstoiy12awqpasz573ckp91, 5jdkdvxssuc8gvzwwrq5bs76y, 6rd849oap6uh93wdwjk8590q1, 5x8064b3yr7txk0czddfjtffu, 1902oagnhlo7x9xpumxvg1t78, a8opuarwq9byw73nhfgvo9nca, 3ejggtt1du1cui3wc1f8oqx62, adg5dfvzxjrzlz1n2jsfeyx3o, a6ham5hnwv62w3tynikyal68l, 33sxiwcjeqcop3ukuok86ujmd, 5j9d1plbsd5ic01r3ggziutwp, 828b7y3phhpb62srvtrjhtgk4, 7foqorbwhgqjghtxa2nax6kgk, 6gh4z3yubnpypzoakjom1rj3e, bh06w40pwo6dy3cjrw3r2i0ru, 94560hgwsjkx8qgz48f7gzitw, 7sbdudf1vycn8hinw0giakpyi",5214230665,59,"16, 22, 21, 4, 26, 12, 7, 8, 10, 15, 25, 1, 5, 6, 9, 11, 17, 18, 24, 23",5214230663,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5214539395,194,5jdkdvxssuc8gvzwwrq5bs76y,5214230671,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5214230675,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5214539397,197,23447,5214230667,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720981371,2,32,1,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2024-09-15T16:01:39.123Z,2024-09-15T20:05:12Z,,,,,5214558853,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720981359,2,32,1,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2024-09-15T16:01:39.123Z,2024-09-15T16:01:39Z,,,,,5214558789,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720981455,3,1,1,0,0,aljua8crr0vkwit0j3m59jw9j,1,50.1,50.1,2024-09-15T16:01:39.124Z,2024-09-15T16:01:44Z,a8opuarwq9byw73nhfgvo9nca,K. Ingason,,,5214559325,140,33.5,5214559321,56,Back,5214559331,212,17.5,5214559333,213,3.23,5214559335,279,S,5214559327,141,47.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720981527,4,1,1,0,3,aljua8crr0vkwit0j3m59jw9j,0,29.2,43.3,2024-09-15T16:01:42.249Z,2024-09-15T18:20:38Z,5jdkdvxssuc8gvzwwrq5bs76y,T. Sommer,,,5214559739,141,100.0,5214559743,213,0.66,5214559745,1,,5214559741,212,64.3,5214559729,157,,5214559735,140,77.6,5214559731,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720981717,3,5,1,0,9,9qsmopgutr7ut5g6workk8w4i,1,23.4,-1.5,2024-09-15T16:01:48.321Z,2024-09-15T16:51:41Z,hsobzlp177f9755mpsi7szmy,S. Sebulonsen,,,5214560737,233,5,5214560727,347,,5214560725,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720981537,5,5,1,0,9,aljua8crr0vkwit0j3m59jw9j,0,76.6,101.5,2024-09-15T16:01:48.321Z,2024-09-15T16:51:41Z,czpstoiy12awqpasz573ckp91,D. Grétarsson,,,5214560757,233,3,5214559783,347,,5214559779,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720981729,4,1,1,0,19,9qsmopgutr7ut5g6workk8w4i,1,28.3,0.0,2024-09-15T16:01:58.160Z,2024-09-15T18:21:03Z,6anvl82jyio52wo87cbxdp4np,S. Klaiber,,,5214560805,107,,5214560817,212,6.6,5214560809,56,Back,5214560819,213,1.06,5214560815,141,7.1,5214560813,140,31.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720981763,5,1,1,0,20,9qsmopgutr7ut5g6workk8w4i,1,31.4,7.1,2024-09-15T16:02:00.041Z,2024-09-15T16:02:02Z,etz3rjq7chhaomst5u28nnff9,D. Wass,,,5214561037,212,3.9,5214561033,140,31.2,5214561035,141,1.3,5214561031,56,Back,5214561039,213,4.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
