id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId
2731588715,1,34,16,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2024-10-06T13:13:25.592Z,2024-10-06T15:09:39Z,,,,,5272586341,130,4,5272935995,197,19904,5272586333,30,"dk9nlp77b6q38p751f8w3o8np, bitixkzgt5p65rlo2bnllcf6x, 4n3t1p3zn5yzjv4w0clo3xvjd, 5f3wfx327z9hef9k9l37c90wl, auk14ut8cwaqop549u2zmfgt1, 9qskwuil30g48xr3ax5p9j6j9, vrzye4jqrafujmjw3wakjpxw, 3bvc29bootgmo9tsapvygvnu2, akxcr1xe62dyl5jmh3ataq13o, 6d8194j12jdzgqk5uwcemecr8, 73lwz4he5erpp25zi8crjvztg, 9lgnm175tw163z53b8bmiu5pm, wnin2353js3p5rh4d7e2ymwa, 7w7ufa4v85hmj1qxnmqc4zgiy, 5m27f84vvraap8bmfujt1qiok, 9o10vhew3jar8tqnkabw0qoyx, acp1ba2irpv5wfmxke7ucmaga, eq7tnnzwq0g9q4eac0o9t9xey, bp2ellllifbtxgf0p8qlbm1nt, b6q0tf252xvikt39g8jevju38",5272586349,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5272586337,59,"16, 18, 24, 13, 4, 2, 12, 28, 11, 17, 10, 1, 6, 8, 14, 19, 23, 30, 55, 37",5272586335,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5273453455,194,5f3wfx327z9hef9k9l37c90wl,5272586345,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731590815,1,34,16,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2024-10-06T13:14:39.785Z,2024-10-06T15:15:11Z,,,,,5273489909,194,3sadup8mjwu4dc96wz6lmixn9,5272597553,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5272597559,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5272597551,30,"1h31bvtbae4q0edlp0u672hn9, 3gemcjqban843su9c9y5l2sk4, 61sojkdsmaz9hbwaskt4rws15, cgkvw4q8ddcjl0po181upzwx6, 6my7s0ezr6jldotm1w6nk7b9x, aswmi1pnkzkvkexp8ngief6j9, 7je01bs3a4q6c2gd02ee6da3u, 43q9ytkbmtk5y3tgv77v7pmg9, 3sadup8mjwu4dc96wz6lmixn9, 3uytpqx0e0jr6zgbfl1znsm7e, 8og8nxbkcb63van4llvpkbe8l, 10lj2qekb1e4c8ful68b1pazt, 4vmgmzg2004twoc39sk7zkzqh, 9trvbmdwo8fkndwjz9mr1bfmx, bz77hr28a1yskifpuvzu8smsq, 6jgd09iosfe5mn3tputmjx2ad, efubck8twu1elbhlomltnjjtg, 5qvy65ckiigykkowpyco05zv9, ca1b5707pdpx0ucug40ggnahh, 3l3v5wj4c7vtqqwu05b526590",5272597555,59,"1, 26, 8, 19, 5, 2, 10, 7, 9, 31, 6, 4, 11, 13, 15, 16, 18, 20, 29, 40",5272597557,130,12,5272949481,197,21749,5272597561,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731653567,2,32,1,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2024-10-06T14:00:37.228Z,2024-10-06T14:00:38Z,,,,,5272941335,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731653541,3,32,1,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2024-10-06T14:00:37.228Z,2024-10-06T19:24:24Z,,,,,5272941243,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731654347,3,1,1,0,0,5rz9enoyknpg8ji78za5b82p0,1,49.9,49.7,2024-10-06T14:00:37.229Z,2024-10-06T16:28:56Z,43q9ytkbmtk5y3tgv77v7pmg9,M. Madsen,,,5272945315,213,3.84,5272945317,279,S,5272945307,56,Back,5272945309,140,46.0,5272945313,212,5.4,5272945311,141,44.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2732039101,817,1,1,0,3,5rz9enoyknpg8ji78za5b82p0,0,47.6,57.6,2024-10-06T14:00:40.397Z,2024-10-06T19:25:22Z,3uytpqx0e0jr6zgbfl1znsm7e,T. Bech,,,5275061241,56,Back,5275061249,213,2.33,5275061243,140,43.0,5275061245,141,65.1,5275061247,212,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731654351,4,27,1,0,4,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2024-10-06T14:00:41.486Z,2024-10-06T19:25:25Z,,,,,5272945327,41,Injury,5272945329,53,8og8nxbkcb63van4llvpkbe8l,5272945367,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731654191,6,27,1,0,4,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2024-10-06T14:00:41.486Z,2024-10-06T19:25:26Z,,,,,5272945353,233,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731653891,5,43,1,0,19,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2024-10-06T14:00:56.973Z,2024-10-06T16:20:59Z,akxcr1xe62dyl5jmh3ataq13o,Renato Júnior,,,5272942961,56,Back,5273889963,144,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731654377,5,28,1,0,47,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2024-10-06T14:01:24.302Z,2024-10-06T14:01:25Z,,,,,5272945609,233,7,5272945535,55,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731654363,7,28,1,0,47,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2024-10-06T14:01:24.302Z,2024-10-06T14:01:25Z,,,,,5272945601,233,5,5272945389,55,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731654575,7,1,1,0,55,5rz9enoyknpg8ji78za5b82p0,1,41.8,67.8,2024-10-06T14:01:33.021Z,2024-10-06T14:01:36Z,cgkvw4q8ddcjl0po181upzwx6,E. Kahl,,,5272946529,212,19.3,5272946523,56,Back,5272946531,213,4.03,5272946527,141,45.7,5272946525,140,30.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731654599,8,1,1,0,59,5rz9enoyknpg8ji78za5b82p0,1,27.3,41.0,2024-10-06T14:01:36.772Z,2024-10-06T14:28:14Z,6my7s0ezr6jldotm1w6nk7b9x,F. Tingager,,,5272946671,56,Back,5272946679,213,4.61,5272946673,140,26.0,5272946677,212,14.0,5272946675,141,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731654659,9,1,1,1,1,5rz9enoyknpg8ji78za5b82p0,1,26.0,23.6,2024-10-06T14:01:38.357Z,2024-10-06T14:28:21Z,aswmi1pnkzkvkexp8ngief6j9,F. Beijmo,,,5272947033,140,37.1,5272947039,213,0.70,5272947031,56,Back,5272947035,141,37.9,5272947037,212,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731654675,10,61,1,1,2,5rz9enoyknpg8ji78za5b82p0,0,32.8,32.5,2024-10-06T14:01:39.533Z,2024-10-06T19:26:52Z,7je01bs3a4q6c2gd02ee6da3u,K. Arnstad,,,5272947163,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731654729,9,43,1,1,4,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2024-10-06T14:01:41.286Z,2024-10-06T19:26:15Z,9qskwuil30g48xr3ax5p9j6j9,I. Näsberg,,,5272947387,56,Center,5275065123,144,1,5272947395,212,1.5,5272947397,213,5.56,5272947391,140,66.6,5272947393,141,64.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731654733,10,1,1,1,4,cftj6g399tknheudaxsdpfdgb,0,66.0,65.7,2024-10-06T14:01:41.726Z,2024-10-06T19:42:11Z,3bvc29bootgmo9tsapvygvnu2,M. Westergaard,,,5272947413,141,63.7,5272947409,56,Center,5275137733,233,818,5275069137,286,,5275069135,236,,5272947411,140,67.9,5272947415,212,2.4,5272947417,213,5.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2732040321,818,74,1,1,4,5rz9enoyknpg8ji78za5b82p0,1,29.9,28.8,2024-10-06T14:01:41.727Z,2024-10-06T19:42:12Z,7je01bs3a4q6c2gd02ee6da3u,K. Arnstad,,,5275068111,56,Back,5275137781,233,10,5275068113,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2732040725,843,1,1,1,6,cftj6g399tknheudaxsdpfdgb,1,72.7,72.0,2024-10-06T14:01:43.649Z,2024-10-06T19:27:11Z,3bvc29bootgmo9tsapvygvnu2,M. Westergaard,,,5275070217,56,Left,5275070225,213,0.97,5275070221,141,91.1,5275070219,140,81.1,5275070223,212,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
