id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/14/value,qualifier/8/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/17/value,qualifier/19/value
2804528833,1,34,16,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2025-04-21T15:00:41.854Z,2025-04-21T15:39:43Z,,,,,5670636219,30,"ckhhpn9ppgvlrtubf7li3se09, 6b8vhoisrfwkljhz4u7pduej8, dux0skggr99ydjz3kn58p3wmh, 4gqnyyx3i92fayq6cxvekqwut, 4cbaoo2irqtme9goxuz6s3ey2, ayqy2vql1oumokqly9ahfrnx1, 66psa7xh8odnlp39ue5vzpes4, c9u2w9ikckbrra8vln2ucbf9w, aahyom322jdc6f21960ycuzth, 8g4r9maz4invihjmdzpfxy0np, ssluj1c3ft94nkfs58dc8cq2, ajjw1ikceu3g39sy6dsf9kdg4, 8inyievyp1az6q3dtlkpynf56, al9l7egkwbc0pv68zk42gegut, bbezbukg20q5b6kfnjuzhs55g, 823p7p1amx8lp445bo6bi01lg, 9ic9msq3tj4gx8wqa6wfwk50q, quh8tfvwi106toymoh38tbrp, rq6npjy37kolscu8lrj4r2dx, ftw3io63hk5vuoa3lyfgowes",5670636227,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5670636223,59,"1, 13, 15, 27, 5, 6, 40, 17, 11, 7, 30, 4, 8, 12, 16, 19, 22, 31, 33, 36",5670636221,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5670774499,194,8g4r9maz4invihjmdzpfxy0np,5670636225,130,8,5670951327,197,790,5670636229,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804532823,1,34,16,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2025-04-21T15:04:44.961Z,2025-04-21T16:04:59Z,,,,,5670656809,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5670656815,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5671091413,194,3sadup8mjwu4dc96wz6lmixn9,5671091415,197,21749,5670656817,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5670656807,30,"1h31bvtbae4q0edlp0u672hn9, aswmi1pnkzkvkexp8ngief6j9, 4vmgmzg2004twoc39sk7zkzqh, cgkvw4q8ddcjl0po181upzwx6, 6my7s0ezr6jldotm1w6nk7b9x, e9lrzsiy94y46h62rnawi3sgl, ca1b5707pdpx0ucug40ggnahh, 43q9ytkbmtk5y3tgv77v7pmg9, 3sadup8mjwu4dc96wz6lmixn9, 61sojkdsmaz9hbwaskt4rws15, 7je01bs3a4q6c2gd02ee6da3u, 8og8nxbkcb63van4llvpkbe8l, 8xrco8qhcvplvc3wmcschoi22, bz77hr28a1yskifpuvzu8smsq, 6jgd09iosfe5mn3tputmjx2ad, 5f4qlbohzja204gxm9tkiekq2, 5lssweodhkyifhj333v6f6r6c, 3uytpqx0e0jr6zgbfl1znsm7e, 76av5tb8cxhmr0yh3pbmk8npw, 3l3v5wj4c7vtqqwu05b526590",5670656813,130,17,5670656811,59,"1, 2, 11, 19, 5, 3, 29, 7, 9, 8, 10, 6, 14, 15, 16, 22, 23, 31, 39, 40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804613775,2,32,1,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2025-04-21T16:03:13.250Z,2025-04-21T16:56:52Z,,,,,5671108609,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804613769,2,32,1,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2025-04-21T16:03:13.250Z,2025-04-21T20:52:20Z,,,,,5671108591,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804613801,3,1,1,0,0,b3r6d8ydtmtjckam6pku9y400,1,50.0,50.0,2025-04-21T16:03:13.251Z,2025-04-21T16:59:09Z,ssluj1c3ft94nkfs58dc8cq2,E. Achouri,,,5671108767,56,Back,5671108775,213,3.19,5671108777,279,S,5671108773,212,26.0,5671108771,141,48.1,5671108769,140,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804613831,4,1,1,0,4,b3r6d8ydtmtjckam6pku9y400,0,25.1,48.1,2025-04-21T16:03:17.931Z,2025-04-21T16:03:21Z,ckhhpn9ppgvlrtubf7li3se09,N. Trott,,,5671108993,1,,5671108989,212,51.0,5671108991,213,6.11,5671108985,140,72.9,5671108983,56,Center,5671108977,157,,5671108987,141,34.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804613845,3,1,1,0,7,5rz9enoyknpg8ji78za5b82p0,0,28.7,53.6,2025-04-21T16:03:20.597Z,2025-04-21T16:56:54Z,e9lrzsiy94y46h62rnawi3sgl,H. Dalsgaard,,,5671109045,3,,5671109059,213,6.09,5671109053,140,52.1,5671109057,212,25.0,5671109049,56,Center,5671109055,141,46.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804613861,5,1,1,0,10,b3r6d8ydtmtjckam6pku9y400,0,49.7,55.8,2025-04-21T16:03:23.540Z,2025-04-21T16:03:25Z,ayqy2vql1oumokqly9ahfrnx1,P. Hatzidiakos,,,5671109193,213,5.75,5671109191,212,32.5,5671109189,141,31.5,5671109183,157,,5671109187,140,76.4,5671109185,56,Center,5671109195,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804613885,4,1,1,0,12,5rz9enoyknpg8ji78za5b82p0,1,19.6,60.8,2025-04-21T16:03:25.567Z,2025-04-21T16:03:29Z,6my7s0ezr6jldotm1w6nk7b9x,F. Tingager,,,5671109385,56,Back,5671109387,140,33.6,5671109383,3,,5671109391,212,16.6,5671109389,141,72.0,5671109393,213,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804613895,5,1,1,0,15,5rz9enoyknpg8ji78za5b82p0,0,30.4,83.8,2025-04-21T16:03:29.214Z,2025-04-21T16:03:30Z,7je01bs3a4q6c2gd02ee6da3u,K. Arnstad,,,5671109457,56,Back,5671109461,141,100.0,5671109463,212,18.0,5671109465,213,0.76,5671109459,140,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
