id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,qualifier/14/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/17/value
2708483741,1,34,16,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2024-08-12T15:59:01.929Z,2024-08-12T18:48:13Z,,,,,5145876077,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5145876071,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5145876069,30,"9lgnm175tw163z53b8bmiu5pm, 4n3t1p3zn5yzjv4w0clo3xvjd, eq7tnnzwq0g9q4eac0o9t9xey, 5f3wfx327z9hef9k9l37c90wl, 6ja2xnbktah4mog04g3kmjgmh, auk14ut8cwaqop549u2zmfgt1, 3bvc29bootgmo9tsapvygvnu2, b6q0tf252xvikt39g8jevju38, 5m27f84vvraap8bmfujt1qiok, 195o7hchielt14ic49r3k06sq, 73lwz4he5erpp25zi8crjvztg, 7w7ufa4v85hmj1qxnmqc4zgiy, 9wgpudcet9m8doz9ezbjxzkrt, akxcr1xe62dyl5jmh3ataq13o, dk9nlp77b6q38p751f8w3o8np, bitixkzgt5p65rlo2bnllcf6x, 8ngloyr6r0m71p8kgpfe69bvu, dhc4ni9kqr758h17hwo6pq9zo, xyt0wq20toh97811t65vu4no, bp2ellllifbtxgf0p8qlbm1nt",5145920819,197,19904,5145876079,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5145920917,194,5f3wfx327z9hef9k9l37c90wl,5145876073,59,"1, 24, 30, 13, 5, 4, 28, 37, 14, 7, 15, 8, 10, 11, 16, 18, 21, 31, 32, 55",5145876075,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708484249,1,34,16,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2024-08-12T16:04:03.412Z,2024-08-12T17:31:27Z,,,,,5145962959,194,1arzd8hqj73byhduozscqz5uy,5145879075,130,8,5145879073,59,"1, 3, 24, 6, 2, 4, 11, 16, 19, 17, 10, 5, 8, 9, 21, 22, 27, 37, 50, 35",5145879079,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5145921193,197,1731,5145879071,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5145879069,30,"a2l4ep71txn2edtjjcgewai5m, dq2eqqywinhsh9ijg8amqyp78, brinkgys7026490q3ixx6h9uc, 8mkrj5bnkyhx8kutc4656cy96, hpzxgnwobdttfgd04dykf26t, 7yst1mucy7jynmpzu1thox2i, 1arzd8hqj73byhduozscqz5uy, 6v1kpakd3t0jhnoh1eh75ev4k, 5hw5sfiqhzg7mnghdp52f7fqi, 8bi1tlz62rjwyak4pnnzgp562, 5lz41celw55rz3zh8pohclw5w, bcdp9e3dezuaybm8ndrsanbx0, 3q4tnk1z46lop4rbdpjtfoc2c, rv6r0bwbl75er38wklyfpsr9, ejixz16616b7krftxyzv9yiac, cul6phe87idi5dn1hsfywxhwp, 5vrsflxiv2dgfa8199a2qxsve, ezi8426ran0bffeyfvloc2ihg, 3tka46re2gsi9uw7pbxx5m0pg, 2o5atg0lz3jy7k86tyqda8h04",5145879077,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708491663,2,32,1,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2024-08-12T17:00:08.545Z,2024-08-12T19:49:27Z,,,,,5145922321,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708491665,2,32,1,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2024-08-12T17:00:08.545Z,2024-08-12T17:00:09Z,,,,,5145922323,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708491669,3,1,1,0,1,36g6ifzjliec1jqnbtf7yesme,1,49.7,50.0,2024-08-12T17:00:09.546Z,2024-08-12T17:06:53Z,5hw5sfiqhzg7mnghdp52f7fqi,J. Iredale,,,5145922343,140,36.4,5145922351,279,S,5145922345,141,49.7,5145922341,56,Back,5145922347,212,14.0,5145922349,213,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708491675,4,1,1,0,4,36g6ifzjliec1jqnbtf7yesme,1,47.1,39.8,2024-08-12T17:00:13.092Z,2024-08-12T17:03:37Z,8mkrj5bnkyhx8kutc4656cy96,M. Jiménez,,,5145922395,212,20.0,5145922389,56,Back,5145922391,140,43.4,5145922393,141,11.0,5145922397,213,4.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708491685,5,1,1,0,7,36g6ifzjliec1jqnbtf7yesme,1,43.0,10.9,2024-08-12T17:00:16.099Z,2024-08-12T17:00:18Z,dq2eqqywinhsh9ijg8amqyp78,S. Otoa,,,5145922439,213,2.03,5145922435,141,37.4,5145922431,56,Back,5145922433,140,34.5,5145922437,212,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708491689,6,1,1,0,10,36g6ifzjliec1jqnbtf7yesme,1,34.0,37.3,2024-08-12T17:00:18.771Z,2024-08-12T17:00:20Z,hpzxgnwobdttfgd04dykf26t,O. Diakhité,,,5145922485,212,17.0,5145922487,213,1.73,5145922479,56,Back,5145922483,141,62.0,5145922481,140,31.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708491691,7,1,1,0,12,36g6ifzjliec1jqnbtf7yesme,1,31.4,62.0,2024-08-12T17:00:20.595Z,2024-08-12T17:00:22Z,7yst1mucy7jynmpzu1thox2i,L. Kramer,,,5145922499,212,24.1,5145922501,213,1.14,5145922497,141,94.2,5145922495,140,40.9,5145922493,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708491703,8,1,1,0,13,36g6ifzjliec1jqnbtf7yesme,1,40.7,94.0,2024-08-12T17:00:22.003Z,2024-08-12T19:56:22Z,brinkgys7026490q3ixx6h9uc,N. Arnórsson,,,5145922563,213,5.93,5145922557,140,48.0,5145922559,141,89.9,5145922561,212,8.2,5145922555,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
