id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/12/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value
2807824117,1,34,16,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2025-04-28T16:12:33.167Z,2025-04-28T17:17:39Z,,,,,5688806987,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5688806995,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5688806991,130,10,5688806993,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5688939221,197,1731,5688806989,59,"1, 14, 6, 24, 13, 20, 21, 26, 10, 11, 8, 2, 5, 9, 16, 17, 23, 27, 33, 40",5688950631,194,1arzd8hqj73byhduozscqz5uy,5688806985,30,"a2l4ep71txn2edtjjcgewai5m, dj2f6zk2cd8u9lt6odoei9cdl, 8mkrj5bnkyhx8kutc4656cy96, brinkgys7026490q3ixx6h9uc, 8vi3l756ez0e96k7muvg4ekbu, de0dokhb6u6hts2hu5aupgiga, ejixz16616b7krftxyzv9yiac, bm3k1knugkwa8z319dscr2yhg, 5lz41celw55rz3zh8pohclw5w, 1arzd8hqj73byhduozscqz5uy, 3q4tnk1z46lop4rbdpjtfoc2c, hpzxgnwobdttfgd04dykf26t, bcdp9e3dezuaybm8ndrsanbx0, rv6r0bwbl75er38wklyfpsr9, 6v1kpakd3t0jhnoh1eh75ev4k, 8bi1tlz62rjwyak4pnnzgp562, 2k8bmlxzt0qi7divtxye0a5ii, 5vrsflxiv2dgfa8199a2qxsve, 697f50qoetodmfe8ybcuey2ac, 3tka46re2gsi9uw7pbxx5m0pg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807824749,1,34,16,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2025-04-28T16:13:47.627Z,2025-04-28T19:55:07Z,,,,,5688810431,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5688810433,194,1xjhud4hyekcg08nue1iosmsq,5688810435,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5688810427,59,"1, 2, 38, 5, 13, 14, 37, 34, 45, 10, 17, 7, 11, 18, 23, 24, 25, 26, 29, 59",5688810429,130,8,5688810423,30,"53y263xxfdf1itytiqhg3v6c5, 1xjhud4hyekcg08nue1iosmsq, 6xjbcik3a56d0vqy4vrq5eokp, 2anc9ug5nr25khmtcc4id2pxx, 1ykl08k2c2kwxukw0gvslf6qd, 6ylzm57bvpufg3cenadtv7qhh, 1hbucfyn2l3bxcw5r4zcb1dlg, 7uia9zlz3axnuc6usdn9u4kfe, babnrlnt04mal0268p9dxas8a, 3ylgelxr6ssp42hidfnchqp2i, 94hei5v2f93ga4b0iwxxisbu1, 1yqlkot5sh85ot3eemo67djv9, 7rtrg77m3xozgfhu3p2ihfey2, 9yiz575rldkwu7icgqwk1qmdx, 6lap0wrnichfxxqm5kgtoflec, 1k9g7x8jwhzcpx8bc5ji7og0k, 9s85lkd1qi525r4horgbtostl, 6kdy9i4p9fgyn45d9avb66cd0, chsirsawrhuh787kofklnjmqd, 6c2isptqoy4cq5c8rlr9s1roq",5688810425,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5688936919,197,25261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807847057,2,32,1,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2025-04-28T17:02:22.853Z,2025-04-28T17:02:24Z,,,,,5688938473,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807847055,2,32,1,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2025-04-28T17:02:22.853Z,2025-04-28T19:55:16Z,,,,,5688938467,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807847079,3,1,1,0,0,c165yjiny1qnmfdvefxvflnkc,1,49.9,49.9,2025-04-28T17:02:22.854Z,2025-04-28T17:04:26Z,2anc9ug5nr25khmtcc4id2pxx,H. Barry,,,5688938559,212,28.3,5688938553,56,Back,5688938555,140,23.0,5688938557,141,46.4,5688938563,279,S,5688938561,213,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807847109,4,1,1,0,5,c165yjiny1qnmfdvefxvflnkc,0,31.6,57.7,2025-04-28T17:02:28.440Z,2025-04-28T19:56:03Z,1ykl08k2c2kwxukw0gvslf6qd,S. Velkov,,,5688938733,157,,5688938735,56,Left,5688938739,141,85.4,5688938737,140,72.8,5688938745,1,,5688938743,213,0.41,5688938741,212,47.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807847099,3,44,1,0,7,36g6ifzjliec1jqnbtf7yesme,1,33.7,32.8,2025-04-28T17:02:30.677Z,2025-04-28T17:51:09Z,de0dokhb6u6hts2hu5aupgiga,K. Jørgensen,,,5688938695,56,Back,5688938805,233,5,5688938697,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807847113,5,44,1,0,7,c165yjiny1qnmfdvefxvflnkc,0,66.3,67.2,2025-04-28T17:02:30.678Z,2025-04-28T17:13:29Z,babnrlnt04mal0268p9dxas8a,G. Onugkha,,,5688938761,286,,5688938759,56,Center,5688938829,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807873545,350,1,1,0,8,36g6ifzjliec1jqnbtf7yesme,1,25.2,23.9,2025-04-28T17:02:30.853Z,2025-04-28T17:51:36Z,de0dokhb6u6hts2hu5aupgiga,K. Jørgensen,,,5689088959,3,,5689088967,212,10.0,5689088969,213,4.87,5689088965,141,9.4,5689088961,56,Back,5689088963,140,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807847131,6,43,1,0,9,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2025-04-28T17:02:32.049Z,2025-04-28T17:04:54Z,babnrlnt04mal0268p9dxas8a,G. Onugkha,,,5688938867,212,0,5688938859,3,0,5688938865,141,78.5,5688945033,144,1,5688938863,140,62.6,5688938861,56,Center,5688938869,213,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
