id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/8/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2786035175,1,34,16,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2025-03-09T12:29:05.470Z,2025-03-09T13:31:30Z,,,,,5569043095,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5569043087,30,"a2l4ep71txn2edtjjcgewai5m, de0dokhb6u6hts2hu5aupgiga, brinkgys7026490q3ixx6h9uc, 6v1kpakd3t0jhnoh1eh75ev4k, 7yst1mucy7jynmpzu1thox2i, 8vi3l756ez0e96k7muvg4ekbu, ejixz16616b7krftxyzv9yiac, 2k8bmlxzt0qi7divtxye0a5ii, 5lz41celw55rz3zh8pohclw5w, bm3k1knugkwa8z319dscr2yhg, 1arzd8hqj73byhduozscqz5uy, hpzxgnwobdttfgd04dykf26t, bcdp9e3dezuaybm8ndrsanbx0, 8mkrj5bnkyhx8kutc4656cy96, 8bi1tlz62rjwyak4pnnzgp562, 20g27z0cklenjg7k0ox73wyc5, cul6phe87idi5dn1hsfywxhwp, 5vrsflxiv2dgfa8199a2qxsve, 5521epytthhw9afm2r3jn3384, 697f50qoetodmfe8ybcuey2ac",5569043097,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5569043093,130,5,5569043089,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5569136943,194,1arzd8hqj73byhduozscqz5uy,5569043091,59,"1, 20, 24, 16, 4, 13, 21, 23, 10, 26, 11, 2, 5, 6, 17, 19, 22, 27, 28, 33",5569136945,197,1731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786035639,1,34,16,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2025-03-09T12:30:13.076Z,2025-03-09T13:03:32Z,,,,,5569045541,30,"7yim2aepctujr2m4p20a97755, fwu0bja02waqct7l682s5mfp, 8mn8apr6n7t7s6lx4d4vvdnca, 1qcf5gb8wf8f4tu94xh96yqy, ddl5g7raihnc9s4u3wetz8v10, a87w6l9zsbahdi4knm1347zs9, bwfg9frq2ecbzg7wlzqjtnv2s, drlp4xtkta08jiu0px6m4ocq2, 1sdsqfn743j5tqem8ra7sppn8, djlyi0ad4x1p0k4thn8n0axw4, 4zrsiizdbzwwkmit3ta0f0dbe, 41ii5y9ebz5e3xhaif9kc8qmt, c3sp1x0shf2b24rl5ike6v0iy, 8yfw9f74h0yfz51bkxxc8p39x, bcscjb9jdgu4ims9n3vwuj5k9, elhmf9cc26ec5p1wnwonuxf4l, e73sexp7kse0wlykdi7xcbg2c, 78kzajya12k4sm0ebfl37d6ok, ajhd3cqclubmexhscpd4w4ez9, e64kcio0848bpw39eedbjyd5g",5569045549,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5569131931,197,25260,5569137549,194,a87w6l9zsbahdi4knm1347zs9,5569045543,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5569045551,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5569045545,59,"16, 43, 55, 80, 4, 22, 19, 24, 7, 11, 58, 1, 3, 6, 14, 18, 20, 21, 29, 41",5569045547,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786054867,2,32,1,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2025-03-09T13:01:32.388Z,2025-03-09T19:38:58Z,,,,,5569144925,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786054863,2,32,1,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2025-03-09T13:01:32.388Z,2025-03-09T13:01:32Z,,,,,5569144917,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786054911,3,1,1,0,0,59as3grjvj19voay31j3yfgni,1,49.8,50.0,2025-03-09T13:01:32.389Z,2025-03-09T13:01:59Z,4zrsiizdbzwwkmit3ta0f0dbe,A. Şimşir,,,5569145143,212,13.8,5569145141,141,51.3,5569145147,279,S,5569145137,56,Back,5569145145,213,3.08,5569145139,140,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786054965,4,1,1,0,4,59as3grjvj19voay31j3yfgni,1,36.5,52.2,2025-03-09T13:01:37.066Z,2025-03-09T20:18:40Z,a87w6l9zsbahdi4knm1347zs9,M. Bech,,,5569145449,212,46.8,5569145453,1,,5569145445,140,74.9,5569145447,141,17.3,5569145443,56,Right,5571270869,157,,5569145451,213,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786054973,5,44,1,0,7,59as3grjvj19voay31j3yfgni,1,73.8,15.6,2025-03-09T13:01:39.865Z,2025-03-09T15:04:54Z,fwu0bja02waqct7l682s5mfp,K. Mbabu,,,5569145511,233,3,5569145493,286,,5569145491,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786054957,3,44,1,0,7,36g6ifzjliec1jqnbtf7yesme,0,26.2,84.4,2025-03-09T13:01:39.866Z,2025-03-09T15:04:55Z,brinkgys7026490q3ixx6h9uc,N. Arnórsson,,,5569145391,285,,5569145535,233,5,5569145389,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786054987,6,1,1,0,8,59as3grjvj19voay31j3yfgni,0,75.2,16.8,2025-03-09T13:01:40.452Z,2025-03-09T20:18:46Z,fwu0bja02waqct7l682s5mfp,K. Mbabu,,,5571271197,168,,5569145555,56,Center,5569145557,140,80.3,5569145561,141,28.3,5569145567,213,0.97,5569145553,3,,5569145565,212,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786055001,4,1,1,0,9,36g6ifzjliec1jqnbtf7yesme,0,20.7,69.9,2025-03-09T13:01:41.528Z,2025-03-09T20:18:57Z,8vi3l756ez0e96k7muvg4ekbu,B. Pudel,,,5569145639,213,5.55,5569145629,56,Right,5569145641,1,,5569145631,140,63.5,5569145625,157,,5569145635,212,60.6,5569145633,141,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786055157,7,1,1,0,18,59as3grjvj19voay31j3yfgni,1,35.4,88.3,2025-03-09T13:01:50.884Z,2025-03-09T13:01:55Z,a87w6l9zsbahdi4knm1347zs9,M. Bech,,,5569146413,140,32.7,5569146417,212,24.4,5569146415,141,52.7,5569146411,56,Back,5569146419,213,4.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786055213,8,1,1,0,22,59as3grjvj19voay31j3yfgni,1,36.4,46.4,2025-03-09T13:01:55.173Z,2025-03-09T13:01:59Z,ddl5g7raihnc9s4u3wetz8v10,O. Diao,,,5569146779,141,67.6,5569146783,213,1.40,5569146775,56,Back,5569146777,140,38.8,5569146781,212,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786055315,9,1,1,0,31,59as3grjvj19voay31j3yfgni,1,44.2,75.1,2025-03-09T13:02:04.132Z,2025-03-09T20:19:23Z,a87w6l9zsbahdi4knm1347zs9,M. Bech,,,5569147383,140,81.0,5569147387,212,38.8,5569147385,141,80.9,5569147391,1,,5569147381,56,Left,5569147377,155,,5569147389,213,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786442405,918,61,1,0,32,59as3grjvj19voay31j3yfgni,0,74.3,86.4,2025-03-09T13:02:04.409Z,2025-03-09T20:19:26Z,bwfg9frq2ecbzg7wlzqjtnv2s,P. Bravo,,,5571273097,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
