id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/13/value,qualifier/15/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2813505049,1,34,16,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2025-05-11T13:08:49.406Z,2025-05-11T15:16:34Z,,,,,5720215303,30,"5f4qlbohzja204gxm9tkiekq2, aswmi1pnkzkvkexp8ngief6j9, 5lssweodhkyifhj333v6f6r6c, 3l3v5wj4c7vtqqwu05b526590, e9lrzsiy94y46h62rnawi3sgl, 8xrco8qhcvplvc3wmcschoi22, 7je01bs3a4q6c2gd02ee6da3u, 43q9ytkbmtk5y3tgv77v7pmg9, 3sadup8mjwu4dc96wz6lmixn9, 61sojkdsmaz9hbwaskt4rws15, 8og8nxbkcb63van4llvpkbe8l, 1h31bvtbae4q0edlp0u672hn9, 5qvy65ckiigykkowpyco05zv9, 654obqy73ov2t5800r2woo6w9, ca1b5707pdpx0ucug40ggnahh, 76av5tb8cxhmr0yh3pbmk8npw, dwjmdwzgy2d1ofh19tk4hgvtg, 26wmniyab5c3n946w2ezh37kk, 3fxf2je8r5tx5bax9ircvr95g, 5zvghimmgu52ei5xz3qav4wt0",5720215309,130,12,5720513107,197,14750,5720215317,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5720215313,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5720515109,194,3sadup8mjwu4dc96wz6lmixn9,5720215305,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5720215307,59,"22, 2, 23, 40, 3, 14, 10, 7, 9, 8, 6, 1, 20, 27, 29, 39, 55, 60, 61, 37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813507771,1,34,16,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2025-05-11T13:10:57.532Z,2025-05-11T14:00:38Z,,,,,5720229795,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5720229789,59,"1, 24, 27, 16, 3, 4, 17, 6, 90, 10, 9, 5, 11, 18, 19, 25, 26, 28, 30, 44",5720229791,130,2,5720229785,30,"dmxzug2enscx331w5vmdzn2s5, 3cdo7b8vwb5kzeoaxzqm6esk4, 6m5ftd7c68b2d4d2931xs5srt, brsecgiiou4wcogoimzawyhp0, effgiwtme6eu08o1ninlnqqqd, 8cox96ikk1k4c24f0y5ef45x, 8domjmewnw5h6b19vef8w0afp, 6uj3c69lgu6boblkjiuhoy6eh, 9yuyz4ci6wqikd6ckjstbt2i1, ag40mk09zc8tzbkr7dnnqumay, 606hufq6dapf3qxcgilbc8tt5, aeoqbtq15nt9ks5cx50vallhw, d1j2a0az2datf1l2efdzne7vu, 3aoh34sqan7y34c2qa1d6xkyy, 6np04cprm5wsvs4prp8ehirro, cyuoj9pesenese4i3pklv7d2h, 54ipja7wrxji6kn8yw5uhr6ga, 2mawaijd9czgtd5jh9myk434l, 4vfbiav52mg5s9vnx53f0nhuc, 60z63hezwwosjnhvamcwxtre1",5720229787,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5720515169,194,8cox96ikk1k4c24f0y5ef45x,5720511993,197,4650,5720229793,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813561079,2,32,1,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2025-05-11T14:00:46.404Z,2025-05-11T16:25:54Z,,,,,5720515635,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813561083,2,32,1,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2025-05-11T14:00:46.404Z,2025-05-11T23:03:54Z,,,,,5720515655,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813561107,3,1,1,0,0,5rz9enoyknpg8ji78za5b82p0,1,50.1,50.3,2025-05-11T14:00:46.405Z,2025-05-11T14:00:52Z,43q9ytkbmtk5y3tgv77v7pmg9,M. Madsen,,,5720515803,56,Back,5720515809,212,19.4,5720515813,279,S,5720515807,141,36.6,5720515805,140,33.9,5720515811,213,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813561125,4,1,1,0,5,5rz9enoyknpg8ji78za5b82p0,0,36.4,38.8,2025-05-11T14:00:51.879Z,2025-05-11T21:37:37Z,e9lrzsiy94y46h62rnawi3sgl,H. Dalsgaard,,,5720515929,157,,5720515935,140,89.3,5720515941,212,62.0,5720515937,141,0.0,5720515943,213,5.82,5720515945,1,,5720515931,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813561163,3,5,1,0,7,9w3sjm5ml4sjr2v81oxzdrt8v,1,12.3,101.3,2025-05-11T14:00:54.195Z,2025-05-11T14:14:09Z,ag40mk09zc8tzbkr7dnnqumay,N. Campbell,,,5720516137,347,,5720516135,56,Back,5720516143,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813561131,5,5,1,0,7,5rz9enoyknpg8ji78za5b82p0,0,87.7,-1.3,2025-05-11T14:00:54.195Z,2025-05-11T14:14:09Z,3l3v5wj4c7vtqqwu05b526590,J. Jensen-Abbew,,,5720515951,56,Right,5720516171,233,3,5720515953,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813561225,4,1,1,0,16,9w3sjm5ml4sjr2v81oxzdrt8v,0,19.7,100.0,2025-05-11T14:01:03.334Z,2025-05-11T15:00:20Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5720516541,212,23.9,5720516525,107,,5720516537,141,83.6,5720516549,1,,5720516529,56,Back,5720516545,213,5.74,5720516533,140,39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813561273,6,1,1,0,18,5rz9enoyknpg8ji78za5b82p0,1,55.7,10.7,2025-05-11T14:01:05.071Z,2025-05-11T21:39:16Z,8og8nxbkcb63van4llvpkbe8l,N. Poulsen,,,5720516795,3,,5720516797,56,Right,5720516805,213,0.24,5720516799,140,68.4,5720516803,212,13.7,5720516801,141,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
