id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2703642977,1,34,16,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2024-07-27T13:22:06.858Z,2024-07-27T14:02:46Z,,,,,5119217041,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5119261711,194,drlp4xtkta08jiu0px6m4ocq2,5119217037,59,"16, 6, 55, 17, 4, 73, 24, 5, 14, 7, 58, 1, 2, 3, 9, 11, 18, 20, 21, 22",5119217039,130,2,5119217035,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5119217033,30,"7yim2aepctujr2m4p20a97755, 8yfw9f74h0yfz51bkxxc8p39x, 8mn8apr6n7t7s6lx4d4vvdnca, 5cjx2i2perp5vr62en4cyer1m, ddl5g7raihnc9s4u3wetz8v10, 4fhpb0b8muboggvquj2pvsiqx, drlp4xtkta08jiu0px6m4ocq2, arhoud4vfjvmjaf2pkbm6s48a, bcscjb9jdgu4ims9n3vwuj5k9, 1sdsqfn743j5tqem8ra7sppn8, 4zrsiizdbzwwkmit3ta0f0dbe, 41ii5y9ebz5e3xhaif9kc8qmt, 2mawaijd9czgtd5jh9myk434l, c3sp1x0shf2b24rl5ike6v0iy, e6p5i2ujvk0t9mo0h2gvrlka1, djlyi0ad4x1p0k4thn8n0axw4, elhmf9cc26ec5p1wnwonuxf4l, e73sexp7kse0wlykdi7xcbg2c, 78kzajya12k4sm0ebfl37d6ok, a87w6l9zsbahdi4knm1347zs9",5119217043,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5119261351,197,24437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703642997,1,34,16,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2024-07-27T13:22:09.654Z,2024-07-27T13:58:09Z,,,,,5119217127,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5119217125,30,"49wkw0wkn4ta18b6657vjvglx, 7cpkykvmy8ujrahzdz7ksk2c5, bxx5rebv553opcpvc2x70g6sq, etfoa7t308eq1xdmo9m2gfcgl, 55gunqozsj8gs6oua7ee5xxhx, ddsv1cx4vopu1xis5xwkx2qz8, 4cubrfqgrc5ivbd6fdj3k3zf8, c9e54hwefvwos94ri459uylbe, 3nok8qxxj2zl831wgvc7abxuc, 4rgz5z372h6sbwhpxl69cb6c5, 3nto7ft0b2a47lqd7ethkkrxm, 3zc9hy5uicgp21wr6z5wyuntg, 76k8ic97o66kaq2e52bmp27ai, 179f3j88wnmze82aicikkez9, 3qcjzsb466tfri5yrj35wztw4, 6rd6a2f1k124dzp1p904yq3h0, 2rvx2wlfj2rxzcgye6wiw0v84, a2cehkxue1tit6hyc6qykmlii, e07zv7ag985v8lq9sebfi27l5, 7a1vtc0e7ubua2t0dwx9ufk7o",5119217129,59,"13, 2, 23, 6, 4, 19, 29, 5, 40, 7, 22, 36, 11, 15, 17, 21, 24, 31, 32, 43",5119217135,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5119261569,194,55gunqozsj8gs6oua7ee5xxhx,5119217131,130,4,5119217133,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5119261571,197,4597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703650845,2,32,1,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2024-07-27T14:00:39.843Z,2024-07-27T14:00:40Z,,,,,5119263257,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703650849,2,32,1,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2024-07-27T14:00:39.843Z,2024-07-27T16:43:43Z,,,,,5119263261,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703650861,3,1,1,0,1,59as3grjvj19voay31j3yfgni,1,49.9,50.0,2024-07-27T14:00:40.844Z,2024-07-27T14:59:46Z,1sdsqfn743j5tqem8ra7sppn8,Franculino Djú,,,5119263323,141,52.8,5119263319,56,Back,5119263321,140,46.8,5119263327,213,2.61,5119263329,279,S,5119263325,212,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703650867,4,1,1,0,2,59as3grjvj19voay31j3yfgni,0,46.5,53.6,2024-07-27T14:00:42.475Z,2024-07-27T14:00:43Z,drlp4xtkta08jiu0px6m4ocq2,O. Sørensen,,,5119263367,212,28.6,5119263365,141,72.7,5119263369,213,0.47,5119263361,56,Center,5119263371,1,,5119263359,157,,5119263363,140,70.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703650885,3,1,1,0,3,77tfx9me4aaqhzv78bmgsy9bg,1,25.0,27.5,2024-07-27T14:00:42.931Z,2024-07-27T14:00:45Z,55gunqozsj8gs6oua7ee5xxhx,K. Hansen,,,5119263467,213,6.09,5119263465,212,20.3,5119263461,140,44.0,5119263463,141,21.9,5119263457,3,,5119263459,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703650899,4,1,1,0,5,77tfx9me4aaqhzv78bmgsy9bg,1,44.0,21.9,2024-07-27T14:00:45.828Z,2024-07-27T14:00:47Z,3nok8qxxj2zl831wgvc7abxuc,C. Harder,,,5119263543,140,42.1,5119263547,212,2.7,5119263549,213,2.40,5119263545,141,24.6,5119263541,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703650925,6,1,1,0,8,77tfx9me4aaqhzv78bmgsy9bg,0,49.3,23.5,2024-07-27T14:00:48.147Z,2024-07-27T16:44:59Z,4rgz5z372h6sbwhpxl69cb6c5,M. Ingvartsen,,,5119263661,141,0.0,5119263663,212,31.8,5119263657,56,Right,5119263659,140,75.2,5119263665,213,5.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703650931,5,5,1,0,11,59as3grjvj19voay31j3yfgni,1,23.4,101.1,2024-07-27T14:00:51.185Z,2024-07-27T14:24:53Z,4fhpb0b8muboggvquj2pvsiqx,Juninho,,,5119263695,347,,5119263725,233,7,5119263693,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
