id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2710350825,1,34,16,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2024-08-18T11:19:01.234Z,2024-08-18T12:04:14Z,,,,,5156218503,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5156218497,59,"1, 5, 2, 14, 3, 4, 33, 20, 23, 8, 10, 7, 16, 19, 22, 24, 35, 36, 41",5156218499,130,9,5156306397,197,6293,5156306395,194,b2492j7qzdo7g3ysxz6gq4g5x,5156218501,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5156218495,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5156218493,30,"b2492j7qzdo7g3ysxz6gq4g5x, 55u45p7vwom7civ3xy3hdf71m, 2513579m13glsous1p82fbjzd, 5r1v2w303bvj0vv1893qr5d5h, 9zhmwx3g0m6xi2oh57g4z35nu, 4qo7eu3xwhkpssbuyk4n70fe1, cuufy3ioo1kio56er2cfn0mqc, 6wrch4yhbs6utcc0doguj90q, n2annzbap7hll02zo2v0ccgk, avtms6bcr8i7qdacuv225evo5, bb8q9cgqzw9n2tmkl8s3bth0q, 242y4x99xvpu9zvln5vxoepjp, d0xv8spbowuj5vafz7zoy47hl, 7h39w16zvj1lbfb0rqr7kvt1x, 5k4gsy5f7ius93bbks9wbvqei, 9pv2ame21kaydllf78eo1nqc4, abaapwjdtbk2vmdv69v49fyms, 89xit2bryc0g4yhqina7akjkk, lmrff8mviimc33yyrpjzr2tw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710352985,1,34,16,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2024-08-18T11:24:04.730Z,2024-08-18T12:06:26Z,,,,,5156229039,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5156305743,194,55gunqozsj8gs6oua7ee5xxhx,5156305745,197,21751,5156229037,130,4,5156229031,30,"49wkw0wkn4ta18b6657vjvglx, 7cpkykvmy8ujrahzdz7ksk2c5, c9e54hwefvwos94ri459uylbe, 2r8s61bmydlumhg62wd0y6fis, 55gunqozsj8gs6oua7ee5xxhx, ddsv1cx4vopu1xis5xwkx2qz8, 5uqf7a0y0fd1hf2rrmgx11tuy, 4cubrfqgrc5ivbd6fdj3k3zf8, 3nok8qxxj2zl831wgvc7abxuc, 7a1vtc0e7ubua2t0dwx9ufk7o, 4rgz5z372h6sbwhpxl69cb6c5, 76k8ic97o66kaq2e52bmp27ai, 9qebp1745dtdjh5kg5n4wfq7e, 179f3j88wnmze82aicikkez9, 3qcjzsb466tfri5yrj35wztw4, 6rd6a2f1k124dzp1p904yq3h0, 2rvx2wlfj2rxzcgye6wiw0v84, e07zv7ag985v8lq9sebfi27l5, 9h6c9ue598hllcri39erjitqs, apspqh3shqfwobvh35x60q5g4",5156229035,59,"13, 2, 5, 18, 4, 19, 9, 29, 40, 14, 7, 11, 12, 15, 17, 21, 24, 32, 38, 45",5156229033,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5156229041,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710368509,2,32,1,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2024-08-18T12:00:30.622Z,2024-08-18T12:00:30Z,,,,,5156313709,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710368513,2,32,1,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2024-08-18T12:00:30.622Z,2024-08-18T17:04:10Z,,,,,5156313723,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710368521,3,1,1,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,49.9,50.0,2024-08-18T12:00:30.623Z,2024-08-18T12:00:33Z,avtms6bcr8i7qdacuv225evo5,J. Andersen,,,5156313759,141,44.8,5156313767,278,,5156313761,212,5.0,5156313757,140,53.3,5156313755,56,Center,5156313765,279,S,5156313763,213,5.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710368531,4,1,1,0,2,ahnt9ejgwj58ul8auzdvi3czf,1,52.0,46.7,2024-08-18T12:00:33.593Z,2024-08-18T12:00:35Z,n2annzbap7hll02zo2v0ccgk,T. Adamsen,,,5156313829,140,32.6,5156313831,141,43.3,5156313833,212,20.5,5156313835,213,3.25,5156313827,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710368541,5,1,1,0,4,ahnt9ejgwj58ul8auzdvi3czf,1,32.6,43.3,2024-08-18T12:00:35.480Z,2024-08-18T12:00:37Z,5r1v2w303bvj0vv1893qr5d5h,M. Brink,,,5156313893,213,4.43,5156313887,140,27.8,5156313889,141,17.9,5156313891,212,18.0,5156313885,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710368561,6,1,1,0,6,ahnt9ejgwj58ul8auzdvi3czf,1,27.9,17.9,2024-08-18T12:00:37.448Z,2024-08-18T12:00:39Z,9zhmwx3g0m6xi2oh57g4z35nu,R. Østrøm,,,5156313989,213,1.66,5156313981,56,Back,5156313987,212,16.0,5156313983,140,26.5,5156313985,141,41.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710368577,7,1,1,0,8,ahnt9ejgwj58ul8auzdvi3czf,1,25.1,42.2,2024-08-18T12:00:39.049Z,2024-08-18T12:00:41Z,5r1v2w303bvj0vv1893qr5d5h,M. Brink,,,5156314071,213,6.21,5156314067,141,41.5,5156314069,212,6.9,5156314063,56,Back,5156314065,140,31.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710368597,8,1,1,0,10,ahnt9ejgwj58ul8auzdvi3czf,1,31.7,40.6,2024-08-18T12:00:41.577Z,2024-08-18T12:00:44Z,cuufy3ioo1kio56er2cfn0mqc,M. Freundlich,,,5156314183,213,4.42,5156314179,141,14.3,5156314177,140,26.6,5156314175,56,Back,5156314181,212,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
