id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/17/value
2704241009,1,34,16,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2024-07-28T14:57:11.702Z,2024-07-28T16:39:08Z,,,,,5122446629,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5122446619,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5122446625,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5122446617,30,"1h31bvtbae4q0edlp0u672hn9, aswmi1pnkzkvkexp8ngief6j9, cgkvw4q8ddcjl0po181upzwx6, ca1b5707pdpx0ucug40ggnahh, e9lrzsiy94y46h62rnawi3sgl, 6my7s0ezr6jldotm1w6nk7b9x, 61sojkdsmaz9hbwaskt4rws15, 43q9ytkbmtk5y3tgv77v7pmg9, 3sadup8mjwu4dc96wz6lmixn9, 3uytpqx0e0jr6zgbfl1znsm7e, 4vmgmzg2004twoc39sk7zkzqh, bxea3tj0tpi7zmf6k5jtut889, efubck8twu1elbhlomltnjjtg, 6m4anciafmzc24s44xszymbc9, 5f4qlbohzja204gxm9tkiekq2, 5lssweodhkyifhj333v6f6r6c, 3gemcjqban843su9c9y5l2sk4, 654obqy73ov2t5800r2woo6w9, 9delpquqv81o7ftrgefb0wpp0, 3l3v5wj4c7vtqqwu05b526590",5122446621,59,"1, 2, 19, 29, 3, 5, 8, 7, 9, 31, 11, 10, 18, 21, 22, 23, 26, 27, 33, 40",5122446623,130,2,5122643083,194,3sadup8mjwu4dc96wz6lmixn9,5122446627,197,21749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704242701,1,34,16,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2024-07-28T15:02:12.129Z,2024-07-28T16:03:40Z,,,,,5122456747,194,8g4r9maz4invihjmdzpfxy0np,5122456731,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5122456743,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5122456739,130,8,5122456727,30,"ckhhpn9ppgvlrtubf7li3se09, 6b8vhoisrfwkljhz4u7pduej8, 2ubad2kxha6n1c8c8sr2ogmad, rq6npjy37kolscu8lrj4r2dx, 7xc0qldxpidl07vij2wgu1sk5, ajjw1ikceu3g39sy6dsf9kdg4, aahyom322jdc6f21960ycuzth, 8g4r9maz4invihjmdzpfxy0np, euur9yvhgrieu4kl0vdkh244q, e81dfbtza1g8v3lozf39x3f85, 6tckvu2rw7ns18dq7dim0sout, w0wt7gjkdddn63a4258j8frp, 8mcb1hiuk9rzf48cx3vj5i3th, 8inyievyp1az6q3dtlkpynf56, al9l7egkwbc0pv68zk42gegut, 4gqnyyx3i92fayq6cxvekqwut, quh8tfvwi106toymoh38tbrp, 8jyfsal0lbf0ia92axymn2l1w, 823p7p1amx8lp445bo6bi01lg, c9u2w9ikckbrra8vln2ucbf9w",5122643261,197,790,5122456735,59,"1, 13, 24, 33, 2, 4, 11, 7, 18, 9, 10, 3, 6, 8, 12, 27, 31, 38, 45, 47",5122456749,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704277719,2,32,1,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2024-07-28T16:02:25.895Z,2024-07-28T18:41:32Z,,,,,5122654591,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704277705,2,32,1,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2024-07-28T16:02:25.895Z,2024-07-28T16:02:26Z,,,,,5122654521,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704277745,3,1,1,0,0,5rz9enoyknpg8ji78za5b82p0,1,49.8,49.7,2024-07-28T16:02:25.896Z,2024-07-28T16:54:41Z,43q9ytkbmtk5y3tgv77v7pmg9,M. Emil Madsen,,,5122654709,279,S,5122654699,56,Center,5122654705,212,6.0,5122654701,140,53.1,5122654703,141,42.5,5122654707,213,5.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704277769,4,1,1,0,3,5rz9enoyknpg8ji78za5b82p0,1,54.1,42.7,2024-07-28T16:02:29.320Z,2024-07-28T18:49:27Z,3uytpqx0e0jr6zgbfl1znsm7e,T. Bech,,,5122654825,140,48.4,5122654831,213,1.85,5122654829,212,21.5,5122654827,141,73.0,5122654823,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704277805,5,1,1,0,5,5rz9enoyknpg8ji78za5b82p0,1,57.1,73.9,2024-07-28T16:02:31.432Z,2024-07-28T16:02:34Z,cgkvw4q8ddcjl0po181upzwx6,E. Kahl,,,5122654981,141,92.4,5122654983,212,13.4,5122654977,56,Left,5122654985,213,1.22,5122654979,140,61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704277833,6,1,1,0,8,5rz9enoyknpg8ji78za5b82p0,1,44.2,87.2,2024-07-28T16:02:34.361Z,2024-07-28T16:02:36Z,4vmgmzg2004twoc39sk7zkzqh,G. Links,,,5122655121,140,35.1,5122655123,141,67.3,5122655119,56,Back,5122655127,213,4.10,5122655125,212,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704277893,7,1,1,0,10,5rz9enoyknpg8ji78za5b82p0,1,33.3,57.5,2024-07-28T16:02:36.616Z,2024-07-28T16:02:41Z,6my7s0ezr6jldotm1w6nk7b9x,F. Tingager,,,5122655443,213,4.96,5122655441,212,26.6,5122655437,141,19.5,5122655431,56,Back,5122655433,140,39.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704277919,8,1,1,0,15,5rz9enoyknpg8ji78za5b82p0,0,34.8,15.8,2024-07-28T16:02:41.593Z,2024-07-28T18:49:44Z,e9lrzsiy94y46h62rnawi3sgl,H. Dalsgaard,,,5122655539,141,16.2,5122655537,140,37.7,5122655541,212,3.1,5122655535,56,Back,5122655543,213,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
