id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/12/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2815271813,1,34,16,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2025-05-16T15:57:35.234Z,2025-05-16T16:59:02Z,,,,,5730111387,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5730111385,130,4,5730111379,30,"49wkw0wkn4ta18b6657vjvglx, 7cpkykvmy8ujrahzdz7ksk2c5, apspqh3shqfwobvh35x60q5g4, 5r1v2w303bvj0vv1893qr5d5h, chjcbjc5nv8uyiusfafts5zv9, 2rvx2wlfj2rxzcgye6wiw0v84, 3zc9hy5uicgp21wr6z5wyuntg, 5uqf7a0y0fd1hf2rrmgx11tuy, 3qcjzsb466tfri5yrj35wztw4, 7a1vtc0e7ubua2t0dwx9ufk7o, 4cubrfqgrc5ivbd6fdj3k3zf8, 55gunqozsj8gs6oua7ee5xxhx, 4oxlpwcwpa44hstpm70iep0id, 9h6c9ue598hllcri39erjitqs, c1s6vw84nupd8c0mbj8gov5lg, ayistjficdvpd0v10681qf578, 5ucbttulfcdufwr751zj0zcic, 6rd6a2f1k124dzp1p904yq3h0, bgviotid6bht0k2452r5gehw4, 2r8s61bmydlumhg62wd0y6fis",5730266831,197,4597,5730111381,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5730111389,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5730266895,194,5uqf7a0y0fd1hf2rrmgx11tuy,5730111383,59,"13, 2, 45, 6, 3, 24, 36, 10, 17, 7, 8, 4, 11, 38, 34, 29, 25, 21, 20, 18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815276617,1,34,16,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2025-05-16T16:09:20.610Z,2025-05-16T17:01:51Z,,,,,5730137951,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5730137949,30,"1h31bvtbae4q0edlp0u672hn9, 8xrco8qhcvplvc3wmcschoi22, aswmi1pnkzkvkexp8ngief6j9, 3l3v5wj4c7vtqqwu05b526590, 6my7s0ezr6jldotm1w6nk7b9x, e9lrzsiy94y46h62rnawi3sgl, 7je01bs3a4q6c2gd02ee6da3u, 8og8nxbkcb63van4llvpkbe8l, 3sadup8mjwu4dc96wz6lmixn9, 61sojkdsmaz9hbwaskt4rws15, 43q9ytkbmtk5y3tgv77v7pmg9, 26wmniyab5c3n946w2ezh37kk, dwjmdwzgy2d1ofh19tk4hgvtg, 76av5tb8cxhmr0yh3pbmk8npw, 5zvghimmgu52ei5xz3qav4wt0, ca1b5707pdpx0ucug40ggnahh, 5lssweodhkyifhj333v6f6r6c, 5f4qlbohzja204gxm9tkiekq2, 5qvy65ckiigykkowpyco05zv9, ay9j8i8y82h9h23blxqwzisyc",5730137959,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5730266869,197,21749,5730137953,59,"1, 14, 2, 40, 5, 3, 10, 6, 9, 8, 7, 60, 55, 39, 37, 29, 23, 22, 20, 52",5730266867,194,3sadup8mjwu4dc96wz6lmixn9,5730137955,130,10,5730137957,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299705,2,32,1,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2025-05-16T17:01:19.994Z,2025-05-16T20:44:26Z,,,,,5730270419,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299709,2,32,1,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2025-05-16T17:01:19.994Z,2025-05-16T17:01:22Z,,,,,5730270423,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299739,3,1,1,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,50.0,50.0,2025-05-16T17:01:20.442Z,2025-05-16T17:01:24Z,3qcjzsb466tfri5yrj35wztw4,L. Nene,,,5730270547,279,S,5730270545,213,3.77,5730270539,140,44.6,5730270543,212,7.0,5730270549,278,,5730270541,141,43.9,5730270537,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299747,4,1,1,0,3,77tfx9me4aaqhzv78bmgsy9bg,1,44.6,43.9,2025-05-16T17:01:23.779Z,2025-05-16T17:01:25Z,5r1v2w303bvj0vv1893qr5d5h,M. Brink,,,5730270625,213,4.68,5730270619,140,44.3,5730270621,141,27.4,5730270623,212,11.2,5730270617,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299759,5,1,1,0,5,77tfx9me4aaqhzv78bmgsy9bg,1,44.3,27.4,2025-05-16T17:01:24.995Z,2025-05-16T17:01:26Z,3zc9hy5uicgp21wr6z5wyuntg,C. Yirenkyi,,,5730270677,141,32.7,5730270675,140,32.9,5730270679,212,12.5,5730270681,213,2.85,5730270673,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299769,6,1,1,0,6,77tfx9me4aaqhzv78bmgsy9bg,1,34.2,40.7,2025-05-16T17:01:26.754Z,2025-05-16T17:01:29Z,chjcbjc5nv8uyiusfafts5zv9,T. Salquist,,,5730270785,213,1.63,5730270779,140,33.5,5730270781,141,59.1,5730270777,56,Back,5730270783,212,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299797,7,1,1,0,9,77tfx9me4aaqhzv78bmgsy9bg,1,33.7,59.7,2025-05-16T17:01:29.459Z,2025-05-16T17:01:33Z,2rvx2wlfj2rxzcgye6wiw0v84,L. Høgsberg,,,5730270927,212,22.6,5730270925,141,28.9,5730270929,213,5.09,5730270921,56,Back,5730270923,140,41.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815299815,8,1,1,0,13,77tfx9me4aaqhzv78bmgsy9bg,1,44.6,24.0,2025-05-16T17:01:33.602Z,2025-05-16T17:01:37Z,3zc9hy5uicgp21wr6z5wyuntg,C. Yirenkyi,,,5730271025,141,57.6,5730271027,212,23.1,5730271029,213,1.72,5730271021,56,Back,5730271023,140,41.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
