id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2778739349,1,34,16,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2025-02-21T16:59:23.792Z,2025-02-21T17:59:05Z,,,,5529269621,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5529269617,59,"32, 2, 20, 22, 12, 5, 21, 13, 18, 8, 15, 6, 9, 14, 17, 19, 23, 27, 30, 40",5529269625,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5529269615,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5529269623,194,6ul2nma4j0a7e2li6wyyrpal1,5529420053,197,6291,5529269613,30,"15fo180vixn0lb65fujttit3p, 8822s8ns7oyvjqade4oaxzg0l, 8ydi45wh0naevno6aos78vi09, 79b0b6eqck5vn4b3fawxsaok, 6ul2nma4j0a7e2li6wyyrpal1, 5is9bcj143orulo4biogwxzl6, bpw4cd5vmghjhelb3uxupmqjt, d854rlweyk5wq6d2veyviukq2, 8gdfn7j6xac9p4jh94hk40jdg, b13l1wrb747y9cdc8wqltan6d, 58o5ram4bf58357786j9jr7kk, cw6s5hf1tytvb98vjuosz9r6d, 39f0bq9uk4etkf75uzu6qyrmy, 6d0lxiep13vdv32bdb0xwyrys, 9pnirb3qt48zeui3su8cvu1ka, 6zhj070huc77sl5o5bx6ey5g4, 8ynqwlysks0dvn46ja7zq5vit, 6miatayfy07pf4og7qc7c7pqs, 5733iw16239m83syv5dm8huj9, 52vwj2s29n7wngablotd7pboq",5529269619,130,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778739385,1,34,16,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2025-02-21T16:59:40.102Z,2025-02-21T17:59:05Z,,,,5529269791,59,"1, 24, 44, 6, 3, 4, 11, 28, 7, 9, 17, 10, 14, 15, 16, 18, 25, 26, 30, 90",5529269789,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5529269797,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5529269793,130,8,5529420071,194,8cox96ikk1k4c24f0y5ef45x,5529269795,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5529269787,30,"dmxzug2enscx331w5vmdzn2s5, 3cdo7b8vwb5kzeoaxzqm6esk4, 60z63hezwwosjnhvamcwxtre1, 6uj3c69lgu6boblkjiuhoy6eh, effgiwtme6eu08o1ninlnqqqd, 8cox96ikk1k4c24f0y5ef45x, d1j2a0az2datf1l2efdzne7vu, 2mawaijd9czgtd5jh9myk434l, 1329qhvvxpp6j4q5esh4n3hii, 606hufq6dapf3qxcgilbc8tt5, 8domjmewnw5h6b19vef8w0afp, ag40mk09zc8tzbkr7dnnqumay, o7nooyu95nab78ys541e3uuh, 2datlbzulrzdgpyxv3fkzn0et, brsecgiiou4wcogoimzawyhp0, 3aoh34sqan7y34c2qa1d6xkyy, cyuoj9pesenese4i3pklv7d2h, 54ipja7wrxji6kn8yw5uhr6ga, 4vfbiav52mg5s9vnx53f0nhuc, 9yuyz4ci6wqikd6ckjstbt2i1",5529416533,197,4650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778767599,2,32,1,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2025-02-21T18:01:54.065Z,2025-02-21T20:35:44Z,,,,5529425123,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778767603,2,32,1,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2025-02-21T18:01:54.065Z,2025-02-21T18:01:56Z,,,,5529425129,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778767611,3,1,1,0,1,9w3sjm5ml4sjr2v81oxzdrt8v,1,50.0,50.0,2025-02-21T18:01:55.066Z,2025-02-21T20:36:01Z,8domjmewnw5h6b19vef8w0afp,M. Greve,,5529425171,140,26.6,5529425169,56,Back,5529425177,213,3.02,5529425175,212,24.8,5529425173,141,54.5,5529425179,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778767643,4,1,1,0,4,9w3sjm5ml4sjr2v81oxzdrt8v,1,28.5,55.2,2025-02-21T18:01:58.713Z,2025-02-21T18:02:01Z,8cox96ikk1k4c24f0y5ef45x,W. Dammers,,5529425307,56,Back,5529425313,212,16.4,5529425309,140,39.8,5529425315,213,5.52,5529425311,141,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778767661,5,1,1,0,7,9w3sjm5ml4sjr2v81oxzdrt8v,1,41.5,31.6,2025-02-21T18:02:01.545Z,2025-02-21T18:02:05Z,6uj3c69lgu6boblkjiuhoy6eh,J. Björkengren,,5529425411,141,7.7,5529425409,140,55.9,5529425415,213,5.46,5529425413,212,22.2,5529425407,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778767679,6,1,1,0,11,9w3sjm5ml4sjr2v81oxzdrt8v,1,57.9,12.9,2025-02-21T18:02:05.497Z,2025-02-21T20:00:45Z,3cdo7b8vwb5kzeoaxzqm6esk4,S. Hansen,,5529425507,140,57.4,5529425511,212,5.9,5529425513,213,1.66,5529425509,141,21.5,5529425505,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778767689,7,1,1,0,14,9w3sjm5ml4sjr2v81oxzdrt8v,1,56.9,21.0,2025-02-21T18:02:08.937Z,2025-02-21T18:02:10Z,2mawaijd9czgtd5jh9myk434l,A. Rømer,,5529425557,213,3.44,5529425553,141,12.2,5529425549,56,Back,5529425555,212,20.5,5529425551,140,38.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778767737,8,1,1,0,15,9w3sjm5ml4sjr2v81oxzdrt8v,1,41.6,5.8,2025-02-21T18:02:09.105Z,2025-02-21T20:36:38Z,effgiwtme6eu08o1ninlnqqqd,D. Høegh,,5529425767,213,0.01,5529425759,56,Right,5529425763,141,6.2,5529425765,212,25.3,5529425761,140,65.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
