id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2726889059,1,34,16,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2024-09-28T13:06:53.292Z,2024-09-28T14:00:14Z,,,,,5247004935,130,12,5247004941,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5247307561,197,14750,5247004933,59,"1, 2, 8, 19, 5, 40, 10, 7, 9, 31, 6, 4, 15, 16, 18, 20, 26, 29, 32, 33",5247004939,194,3sadup8mjwu4dc96wz6lmixn9,5247004929,30,"1h31bvtbae4q0edlp0u672hn9, aswmi1pnkzkvkexp8ngief6j9, 61sojkdsmaz9hbwaskt4rws15, cgkvw4q8ddcjl0po181upzwx6, 6my7s0ezr6jldotm1w6nk7b9x, 3l3v5wj4c7vtqqwu05b526590, 7je01bs3a4q6c2gd02ee6da3u, 43q9ytkbmtk5y3tgv77v7pmg9, 3sadup8mjwu4dc96wz6lmixn9, 3uytpqx0e0jr6zgbfl1znsm7e, 8og8nxbkcb63van4llvpkbe8l, 10lj2qekb1e4c8ful68b1pazt, bz77hr28a1yskifpuvzu8smsq, 6jgd09iosfe5mn3tputmjx2ad, efubck8twu1elbhlomltnjjtg, 5qvy65ckiigykkowpyco05zv9, 3gemcjqban843su9c9y5l2sk4, ca1b5707pdpx0ucug40ggnahh, c6wip4rfbv5a932cilwjssup6, 9delpquqv81o7ftrgefb0wpp0",5247004937,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5247004931,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726892117,1,34,16,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2024-09-28T13:09:31.249Z,2024-09-28T13:57:51Z,,,,,5247022031,194,8cox96ikk1k4c24f0y5ef45x,5247022025,130,9,5247022019,30,"dmxzug2enscx331w5vmdzn2s5, 6m5ftd7c68b2d4d2931xs5srt, 2lyhi7j3id7emsh54ehdva3ca, 2mawaijd9czgtd5jh9myk434l, effgiwtme6eu08o1ninlnqqqd, 8cox96ikk1k4c24f0y5ef45x, 6uj3c69lgu6boblkjiuhoy6eh, 606hufq6dapf3qxcgilbc8tt5, 54ipja7wrxji6kn8yw5uhr6ga, ag40mk09zc8tzbkr7dnnqumay, 8domjmewnw5h6b19vef8w0afp, 1t67kvg37jg2elz9voix5kcet, 1329qhvvxpp6j4q5esh4n3hii, brsecgiiou4wcogoimzawyhp0, 6w9yjs87tue7noq71ftksxez8, bz76p441ynj57eytvsz9kmtck, 3cdo7b8vwb5kzeoaxzqm6esk4, cyuoj9pesenese4i3pklv7d2h, 4vfbiav52mg5s9vnx53f0nhuc, 9yuyz4ci6wqikd6ckjstbt2i1",5247022023,59,"1, 27, 29, 28, 3, 4, 6, 9, 26, 10, 17, 5, 7, 16, 19, 20, 24, 25, 30, 90",5247022027,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5247300613,197,4650,5247022021,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5247022035,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726948373,2,32,1,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2024-09-28T14:01:46.362Z,2024-09-28T16:45:38Z,,,,,5247320595,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726948439,2,32,1,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2024-09-28T14:01:46.362Z,2024-09-28T14:01:48Z,,,,,5247320971,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726948489,3,1,1,0,1,5rz9enoyknpg8ji78za5b82p0,1,49.9,49.7,2024-09-28T14:01:47.363Z,2024-09-28T16:45:58Z,43q9ytkbmtk5y3tgv77v7pmg9,M. Emil Madsen,,,5247321233,56,Back,5247321245,279,S,5247321239,141,56.0,5247321241,212,24.3,5247321243,213,2.96,5247321237,140,27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726948621,4,1,1,0,3,5rz9enoyknpg8ji78za5b82p0,1,28.2,51.6,2024-09-28T14:01:49.905Z,2024-09-28T16:50:50Z,6my7s0ezr6jldotm1w6nk7b9x,F. Tingager,,,5247321907,56,Right,5247321925,1,,5247321919,213,5.85,5247321917,212,50.0,5247321909,140,71.4,5248973259,157,,5247321911,141,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726948641,5,44,1,0,6,5rz9enoyknpg8ji78za5b82p0,1,65.7,21.3,2024-09-28T14:01:52.402Z,2024-09-28T16:51:04Z,3sadup8mjwu4dc96wz6lmixn9,P. Mortensen,,,5247322037,56,Center,5247322145,233,3,5247322039,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726948651,3,44,1,0,6,9w3sjm5ml4sjr2v81oxzdrt8v,0,34.3,78.7,2024-09-28T14:01:52.403Z,2024-09-28T16:51:06Z,8domjmewnw5h6b19vef8w0afp,M. Greve,,,5247322079,56,Back,5247322215,233,5,5247322083,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726948689,6,1,1,0,6,5rz9enoyknpg8ji78za5b82p0,1,71.2,19.8,2024-09-28T14:01:53.082Z,2024-09-28T16:51:07Z,3sadup8mjwu4dc96wz6lmixn9,P. Mortensen,,,5247322263,3,,5247322269,141,28.6,5247322273,213,1.13,5247322271,212,6.6,5247322265,56,Center,5247322267,140,73.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726948705,7,61,1,0,7,5rz9enoyknpg8ji78za5b82p0,1,74.5,29.1,2024-09-28T14:01:54.273Z,2024-09-28T16:51:08Z,3uytpqx0e0jr6zgbfl1znsm7e,T. Bech,,,5247322311,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
