id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/9/value,qualifier/14/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2716179649,1,34,16,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2024-09-01T11:01:01.694Z,2024-09-01T12:07:37Z,,,,,5188268161,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5188268153,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5188268151,30,"4ilnnpfgjfz35lni9ppzd93v9, hsobzlp177f9755mpsi7szmy, 1gr0k94d0nh7msa32f6728aok, bnar4f48vnx4oaz2lzch48es5, 506kxojakimt5s0v2c4q6b33e, 6anvl82jyio52wo87cbxdp4np, 94didhw8o1blxonn4amoahcr9, 2xp7fbcl6a4nua9jpm7b4k1sk, 7z1pv1wezn5rydamnknklv2ay, 53nd6a4o02ebb0w2s12prijje, etz3rjq7chhaomst5u28nnff9, bmkq3hz1z7lsji7wgr3j8978p, aa0888u38mjc1euhofseazb2t, chteizjcvxpvze9p77gcttcoa, 9auqrrixu34cgkpe8trlkaoh6, 3hi7nroqhsvj8elv8nd9a8ted, cft1n7qn5juaedelpvqwo2f3d, 2tthm6h5o033dz440e476rhbe, 1tt9jeekqwpyi6lnj4vyouuj8, 22760086vtvx2xulry32q21hw",5188268155,59,"1, 2, 37, 4, 32, 31, 22, 35, 36, 28, 10, 5, 6, 7, 11, 16, 18, 24, 34, 99",5188462549,197,5111,5188462547,194,etz3rjq7chhaomst5u28nnff9,5188268159,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5188268157,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716181879,1,34,16,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2024-09-01T11:08:09.723Z,2024-09-01T11:59:56Z,,,,,5188279187,130,4,5188449131,197,790,5188279193,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5188279189,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5188279191,194,8g4r9maz4invihjmdzpfxy0np,5188279185,59,"1, 22, 15, 12, 2, 5, 10, 8, 7, 47, 30, 4, 16, 27, 31, 38, 45, 58",5188279181,30,"ckhhpn9ppgvlrtubf7li3se09, 9ic9msq3tj4gx8wqa6wfwk50q, dux0skggr99ydjz3kn58p3wmh, al9l7egkwbc0pv68zk42gegut, 7xc0qldxpidl07vij2wgu1sk5, 4cbaoo2irqtme9goxuz6s3ey2, 6tckvu2rw7ns18dq7dim0sout, 8inyievyp1az6q3dtlkpynf56, 8g4r9maz4invihjmdzpfxy0np, c9u2w9ikckbrra8vln2ucbf9w, ssluj1c3ft94nkfs58dc8cq2, ajjw1ikceu3g39sy6dsf9kdg4, bbezbukg20q5b6kfnjuzhs55g, 4gqnyyx3i92fayq6cxvekqwut, quh8tfvwi106toymoh38tbrp, 8jyfsal0lbf0ia92axymn2l1w, 823p7p1amx8lp445bo6bi01lg, dacr7r8nr09ke3o8dhqmdrklw",5188279183,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716217983,2,32,1,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2024-09-01T12:03:25.392Z,2024-09-01T17:33:18Z,,,,,5188466405,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716217977,2,32,1,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2024-09-01T12:03:25.392Z,2024-09-01T12:03:25Z,,,,,5188466383,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716218003,3,1,1,0,0,b3r6d8ydtmtjckam6pku9y400,1,50.1,50.0,2024-09-01T12:03:25.393Z,2024-09-01T12:03:28Z,8g4r9maz4invihjmdzpfxy0np,V. Claesson,,,5188466493,140,45.4,5188466495,141,49.1,5188466491,56,Back,5188466621,278,,5188466497,212,5.0,5188466501,279,S,5188466499,213,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716218061,4,1,1,0,1,b3r6d8ydtmtjckam6pku9y400,1,46.4,45.1,2024-09-01T12:03:27.301Z,2024-09-01T12:03:30Z,8inyievyp1az6q3dtlkpynf56,M. Mattsson,,,5188466769,141,10.0,5188466773,213,4.39,5188466771,212,25.2,5188466767,140,38.7,5188466765,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716218113,5,1,1,0,5,b3r6d8ydtmtjckam6pku9y400,0,38.7,10.0,2024-09-01T12:03:30.613Z,2024-09-01T12:03:34Z,7xc0qldxpidl07vij2wgu1sk5,K. Diks,,,5188467085,1,,5188467083,213,0.24,5188467081,212,52.0,5188467073,157,,5188467075,56,Center,5188467077,140,86.8,5188467079,141,28.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716218147,3,12,1,0,10,9qsmopgutr7ut5g6workk8w4i,1,12.8,73.0,2024-09-01T12:03:35.558Z,2024-09-01T15:02:16Z,506kxojakimt5s0v2c4q6b33e,F. Alves,,,5188467317,140,17.5,5188467319,141,90.6,5188467321,212,12.9,5188467323,213,1.18,5189351109,15,,5188467315,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716218195,6,61,1,0,14,b3r6d8ydtmtjckam6pku9y400,0,95.3,23.9,2024-09-01T12:03:39.733Z,2024-09-01T19:40:57Z,6tckvu2rw7ns18dq7dim0sout,M. Elyounoussi,,,5188467545,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716218221,4,43,1,0,15,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2024-09-01T12:03:41.077Z,2024-09-01T19:38:27Z,1gr0k94d0nh7msa32f6728aok,C. Bischoff,,,5190956231,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716218295,5,43,1,0,15,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2024-09-01T12:03:41.125Z,2024-09-01T12:22:12Z,1gr0k94d0nh7msa32f6728aok,C. Bischoff,,,5188468077,141,75.9,5188468079,212,12.3,5188468081,213,6.07,5188562297,144,1,5188468075,140,14.0,5188468073,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716218387,6,4,1,0,24,9qsmopgutr7ut5g6workk8w4i,1,5.4,80.0,2024-09-01T12:03:50.053Z,2024-09-01T19:40:58Z,,,,,5190956643,10,,5188468519,56,Back,5188468521,152,,5188468525,285,,5188468919,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
